	voice Midi Diff								present		 Best		Sec

printNotes: i= 39-<1442 1559 -117>,  	 A1 --  1/32nd.( 23) <      > 	V 20 - M 16	= +4  %+20  	q= -3  %-15  	 0.110(83)<-----%20   %15

printNotes: i= 40-<1956 2059 -103>,  	 D2 --   1/16th( 31) <      > 	V 34 - M 16	=+18  %+53  	q= +3  %+9  	 0.192(83)<-----%53   %9

printNotes: i= 41-<1845 1859 -14>,  	 C2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 42-<2058 2059  -1>,  	 D2 --  1/16th.( 47) <      > 	V 44 - M 47	= -3  %-7  	q= -3  %-7  	 0.250(83)
printNotes: i= 43-<2200 2189  11>,  	Ek2 -- 1/32nd..( 27) <      > 	V 28 - M 47	=-19  %-68  	q= +1  %+4  	 0.157(83)<-----%68   %4

printNotes: i= 44-<2343 2350  -7>,  	 F2 --    1/8th( 62) <      > 	V 61 - M 62	= -1  %-2  	q= -1  %-2  	 0.348(83)
printNotes: i= 45-<2549 2545   4>,  	 G2 --  1/8th..(109) <      > 	V114 - M125	=-11  %-10  	q= +5  %+4  	 0.656(83)<-----%10   %4

printNotes: i= 46-<2380 2350  30>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 47-<2203 2189  14>,  	Ek2 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(83)<-----%55   %15

printNotes: i= 48-<2393 2350  43>,  	 F2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 49-<2449 2545 -96>,  	 G2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(83)<-----%129   %0 <<

printNotes: i= 50-<2365 2350  15>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 51-<2546 2545   1>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 52-<2360 2350  10>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 53-<2549 2545   4>,  	 G2 --   1/16th( 31) <      > 	V 29 - M 16	=+13  %+45  	q= -2  %-7  	 0.163(83)<-----%45   %7

printNotes: i= 54-<2816 2742  74>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 55-<2550 2545   5>,  	 G2 --  1/8th..(109) <      > 	V104 - M125	=-21  %-20  	q= -5  %-5  	 0.598(83)<-----%20   %5

printNotes: i= 56-<2359 2350   9>,  	 F2 --  1/4th..(218) <      > 	V218 - M218	=  +  %+0  	q=  +  %+0  	 1.260(83)
printNotes: i= 57-<2194 2189   5>,  	Ek2 --    1/8th( 62) <      > 	V 70 - M 62	= +8  %+11  	q= +8  %+11  	 0.401(83)
