	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<   0   40 -40>,  	Slc --   whole.(724) <3*sela> 	V783 - M857	=-74  %-9  	q=+59  %+8  	 4.540(86)
printNotes: i= 42-<1640 1682 -42>,  	 C2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(86)
printNotes: i= 43-<2357 2362  -5>,  	 G2 --    1/4th(121) <      > 	V128 - M121	= +7  %+5  	q= +7  %+5  	 0.737(86)
printNotes: i= 44-<1186 2152 -966>,  	 F2 --   1/8th.( 91) <      > 	V 80 - M 91	=-11  %-14  	q=-11  %-14  	 0.459(86)
printNotes: i= 45-<2336 2362 -26>,  	 G2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(86)
printNotes: i= 46-<2167 2152  15>,  	 F2 --  1/16th.( 45) <      > 	V 46 - M 45	= +1  %+2  	q= +1  %+2  	 0.261(86)
printNotes: i= 47-<2349 2362 -13>,  	 G2 --  1/16th.( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(86)
printNotes: i= 48-<2198 2152  46>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(86)
printNotes: i= 49-<2367 2362   5>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(86)
printNotes: i= 50-<2154 2152   2>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(86)
printNotes: i= 51-<1933 2362 -429>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(86)
printNotes: i= 52-<2138 2152 -14>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(86)
printNotes: i= 53-<2001 1992   9>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 54-<2072 2152 -80>,  	 F2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(86)
printNotes: i= 55-<1988 1992  -4>,  	Ek2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(86)
printNotes: i= 56-<1873 1882  -9>,  	 D2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 57-<1975 1992 -17>,  	Ek2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(86)
printNotes: i= 58-<1902 1882  20>,  	 D2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)


silence
printNotes: i= 59-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(86)
printNotes: i= 60-<1983 1882 101>,  	 D2 --    128th(  4) <      > 	V  1 - M  4	= -3  %-300  	q= -3  %-300  	 0.000(86)
printNotes: i= 61-<1993 1992   1>,  	Ek2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(86)
printNotes: i= 62-<2155 2152   3>,  	 F2 --   1/4th.(181) <      > 	V190 - M181	= +9  %+5  	q= +9  %+5  	 1.097(86)
printNotes: i= 63-<1861 1992 -131>,  	Ek2 --    1/8th( 60) <      > 	V 62 - M 60	= +2  %+3  	q= +2  %+3  	 0.354(86)
printNotes: i= 64-<2356 2362  -6>,  	 G2 --    1/4th(121) <      > 	V120 - M121	= -1  %-1  	q= -1  %-1  	 0.691(86)
printNotes: i= 65-<1170 2152 -982>,  	 F2 --  1/8th..(106) <      > 	V102 - M106	= -4  %-4  	q= -4  %-4  	 0.586(86)
printNotes: i= 66-<2221 2556 -335>,  	 A2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 67-<2332 2362 -30>,  	 G2 --   1/8th.( 91) <      > 	V 87 - M 91	= -4  %-5  	q= -4  %-5  	 0.499(86)
printNotes: i= 68-<2179 2152  27>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(86)
printNotes: i= 69-<2343 2362 -19>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(86)
printNotes: i= 70-<2160 2152   8>,  	 F2 --  1/8th..(106) <      > 	V111 - M106	= +5  %+5  	q= +5  %+5  	 0.639(86)
printNotes: i= 71-<2004 1992  12>,  	Ek2 --  1/16th.( 45) <      > 	V 48 - M 45	= +3  %+6  	q= +3  %+6  	 0.273(86)
printNotes: i= 72-<2021 1992  29>,  	Ek2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)<-- same note
printNotes: i= 73-<2331 2362 -31>,  	 G2 -- 1/16th..( 53) <      > 	V 52 - M 53	= -1  %-2  	q= -1  %-2  	 0.296(86)
printNotes: i= 74-<2183 2152  31>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 75-<2358 2362  -4>,  	 G2 --  1/16th.( 45) <      > 	V 42 - M 45	= -3  %-7  	q= -3  %-7  	 0.238(86)
printNotes: i= 76-<2151 2152  -1>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 77-<2176 2362 -186>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(86)
printNotes: i= 78-<2139 2152 -13>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(86)
printNotes: i= 79-<2245 2362 -117>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(86)
printNotes: i= 80-<2153 2152   1>,  	 F2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 81-<1994 1992   2>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 82-<2100 2152 -52>,  	 F2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(86)
printNotes: i= 83-<1994 1992   2>,  	Ek2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(86)
printNotes: i= 84-<2211 2152  59>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 85-<1993 1992   1>,  	Ek2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(86)
printNotes: i= 86-<1848 1882 -34>,  	 D2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(86)
printNotes: i= 87-<1685 1992 -307>,  	Ek2 --   1/8th.( 91) <      > 	V 87 - M 91	= -4  %-5  	q= -4  %-5  	 0.499(86)


silence
printNotes: i= 88-<   0   40 -40>,  	Slc --   2whole(966) <-2*sela> 	V932 - M966	=-34  %-4  	q=-34  %-4  	 5.404(86)
printNotes: i= 89-<1592 1882 -290>,  	 D2 --    half.(362) <-1*sela> 	V336 - M332	= +4  %+1  	q=-26  %-8  	 1.945(86)
printNotes: i= 90-<2362 2362    >,  	 G2 --    half.(362) <-3*sela> 	V312 - M272	=+40  %+13  	q=-50  %-16  	 1.805(86)
printNotes: i= 91-<2165 2152  13>,  	 F2 --  1/16th.( 45) <      > 	V 48 - M 45	= +3  %+6  	q= +3  %+6  	 0.273(86)
printNotes: i= 92-<2333 2362 -29>,  	 G2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(86)
