	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2572 2533  39>,  	 G2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(93)
printNotes: i= 39-<2321 2335 -14>,  	 F2 -- 1/32nd..( 24) <      > 	V 23 - M 28	= -5  %-22  	q= -1  %-4  	 0.128(93)<-----%22   %4

printNotes: i= 40-<2176 2235 -59>,  	 E2 --   1/32nd( 14) <      > 	V 17 - M 28	=-11  %-65  	q= +3  %+18  	 0.093(93)<-----%65   %18

printNotes: i= 41-<2389 2335  54>,  	 F2 --    1/4th(111) <1*sela> 	V133 - M111	=+22  %+17  	q=+22  %+17  	 0.766(93)


silence
printNotes: i= 42-<   0   40 -40>,  	Slc --     half(223) <2*sela> 	V254 - M223	=+31  %+12  	q=+31  %+12  	 1.469(93)
printNotes: i= 43-<2163 2335 -172>,  	 F2 --    1/4th(111) <1*sela> 	V126 - M111	=+15  %+12  	q=+15  %+12  	 0.726(93)
printNotes: i= 44-<2098 2533 -435>,  	 G2 --    1/4th(111) <1*sela> 	V131 - M111	=+20  %+15  	q=+20  %+15  	 0.755(93)
printNotes: i= 45-<2543 2533  10>,  	 G2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(93)<-- same note
printNotes: i= 46-<2718 2733 -15>,  	 A2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(93)
printNotes: i= 47-<2363 2533 -170>,  	 G2 --    1/4th(111) <      > 	V118 - M111	= +7  %+6  	q= +7  %+6  	 0.679(93)
printNotes: i= 48-< 650 2335 -1685>,  	 F2 --    1/8th( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(93)
printNotes: i= 49-<2231 2335 -104>,  	 F2 --    1/4th(111) <1*sela> 	V137 - M167	=-30  %-22  	q=+26  %+19  	 0.789(93)<-- same note
printNotes: i= 50-<2173 2177  -4>,  	Ek2 --   1/16th( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(93)


silence
printNotes: i= 51-<   0   40 -40>,  	Slc --  1/8th..( 97) <      > 	V 93 - M 56	=+37  %+40  	q= -4  %-4  	 0.534(93)<-----%40   %4

printNotes: i= 52-<1838 1833   5>,  	 C2 --  1/32nd.( 21) <      > 	V 22 - M 14	= +8  %+36  	q= +1  %+5  	 0.122(93)<-----%36   %5

printNotes: i= 53-<2275 2335 -60>,  	 F2 --  1/16th.( 42) <      > 	V 43 - M 28	=+15  %+35  	q= +1  %+2  	 0.244(93)<-----%35   %2

printNotes: i= 54-<2209 2177  32>,  	Ek2 -- 1/64th..( 12) <      > 	V 12 - M 14	= -2  %-17  	q=  +  %+0  	 0.064(93)<-----%17   %0 <<

printNotes: i= 55-<2339 2335   4>,  	 F2 --    1/4th(111) <      > 	V108 - M111	= -3  %-3  	q= -3  %-3  	 0.621(93)
printNotes: i= 56-<2531 2533  -2>,  	 G2 --    1/8th( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(93)
printNotes: i= 57-<2328 2335  -7>,  	 F2 --   1/4th.(167) <      > 	V179 - M195	=-16  %-9  	q=+12  %+7  	 1.033(93)
printNotes: i= 58-<2210 2177  33>,  	Ek2 --   128th.(  5) <      > 	V  5 - M 28	=-23  %-460  	q=  +  %+0  	 0.023(93)<-----%460   %0 <<

printNotes: i= 59-<2203 2177  26>,  	Ek2 --  1/32nd.( 21) <      > 	V 18 - M 56	=-38  %-211  	q= -3  %-17  	 0.099(93)<-- same note<-----%211   %17

printNotes: i= 60-<1673 2042 -369>,  	 D2 --  1/4th..(195) <      > 	V189 - M111	=+78  %+41  	q= -6  %-3  	 1.091(93)<-----%41   %3

printNotes: i= 61-<1692 2533 -841>,  	 G2 --   1/8th.( 84) <      > 	V 75 - M 56	=+19  %+25  	q= -9  %-12  	 0.430(93)<-----%25   %12

printNotes: i= 62-<2540 2533   7>,  	 G2 --     half(223) <      > 	V223 - M223	=  +  %+0  	q=  +  %+0  	 1.289(93)<-- same note
printNotes: i= 63-<2643 2733 -90>,  	 A2 --  1/16th.( 42) <      > 	V 45 - M 14	=+31  %+69  	q= +3  %+7  	 0.255(93)<-----%69   %7

printNotes: i= 64-<2552 2533  19>,  	 G2 --    128th(  3) <      > 	V  2 - M 14	=-12  %-600  	q= -1  %-50  	 0.006(93)<-----%600   %50 <<

printNotes: i= 65-<2361 2335  26>,  	 F2 -- 1/32nd..( 24) <      > 	V 24 - M 14	=+10  %+42  	q=  +  %+0  	 0.134(93)<-----%42   %0

printNotes: i= 66-<2499 2533 -34>,  	 G2 --  1/64th.( 10) <      > 	V 10 - M 14	= -4  %-40  	q=  +  %+0  	 0.052(93)<-----%40   %0 <<

printNotes: i= 67-<2197 2177  20>,  	Ek2 --  1/16th.( 42) <      > 	V 36 - M 14	=+22  %+61  	q= -6  %-17  	 0.203(93)<-----%61   %17

printNotes: i= 68-<2400 2335  65>,  	 F2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 69-<2040 2042  -2>,  	 D2 --  1/16th.( 42) <      > 	V 45 - M 14	=+31  %+69  	q= +3  %+7  	 0.255(93)<-----%69   %7

printNotes: i= 70-<2148 2177 -29>,  	Ek2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(93)
printNotes: i= 71-<1858 1833  25>,  	 C2 --  1/8th..( 97) <      > 	V 99 - M111	=-12  %-12  	q= +2  %+2  	 0.569(93)<-----%12   %2



silence
printNotes: i= 72-<  34   40  -6>,  	Slc --    1/4th(111) <1*sela> 	V135 - M111	=+24  %+18  	q=+24  %+18  	 0.778(93)
printNotes: i= 73-<1978 2335 -357>,  	 F2 --    1/4th(111) <      > 	V124 - M111	=+13  %+10  	q=+13  %+10  	 0.714(93)
printNotes: i= 74-<2224 2533 -309>,  	 G2 --   1/4th.(167) <-1*sela> 	V140 - M111	=+29  %+21  	q=-27  %-19  	 0.807(93)
printNotes: i= 75-<2715 2733 -18>,  	 A2 --   1/32nd( 14) <      > 	V 17 - M 28	=-11  %-65  	q= +3  %+18  	 0.093(93)<-----%65   %18

printNotes: i= 76-<2507 2533 -26>,  	 G2 --   1/4th.(167) <-2*sela> 	V139 - M139	=  +  %+0  	q=-28  %-20  	 0.801(93)
printNotes: i= 77-<2331 2335  -4>,  	 F2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(93)
printNotes: i= 78-<2523 2533 -10>,  	 G2 --  1/32nd.( 21) <      > 	V 21 - M 14	= +7  %+33  	q=  +  %+0  	 0.116(93)<-----%33   %0

printNotes: i= 79-<2290 2335 -45>,  	 F2 --  1/16th.( 42) <      > 	V 40 - M 28	=+12  %+30  	q= -2  %-5  	 0.226(93)<-----%30   %5

