	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1798 1818 -20>,  	 C2 -- 1/32nd..( 26) <      > 	V 25 - M  6	=+19  %+76  	q= -1  %-4  	 0.139(88)<-----%76   %4

printNotes: i= 39-<1829 2031 -202>,  	 D2 --    128th(  4) <      > 	V  2 - M  6	= -4  %-200  	q= -2  %-100  	 0.006(88)<-----%200   %100 <<

printNotes: i= 40-<1792 1818 -26>,  	 C2 --  1/32nd.( 22) <      > 	V 23 - M 12	=+11  %+48  	q= +1  %+4  	 0.128(88)<-----%48   %4

printNotes: i= 41-<2022 2031  -9>,  	 D2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 42-<2185 2168  17>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 43-<1800 1818 -18>,  	 C2 --   1/4th.(176) <      > 	V165 - M176	=-11  %-7  	q=-11  %-7  	 0.952(88)
printNotes: i= 44-<1684 1654  30>,  	Bk1 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 45-<2022 2031  -9>,  	 D2 --   1/4th.(176) <      > 	V175 - M147	=+28  %+16  	q= -1  %-1  	 1.010(88)<-----%16   %1

printNotes: i= 46-<1828 1818  10>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 47-<1980 2031 -51>,  	 D2 --  1/8th..(103) <      > 	V108 - M 59	=+49  %+45  	q= +5  %+5  	 0.621(88)<-----%45   %5



silence
printNotes: i= 48-<   0   40 -40>,  	Slc --   1/4th.(176) <      > 	V164 - M117	=+47  %+29  	q=-12  %-7  	 0.946(88)<-----%29   %7

printNotes: i= 49-<1293 1316 -23>,  	 G1 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 50-<1814 1818  -4>,  	 C2 -- 1/16th..( 51) <      > 	V 49 - M 29	=+20  %+41  	q= -2  %-4  	 0.279(88)<-----%41   %4

printNotes: i= 51-<2278 2314 -36>,  	 F2 --   1/16th( 29) <      > 	V 33 - M 44	=-11  %-33  	q= +4  %+12  	 0.186(88)<-----%33   %12

printNotes: i= 52-<2178 2168  10>,  	Ek2 --  1/16th.( 44) <      > 	V 37 - M 44	= -7  %-19  	q= -7  %-19  	 0.209(88)
printNotes: i= 53-<2320 2314   6>,  	 F2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(88)<-----%24   %16

