	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2505 3010 -505>,  	 C3 --   1/8th.( 96) <      > 	V 96 - M 96	=  +  %+0  	q=  +  %+0  	 0.551(81)<-- same note
printNotes: i= 39-<2688 2801 -113>,  	Bb2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(81)<-----%39   %4

printNotes: i= 40-<2964 3010 -46>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(81)<-----%146   %8 <<

printNotes: i= 41-<1132 3010 -1878>,  	 C3 --   1/64th(  8) <      > 	V  8 - M 64	=-56  %-700  	q=  +  %+0  	 0.041(81)<-- same note<-----%700   %0 <<

printNotes: i= 42-<1601 2801 -1200>,  	Bb2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i= 43-<3177 3208 -31>,  	 D3 --  1/32nd.( 24) <      > 	V 22 - M 16	= +6  %+27  	q= -2  %-9  	 0.122(81)<-----%27   %9

printNotes: i= 44-<3014 3010   4>,  	 C3 --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(81)
printNotes: i= 45-<3219 3208  11>,  	 D3 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(81)<-----%100   %0 <<

printNotes: i= 46-<3015 3010   5>,  	 C3 --   1/16th( 32) <      > 	V 33 - M 16	=+17  %+52  	q= +1  %+3  	 0.186(81)<-----%52   %3

printNotes: i= 47-<2823 2801  22>,  	Bb2 --    1/8th( 64) <      > 	V 73 - M128	=-55  %-75  	q= +9  %+12  	 0.418(81)<-----%75   %12

printNotes: i= 48-<3001 3010  -9>,  	 C3 --    1/8th( 64) <      > 	V 70 - M 64	= +6  %+9  	q= +6  %+9  	 0.401(81)
printNotes: i= 49-<2801 2801    >,  	Bb2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)


silence
printNotes: i= 50-<   0   40 -40>,  	Slc --     half(257) <      > 	V264 - M257	= +7  %+3  	q= +7  %+3  	 1.527(81)
printNotes: i= 51-<2729 2801 -72>,  	Bb2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 52-<2973 3010 -37>,  	 C3 --  1/16th.( 48) <      > 	V 50 - M 32	=+18  %+36  	q= +2  %+4  	 0.284(81)<-----%36   %4

printNotes: i= 53-<2890 3010 -120>,  	 C3 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)<-- same note
printNotes: i= 54-<1665 3010 -1345>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 55-<2955 3010 -55>,  	 C3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 56-<2783 2801 -18>,  	Bb2 --   1/8th.( 96) <      > 	V 94 - M 48	=+46  %+49  	q= -2  %-2  	 0.540(81)<-----%49   %2

printNotes: i= 57-<2978 3010 -32>,  	 C3 --    1/8th( 64) <      > 	V 64 - M 48	=+16  %+25  	q=  +  %+0  	 0.366(81)<-----%25   %0

printNotes: i= 58-<2813 2801  12>,  	Bb2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)
printNotes: i= 59-<3194 3208 -14>,  	 D3 --    1/4th(128) <1*sela> 	V153 - M128	=+25  %+16  	q=+25  %+16  	 0.882(81)
printNotes: i= 60-<3011 3010   1>,  	 C3 --   1/8th.( 96) <      > 	V102 - M 64	=+38  %+37  	q= +6  %+6  	 0.586(81)<-----%37   %6

printNotes: i= 61-<3394 3310  84>,  	Eb3 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(81)<-----%146   %8 <<

printNotes: i= 62-<3248 3208  40>,  	 D3 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i= 63-<3034 3010  24>,  	 C3 --  1/32nd.( 24) <      > 	V 23 - M 16	= +7  %+30  	q= -1  %-4  	 0.128(81)<-----%30   %4

printNotes: i= 64-<3203 3208  -5>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(81)<-----%33   %0 <<

printNotes: i= 65-<3012 3010   2>,  	 C3 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i= 66-<2777 2801 -24>,  	Bb2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 67-<2941 3010 -69>,  	 C3 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(81)<-----%167   %0 <<

printNotes: i= 68-<2816 2801  15>,  	Bb2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 69-<2663 2662   1>,  	Ak2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(81)
printNotes: i= 70-<2766 2801 -35>,  	Bb2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(81)<-----%300   %0 <<

printNotes: i= 71-<2648 2662 -14>,  	Ak2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(81)<-----%78   %11

printNotes: i= 72-<2810 2801   9>,  	Bb2 -- 1/32nd..( 28) <      > 	V 28 - M 16	=+12  %+43  	q=  +  %+0  	 0.157(81)<-----%43   %0

printNotes: i= 73-<2899 3010 -111>,  	 C3 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(81)<-----%300   %0 <<

printNotes: i= 74-<2646 2801 -155>,  	Bb2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(81)<-----%68   %16

printNotes: i= 75-<3024 3010  14>,  	 C3 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 76-<3214 3208   6>,  	 D3 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 77-<2794 2801  -7>,  	Bb2 --  1/16th.( 48) <      > 	V 50 - M 64	=-14  %-28  	q= +2  %+4  	 0.284(81)<-----%28   %4

printNotes: i= 78-<3022 3010  12>,  	 C3 --   1/16th( 32) <      > 	V 38 - M 48	=-10  %-26  	q= +6  %+16  	 0.215(81)<-----%26   %16

printNotes: i= 79-<2647 2801 -154>,  	Bb2 --  1/8th..(112) <      > 	V112 - M128	=-16  %-14  	q=  +  %+0  	 0.644(81)<-----%14   %0

printNotes: i= 80-<3007 3010  -3>,  	 C3 --    1/8th( 64) <      > 	V 73 - M 64	= +9  %+12  	q= +9  %+12  	 0.418(81)
printNotes: i= 81-<2841 2801  40>,  	Bb2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 82-<2658 2662  -4>,  	Ak2 --    1/8th( 64) <      > 	V 64 - M 96	=-32  %-50  	q=  +  %+0  	 0.366(81)<-----%50   %0

printNotes: i= 83-<2619 2532  87>,  	 G2 -- 1/16th..( 56) <      > 	V 55 - M 64	= -9  %-16  	q= -1  %-2  	 0.313(81)<-----%16   %2



silence
printNotes: i= 84-<   0   40 -40>,  	Slc --   1/4th.(192) <-2*sela> 	V160 - M128	=+32  %+20  	q=-32  %-20  	 0.923(81)
printNotes: i= 85-<1917 2132 -215>,  	Eb2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 86-<2642 2662 -20>,  	Ak2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i= 87-<2510 2532 -22>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 88-<2657 2662  -5>,  	Ak2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(81)<-----%28   %4

printNotes: i= 89-<2778 2801 -23>,  	Bb2 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(81)<-----%41   %4

printNotes: i= 90-<2981 3010 -29>,  	 C3 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(81)<-----%129   %0 <<

printNotes: i= 91-<2834 2801  33>,  	Bb2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 92-<2666 2662   4>,  	Ak2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14

printNotes: i= 93-<2727 2801 -74>,  	Bb2 --   1/16th( 32) <      > 	V 32 - M 16	=+16  %+50  	q=  +  %+0  	 0.180(81)<-----%50   %0

printNotes: i= 94-<2943 3010 -67>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(81)<-----%45   %9 <<

printNotes: i= 95-<2686 2662  24>,  	Ak2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 96-<1959 2801 -842>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 97-<2628 2662 -34>,  	Ak2 --   1/16th( 32) <      > 	V 30 - M 48	=-18  %-60  	q= -2  %-7  	 0.168(81)<-----%60   %7

printNotes: i= 98-<2658 2801 -143>,  	Bb2 --  1/8th..(112) <      > 	V109 - M128	=-19  %-17  	q= -3  %-3  	 0.627(81)<-----%17   %3

printNotes: i= 99-<3003 3010  -7>,  	 C3 --  1/16th.( 48) <      > 	V 41 - M 64	=-23  %-56  	q= -7  %-17  	 0.232(81)<-----%56   %17

printNotes: i= 100-<2896 2801  95>,  	Bb2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i= 101-<2666 2662   4>,  	Ak2 -- 1/16th..( 56) <      > 	V 53 - M 64	=-11  %-21  	q= -3  %-6  	 0.302(81)<-----%21   %6

printNotes: i= 102-<2527 2532  -5>,  	 G2 --    1/8th( 64) <      > 	V 71 - M 96	=-25  %-35  	q= +7  %+10  	 0.406(81)<-----%35   %10

printNotes: i= 103-<2798 2801  -3>,  	Bb2 --  1/16th.( 48) <      > 	V 43 - M 16	=+27  %+63  	q= -5  %-12  	 0.244(81)<-----%63   %12

printNotes: i= 104-<2666 2662   4>,  	Ak2 --  1/32nd.( 24) <      > 	V 25 - M 16	= +9  %+36  	q= +1  %+4  	 0.139(81)<-----%36   %4

printNotes: i= 105-<2872 2801  71>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M  8	= +8  %+50  	q=  +  %+0  	 0.087(81)<-----%50   %0 <<

printNotes: i= 106-<2668 2662   6>,  	Ak2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 107-<2793 2801  -8>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 108-<2541 2532   9>,  	 G2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 109-<2266 2662 -396>,  	Ak2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 110-<2326 2532 -206>,  	 G2 -- 1/16th..( 56) <      > 	V 53 - M 64	=-11  %-21  	q= -3  %-6  	 0.302(81)<-----%21   %6

printNotes: i= 111-<2661 2662  -1>,  	Ak2 --   1/8th.( 96) <      > 	V 92 - M 96	= -4  %-4  	q= -4  %-4  	 0.528(81)
printNotes: i= 112-<2532 2532    >,  	 G2 --   1/8th.( 96) <      > 	V 91 - M 64	=+27  %+30  	q= -5  %-5  	 0.522(81)<-----%30   %5

printNotes: i= 113-<2292 2332 -40>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 114-<2542 2532  10>,  	 G2 --     half(257) <      > 	V244 - M262	=-18  %-7  	q=-13  %-5  	 1.411(81)


