	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-< 956 2317 -1361>,  	 F2 -- 1/32nd..( 30) <      > 	V 32 - M 35	= -3  %-9  	q= +2  %+6  	 0.180(74)<-----%9   %6

printNotes: i= 39-<2295 2317 -22>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 35	=-15  %-75  	q= +3  %+15  	 0.110(74)<-- same note<-----%75   %15

printNotes: i= 40-<2521 2525  -4>,  	 G2 --    1/4th(139) <2*sela> 	V173 - M208	=-35  %-20  	q=+34  %+20  	 0.998(74)
printNotes: i= 41-<2331 2317  14>,  	 F2 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(74)<-----%21   %7 <<

printNotes: i= 42-<2534 2525   9>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(74)<-----%31   %0 <<

printNotes: i= 43-<2186 2317 -131>,  	 F2 -- 1/32nd..( 30) <      > 	V 28 - M 35	= -7  %-25  	q= -2  %-7  	 0.157(74)<-----%25   %7

printNotes: i= 44-<2014 2158 -144>,  	Ek2 -- 1/64th..( 15) <      > 	V 15 - M 35	=-20  %-133  	q=  +  %+0  	 0.081(74)<-----%133   %0 <<

printNotes: i= 45-<2257 2317 -60>,  	 F2 --  1/32nd.( 26) <      > 	V 25 - M 35	=-10  %-40  	q= -1  %-4  	 0.139(74)<-----%40   %4

printNotes: i= 46-<2527 2525   2>,  	 G2 --   1/16th( 35) <      > 	V 38 - M 35	= +3  %+8  	q= +3  %+8  	 0.215(74)
printNotes: i= 47-<2314 2317  -3>,  	 F2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(74)
printNotes: i= 48-<2342 2525 -183>,  	 G2 --   1/64th(  9) <      > 	V 11 - M 17	= -6  %-55  	q= +2  %+18  	 0.058(74)<-----%55   %18 <<

printNotes: i= 49-<2305 2317 -12>,  	 F2 --   1/16th( 35) <      > 	V 34 - M 35	= -1  %-3  	q= -1  %-3  	 0.192(74)
printNotes: i= 50-<2175 2158  17>,  	Ek2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(74)
printNotes: i= 51-<2379 2317  62>,  	 F2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(74)
printNotes: i= 52-<2224 2158  66>,  	Ek2 --   1/16th( 35) <      > 	V 41 - M 35	= +6  %+15  	q= +6  %+15  	 0.232(74)
printNotes: i= 53-<2021 2033 -12>,  	 D2 -- 1/32nd..( 30) <      > 	V 29 - M 17	=+12  %+41  	q= -1  %-3  	 0.163(74)<-----%41   %3

printNotes: i= 54-<2208 2158  50>,  	Ek2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(74)
printNotes: i= 55-<2029 2033  -4>,  	 D2 --   1/16th( 35) <      > 	V 40 - M 35	= +5  %+12  	q= +5  %+12  	 0.226(74)
printNotes: i= 56-<2154 2158  -4>,  	Ek2 --    1/8th( 69) <      > 	V 83 - M104	=-21  %-25  	q=+14  %+17  	 0.476(74)<-----%25   %17

printNotes: i= 57-<2120 2033  87>,  	 D2 --    1/8th( 69) <      > 	V 66 - M 69	= -3  %-5  	q= -3  %-5  	 0.377(74)


silence
printNotes: i= 58-<   0   40 -40>,  	Slc --     half(278) <      > 	V264 - M278	=-14  %-5  	q=-14  %-5  	 1.527(74)
printNotes: i= 59-<1748 2158 -410>,  	Ek2 --  1/16th.( 52) <      > 	V 47 - M 52	= -5  %-11  	q= -5  %-11  	 0.267(74)
printNotes: i= 60-<2295 2317 -22>,  	 F2 --   1/16th( 35) <      > 	V 40 - M 35	= +5  %+12  	q= +5  %+12  	 0.226(74)
printNotes: i= 61-<2516 2525  -9>,  	 G2 --    1/8th( 69) <1*sela> 	V 86 - M139	=-53  %-62  	q=+17  %+20  	 0.493(74)<-----%62   %20

printNotes: i= 62-<2311 2317  -6>,  	 F2 --  1/16th.( 52) <      > 	V 47 - M 35	=+12  %+26  	q= -5  %-11  	 0.267(74)<-----%26   %11

printNotes: i= 63-<2529 2525   4>,  	 G2 --   1/16th( 35) <      > 	V 37 - M 52	=-15  %-41  	q= +2  %+5  	 0.209(74)<-----%41   %5

printNotes: i= 64-<2321 2317   4>,  	 F2 --    1/4th(139) <      > 	V146 - M208	=-62  %-42  	q= +7  %+5  	 0.842(74)<-----%42   %5

printNotes: i= 65-<2197 2158  39>,  	Ek2 -- 1/64th..( 15) <      > 	V 15 - M 35	=-20  %-133  	q=  +  %+0  	 0.081(74)<-----%133   %0 <<



silence
printNotes: i= 66-<   0   40 -40>,  	Slc --   1/16th( 35) <      > 	V 43 - M 35	= +8  %+19  	q= +8  %+19  	 0.244(74)
printNotes: i= 67-<2127 2317 -190>,  	 F2 --  1/32nd.( 26) <      > 	V 23 - M 35	=-12  %-52  	q= -3  %-13  	 0.128(74)<-----%52   %13

printNotes: i= 68-<2086 2158 -72>,  	Ek2 --   1/16th( 35) <      > 	V 39 - M 35	= +4  %+10  	q= +4  %+10  	 0.221(74)
printNotes: i= 69-<2305 2317 -12>,  	 F2 --  1/32nd.( 26) <      > 	V 25 - M 35	=-10  %-40  	q= -1  %-4  	 0.139(74)<-----%40   %4

printNotes: i= 70-<2181 2158  23>,  	Ek2 --  1/16th.( 52) <      > 	V 54 - M 52	= +2  %+4  	q= +2  %+4  	 0.308(74)
printNotes: i= 71-<2037 2033   4>,  	 D2 --  1/16th.( 52) <      > 	V 49 - M 35	=+14  %+29  	q= -3  %-6  	 0.279(74)<-----%29   %6

printNotes: i= 72-<2154 2158  -4>,  	Ek2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(74)
printNotes: i= 73-<2046 2033  13>,  	 D2 --    1/8th( 69) <      > 	V 81 - M 69	=+12  %+15  	q=+12  %+15  	 0.464(74)
printNotes: i= 74-<2166 2158   8>,  	Ek2 --  1/32nd.( 26) <      > 	V 22 - M 17	= +5  %+23  	q= -4  %-18  	 0.122(74)<-----%23   %18

printNotes: i= 75-<2025 2033  -8>,  	 D2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)
