	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2806 2823 -17>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(87)<-----%15   %0 <<

printNotes: i= 39-<2530 2531  -1>,  	 G2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(87)
printNotes: i= 40-<2806 2660 146>,  	Ak2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(87)<-----%21   %16

printNotes: i= 41-<2571 2531  40>,  	 G2 --   1/16th( 30) <      > 	V 35 - M 45	=-10  %-29  	q= +5  %+14  	 0.197(87)<-----%29   %14

printNotes: i= 42-<3005 3017 -12>,  	 C3 --  1/16th.( 45) <      > 	V 38 - M 15	=+23  %+61  	q= -7  %-18  	 0.215(87)<-----%61   %18

printNotes: i= 43-<3208 3203   5>,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 44-<2831 2823   8>,  	Bb2 --    1/4th(119) <1*sela> 	V135 - M148	=-13  %-10  	q=+16  %+12  	 0.778(87)
printNotes: i= 45-<3006 3017 -11>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 46-<2824 2823   1>,  	Bb2 -- 1/16th..( 52) <      > 	V 54 - M 45	= +9  %+17  	q= +2  %+4  	 0.308(87)<-----%17   %4

printNotes: i= 47-<3003 3017 -14>,  	 C3 --  1/16th.( 45) <      > 	V 48 - M 45	= +3  %+6  	q= +3  %+6  	 0.273(87)
printNotes: i= 48-<2820 2823  -3>,  	Bb2 -- 1/32nd..( 26) <      > 	V 25 - M 15	=+10  %+40  	q= -1  %-4  	 0.139(87)<-----%40   %4

printNotes: i= 49-<3003 3017 -14>,  	 C3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 50-<2663 2660   3>,  	Ak2 --  1/8th..(104) <      > 	V100 - M 89	=+11  %+11  	q= -4  %-4  	 0.575(87)<-----%11   %4

printNotes: i= 51-<2590 2531  59>,  	 G2 -- 1/16th..( 52) <      > 	V 52 - M 59	= -7  %-13  	q=  +  %+0  	 0.296(87)<-----%13   %0



silence
printNotes: i= 52-<   0   40 -40>,  	Slc --   whole.(713) <-3*sela> 	V666 - M1010	=-344  %-52  	q=-47  %-7  	 3.860(87)<-----%52   %7

printNotes: i= 53-<2638 3017 -379>,  	 C3 --   1/8th.( 89) <      > 	V 87 - M 45	=+42  %+48  	q= -2  %-2  	 0.499(87)<-----%48   %2

printNotes: i= 54-<2998 3017 -19>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i= 55-<1880 3017 -1137>,  	 C3 --    1/4th(119) <      > 	V119 - M119	=  +  %+0  	q=  +  %+0  	 0.685(87)<-- same note
printNotes: i= 56-<3029 3017  12>,  	 C3 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)<-- same note
printNotes: i= 57-<2767 2823 -56>,  	Bb2 --   1/8th.( 89) <      > 	V 75 - M 59	=+16  %+21  	q=-14  %-19  	 0.430(87)
printNotes: i= 58-<3213 3203  10>,  	 D3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 59-<3021 3017   4>,  	 C3 --   1/16th( 30) <      > 	V 32 - M 45	=-13  %-41  	q= +2  %+6  	 0.180(87)<-----%41   %6

printNotes: i= 60-<3224 3203  21>,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(87)<-----%114   %7 <<

printNotes: i= 61-<3010 3017  -7>,  	 C3 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(87)
printNotes: i= 62-<2812 2823 -11>,  	Bb2 --    1/4th(119) <      > 	V122 - M119	= +3  %+2  	q= +3  %+2  	 0.702(87)
printNotes: i= 63-<2983 3017 -34>,  	 C3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 64-<2833 2823  10>,  	Bb2 -- 1/16th..( 52) <      > 	V 50 - M 45	= +5  %+10  	q= -2  %-4  	 0.284(87)<-----%10   %4

printNotes: i= 65-<3003 3017 -14>,  	 C3 --  1/16th.( 45) <      > 	V 38 - M 59	=-21  %-55  	q= -7  %-18  	 0.215(87)<-----%55   %18

printNotes: i= 66-<2800 2823 -23>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 67-<2982 3017 -35>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(87)<-----%15   %0 <<

printNotes: i= 68-<2672 2660  12>,  	Ak2 -- 1/16th..( 52) <      > 	V 52 - M 59	= -7  %-13  	q=  +  %+0  	 0.296(87)<-----%13   %0

printNotes: i= 69-<2526 2531  -5>,  	 G2 --  1/16th.( 45) <      > 	V 39 - M 59	=-20  %-51  	q= -6  %-15  	 0.221(87)<-----%51   %15



silence
printNotes: i= 70-<  32   40  -8>,  	Slc --     half(238) <2*sela> 	V281 - M238	=+43  %+15  	q=+43  %+15  	 1.625(87)
printNotes: i= 71-<1327 3017 -1690>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 72-<1866 2823 -957>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(87)<-----%15   %0

printNotes: i= 73-<2801 2823 -22>,  	Bb2 --    128th(  4) <      > 	V  2 - M 59	=-57  %-2850  	q= -2  %-100  	 0.006(87)<-- same note<-----%2850   %100 <<

printNotes: i= 74-<2653 2660  -7>,  	Ak2 --    128th(  4) <      > 	V  5 - M 59	=-54  %-1080  	q= +1  %+20  	 0.023(87)<-----%1080   %20 <<

printNotes: i= 75-< 532 2531 -1999>,  	 G2 --  1/16th.( 45) <      > 	V 38 - M 59	=-21  %-55  	q= -7  %-18  	 0.215(87)<-----%55   %18

printNotes: i= 76-<2725 2660  65>,  	Ak2 --   1/8th.( 89) <      > 	V 77 - M 30	=+47  %+61  	q=-12  %-16  	 0.441(87)<-----%61   %16

printNotes: i= 77-< 831 2531 -1700>,  	 G2 --  1/16th.( 45) <      > 	V 39 - M 15	=+24  %+62  	q= -6  %-15  	 0.221(87)<-----%62   %15

printNotes: i= 78-<2033 2660 -627>,  	Ak2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(87)<-----%20   %4

printNotes: i= 79-<2570 2531  39>,  	 G2 --   1/8th.( 89) <      > 	V 79 - M 59	=+20  %+25  	q=-10  %-13  	 0.453(87)<-----%25   %13

printNotes: i= 80-<2120 2531 -411>,  	 G2 --    1/4th(119) <      > 	V119 - M119	=  +  %+0  	q=  +  %+0  	 0.685(87)<-- same note
printNotes: i= 81-<   0 2331 -2331>,  	 F2 --  1/16th.( 45) <      > 	V 40 - M 30	=+10  %+25  	q= -5  %-12  	 0.226(87)<-----%25   %12

printNotes: i= 82-<1793 2531 -738>,  	 G2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
printNotes: i= 83-<2549 2660 -111>,  	Ak2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(87)<-----%11   %4

