	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2228 2173  55>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 39-<1980 2040 -60>,  	 D2 --  128th..(  7) <      > 	V  7 - M 31	=-24  %-343  	q=  +  %+0  	 0.035(83)<-----%343   %0 <<

printNotes: i= 40-<1837 1817  20>,  	 C2 --  1/16th.( 47) <      > 	V 42 - M 31	=+11  %+26  	q= -5  %-12  	 0.238(83)<-----%26   %12

printNotes: i= 41-<1815 1817  -2>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 42-<2046 2040   6>,  	 D2 --     half(249) <      > 	V236 - M374	=-138  %-58  	q=-13  %-6  	 1.364(83)<-----%58   %6



silence
printNotes: i= 43-<   0   40 -40>,  	Slc --    whole(499) <      > 	V510 - M374	=+136  %+27  	q=+11  %+2  	 2.955(83)<-----%27   %2

printNotes: i= 44-<1779 1817 -38>,  	 C2 --  1/16th.( 47) <      > 	V 45 - M 47	= -2  %-4  	q= -2  %-4  	 0.255(83)
printNotes: i= 45-<1919 1817 102>,  	 C2 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-- same note<-----%158   %0 <<

printNotes: i= 46-<2313 2325 -12>,  	 F2 --   1/4th.(187) <      > 	V187 - M249	=-62  %-33  	q=  +  %+0  	 1.080(83)<-----%33   %0

printNotes: i= 47-<1239 2173 -934>,  	Ek2 --    1/8th( 62) <      > 	V 75 - M 25	=+50  %+67  	q=+13  %+17  	 0.430(83)<-----%67   %17

printNotes: i= 48-<2047 2040   7>,  	 D2 --  1/32nd.( 23) <      > 	V 22 - M 25	= -3  %-14  	q= -1  %-5  	 0.122(83)<-----%14   %5

printNotes: i= 49-<2172 2173  -1>,  	Ek2 -- 1/32nd..( 27) <      > 	V 25 - M 25	=  +  %+0  	q= -2  %-8  	 0.139(83)
printNotes: i= 50-<2325 2325    >,  	 F2 --   1/16th( 31) <      > 	V 30 - M 25	= +5  %+17  	q= -1  %-3  	 0.168(83)<-----%17   %3

printNotes: i= 51-<2025 2040 -15>,  	 D2 --   1/16th( 31) <      > 	V 33 - M 25	= +8  %+24  	q= +2  %+6  	 0.186(83)<-----%24   %6

printNotes: i= 52-<1767 2173 -406>,  	Ek2 --    1/4th(125) <      > 	V125 - M125	=  +  %+0  	q=  +  %+0  	 0.720(83)
printNotes: i= 53-<2064 2040  24>,  	 D2 --  1/8th..(109) <      > 	V114 - M 62	=+52  %+46  	q= +5  %+4  	 0.656(83)<-----%46   %4



silence
printNotes: i= 54-<   0   40 -40>,  	Slc --   1/4th.(187) <-1*sela> 	V168 - M187	=-19  %-11  	q=-19  %-11  	 0.969(83)
printNotes: i= 55-<2010 2040 -30>,  	 D2 --   1/16th( 31) <      > 	V 34 - M 16	=+18  %+53  	q= +3  %+9  	 0.192(83)<-----%53   %9

printNotes: i= 56-<2442 2537 -95>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 47	=-14  %-42  	q= +2  %+6  	 0.186(83)<-----%42   %6

printNotes: i= 57-<2310 2325 -15>,  	 F2 --  1/4th..(218) <      > 	V217 - M249	=-32  %-15  	q= -1  %-0  	 1.254(83)<-----%15   %0

printNotes: i= 58-<2180 2173   7>,  	Ek2 --  1/16th.( 47) <      > 	V 42 - M 31	=+11  %+26  	q= -5  %-12  	 0.238(83)<-----%26   %12

printNotes: i= 59-<2051 2040  11>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 60-<2152 2173 -21>,  	Ek2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 61-<2307 2325 -18>,  	 F2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 62-<2168 2173  -5>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 63-<2299 2325 -26>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(83)<-----%23   %8 <<

printNotes: i= 64-<2202 2173  29>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 65-<2002 2040 -38>,  	 D2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 66-<2102 2173 -71>,  	Ek2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 67-<2040 2040    >,  	 D2 --   1/16th( 31) <      > 	V 30 - M 16	=+14  %+47  	q= -1  %-3  	 0.168(83)<-----%47   %3

printNotes: i= 68-<2234 2173  61>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(83)
printNotes: i= 69-<2042 2040   2>,  	 D2 --   1/8th.( 93) <      > 	V 95 - M 47	=+48  %+51  	q= +2  %+2  	 0.546(83)<-----%51   %2

printNotes: i= 70-<2151 2173 -22>,  	Ek2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 71-<2042 2040   2>,  	 D2 --  1/16th.( 47) <      > 	V 40 - M 31	= +9  %+22  	q= -7  %-18  	 0.226(83)<-----%22   %18

printNotes: i= 72-<2203 2173  30>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 73-<2027 2040 -13>,  	 D2 --   1/16th( 31) <      > 	V 29 - M 16	=+13  %+45  	q= -2  %-7  	 0.163(83)<-----%45   %7

printNotes: i= 74-<2179 2173   6>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 75-<1829 1817  12>,  	 C2 --  1/16th.( 47) <      > 	V 44 - M 31	=+13  %+30  	q= -3  %-7  	 0.250(83)<-----%30   %7

printNotes: i= 76-<1815 1817  -2>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 77-<2038 2040  -2>,  	 D2 --  1/4th..(218) <      > 	V229 - M249	=-20  %-9  	q=+11  %+5  	 1.324(83)<-----%9   %5



silence
printNotes: i= 78-<   0   40 -40>,  	Slc --    whole(499) <3*sela> 	V550 - M499	=+51  %+9  	q=+51  %+9  	 3.187(83)
printNotes: i= 79-<2094 2325 -231>,  	 F2 --   1/16th( 31) <      > 	V 35 - M 16	=+19  %+54  	q= +4  %+11  	 0.197(83)<-----%54   %11

printNotes: i= 80-<1350 2173 -823>,  	Ek2 -- 1/16th..( 55) <      > 	V 57 - M 47	=+10  %+18  	q= +2  %+4  	 0.325(83)<-----%18   %4

printNotes: i= 81-<2334 2325   9>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 82-<2298 2325 -27>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-- same note<-----%15   %0

printNotes: i= 83-<2537 2537    >,  	 G2 --    1/4th(125) <1*sela> 	V149 - M156	= -7  %-5  	q=+24  %+16  	 0.859(83)
printNotes: i= 84-<1344 2325 -981>,  	 F2 --    1/8th( 62) <      > 	V 71 - M 31	=+40  %+56  	q= +9  %+13  	 0.406(83)<-----%56   %13

printNotes: i= 85-<2501 2537 -36>,  	 G2 --   1/16th( 31) <      > 	V 35 - M 47	=-12  %-34  	q= +4  %+11  	 0.197(83)<-----%34   %11

printNotes: i= 86-<2306 2325 -19>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 87-<2453 2537 -84>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-----%45   %9 <<

printNotes: i= 88-<2294 2325 -31>,  	 F2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(83)<-----%11   %4

printNotes: i= 89-<2174 2173   1>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 90-<2288 2325 -37>,  	 F2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(83)<-----%167   %0 <<

printNotes: i= 91-<2147 2173 -26>,  	Ek2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 92-<2030 2040 -10>,  	 D2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 93-<1050 2173 -1123>,  	Ek2 -- 1/16th..( 55) <      > 	V 53 - M 31	=+22  %+42  	q= -2  %-4  	 0.302(83)<-----%42   %4

printNotes: i= 94-<2139 2173 -34>,  	Ek2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(83)<-- same note
printNotes: i= 95-<2134 2040  94>,  	 D2 --    1/8th( 62) <      > 	V 74 - M 62	=+12  %+16  	q=+12  %+16  	 0.424(83)


silence
