	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2126 2148 -22>,  	 D3 --  1/64th.( 13) <      > 	V 12 - M 17	= -5  %-42  	q= -1  %-8  	 0.064(75)<-----%42   %8 <<

printNotes: i= 39-<1987 1957  30>,  	 C3 --  1/32nd.( 26) <      > 	V 27 - M 17	=+10  %+37  	q= +1  %+4  	 0.151(75)<-----%37   %4

printNotes: i= 40-<2127 2148 -21>,  	 D3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(75)
printNotes: i= 41-<1975 1957  18>,  	 C3 -- 1/64th..( 15) <      > 	V 15 - M 34	=-19  %-127  	q=  +  %+0  	 0.081(75)<-----%127   %0 <<

printNotes: i= 42-<1964 1957   7>,  	 C3 --   1/32nd( 17) <      > 	V 17 - M 34	=-17  %-100  	q=  +  %+0  	 0.093(75)<-- same note<-----%100   %0

printNotes: i= 43-<2156 2148   8>,  	 D3 --   1/32nd( 17) <      > 	V 18 - M 34	=-16  %-89  	q= +1  %+6  	 0.099(75)<-----%89   %6

printNotes: i= 44-<1970 1957  13>,  	 C3 --   1/8th.(103) <      > 	V103 - M137	=-34  %-33  	q=  +  %+0  	 0.592(75)<-----%33   %0

printNotes: i= 45-<1740 1743  -3>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(75)<-----%31   %0 <<

printNotes: i= 46-<1943 1957 -14>,  	 C3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(75)
printNotes: i= 47-<1748 1743   5>,  	Bb2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(75)
printNotes: i= 48-<1881 1957 -76>,  	 C3 --  1/64th.( 13) <      > 	V 12 - M 17	= -5  %-42  	q= -1  %-8  	 0.064(75)<-----%42   %8 <<

printNotes: i= 49-<1750 1743   7>,  	Bb2 -- 1/32nd..( 30) <      > 	V 31 - M 17	=+14  %+45  	q= +1  %+3  	 0.174(75)<-----%45   %3

printNotes: i= 50-<1968 1957  11>,  	 C3 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(75)
printNotes: i= 51-<1751 1743   8>,  	Bb2 --  1/8th..(120) <      > 	V118 - M137	=-19  %-16  	q= -2  %-2  	 0.679(75)<-----%16   %2

printNotes: i= 52-<1642 1604  38>,  	Ak2 --   128th.(  6) <      > 	V  6 - M 17	=-11  %-183  	q=  +  %+0  	 0.029(75)<-----%183   %0 <<

printNotes: i= 53-<1733 1743 -10>,  	Bb2 --  1/32nd.( 26) <      > 	V 23 - M 17	= +6  %+26  	q= -3  %-13  	 0.128(75)<-----%26   %13

printNotes: i= 54-<1626 1604  22>,  	Ak2 --  1/32nd.( 26) <      > 	V 27 - M 34	= -7  %-26  	q= +1  %+4  	 0.151(75)<-----%26   %4

printNotes: i= 55-<1542 1472  70>,  	 G2 --   1/64th(  9) <      > 	V 11 - M 51	=-40  %-364  	q= +2  %+18  	 0.058(75)<-----%364   %18 <<

printNotes: i= 56-<1616 1604  12>,  	Ak2 --   1/8th.(103) <      > 	V101 - M 69	=+32  %+32  	q= -2  %-2  	 0.580(75)<-----%32   %2



silence
printNotes: i= 57-<   0   40 -40>,  	Slc --  1/8th..(120) <      > 	V117 - M 69	=+48  %+41  	q= -3  %-3  	 0.673(75)<-----%41   %3

printNotes: i= 58-<1133 1604 -471>,  	Ak2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(75)
printNotes: i= 59-<1466 1743 -277>,  	Bb2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)
printNotes: i= 60-<1772 1743  29>,  	Bb2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)<-- same note
printNotes: i= 61-<2132 2148 -16>,  	 D3 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(75)
printNotes: i= 62-<1989 1957  32>,  	 C3 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(75)<-----%31   %0 <<

printNotes: i= 63-<2129 2148 -19>,  	 D3 --  1/64th.( 13) <      > 	V 12 - M 17	= -5  %-42  	q= -1  %-8  	 0.064(75)<-----%42   %8 <<

printNotes: i= 64-<1972 1957  15>,  	 C3 --  1/32nd.( 26) <      > 	V 25 - M 34	= -9  %-36  	q= -1  %-4  	 0.139(75)<-----%36   %4

printNotes: i= 65-<1735 1743  -8>,  	Bb2 --   1/32nd( 17) <      > 	V 19 - M 34	=-15  %-79  	q= +2  %+11  	 0.104(75)<-----%79   %11

printNotes: i= 66-<1967 1957  10>,  	 C3 --    half.(411) <1*sela> 	V435 - M411	=+24  %+6  	q=+24  %+6  	 2.519(75)


silence
printNotes: i= 67-<   0   40 -40>,  	Slc --     half(274) <      > 	V261 - M274	=-13  %-5  	q=-13  %-5  	 1.509(75)
printNotes: i= 68-<1225 1264 -39>,  	 F2 --  1/16th.( 51) <      > 	V 48 - M 69	=-21  %-44  	q= -3  %-6  	 0.273(75)<-----%44   %6

printNotes: i= 69-< 749 1743 -994>,  	Bb2 --  1/16th.( 51) <      > 	V 49 - M 34	=+15  %+31  	q= -2  %-4  	 0.279(75)<-----%31   %4

printNotes: i= 70-<1612 1604   8>,  	Ak2 --   1/8th.(103) <      > 	V 97 - M137	=-40  %-41  	q= -6  %-6  	 0.557(75)<-----%41   %6

printNotes: i= 71-< 941 1472 -531>,  	 G2 --  1/16th.( 51) <      > 	V 43 - M 34	= +9  %+21  	q= -8  %-19  	 0.244(75)
printNotes: i= 72-<1077 1743 -666>,  	Bb2 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(75)
printNotes: i= 73-<1442 1604 -162>,  	Ak2 --   1/8th.(103) <      > 	V107 - M 69	=+38  %+36  	q= +4  %+4  	 0.615(75)<-----%36   %4



silence
printNotes: i= 74-<   0   40 -40>,  	Slc --  1/8th..(120) <      > 	V112 - M137	=-25  %-22  	q= -8  %-7  	 0.644(75)<-----%22   %7

printNotes: i= 75-<1002 1604 -602>,  	Ak2 --    1/8th( 69) <      > 	V 72 - M 34	=+38  %+53  	q= +3  %+4  	 0.412(75)<-----%53   %4

printNotes: i= 76-<1746 1743   3>,  	Bb2 --   1/16th( 34) <      > 	V 41 - M 34	= +7  %+17  	q= +7  %+17  	 0.232(75)
printNotes: i= 77-<1958 1957   1>,  	 C3 --   1/8th.(103) <      > 	V 99 - M103	= -4  %-4  	q= -4  %-4  	 0.569(75)
printNotes: i= 78-<2173 2148  25>,  	 D3 --   1/16th( 34) <      > 	V 35 - M 51	=-16  %-46  	q= +1  %+3  	 0.197(75)<-----%46   %3

printNotes: i= 79-<2251 2257  -6>,  	Eb3 --   1/16th( 34) <      > 	V 37 - M 17	=+20  %+54  	q= +3  %+8  	 0.209(75)<-----%54   %8

printNotes: i= 80-<2399 2457 -58>,  	 F3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)
printNotes: i= 81-<2291 2257  34>,  	Eb3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(75)
printNotes: i= 82-<2389 2457 -68>,  	 F3 --  128th..(  7) <      > 	V  7 - M 17	=-10  %-143  	q=  +  %+0  	 0.035(75)<-----%143   %0 <<

printNotes: i= 83-<2275 2257  18>,  	Eb3 -- 1/32nd..( 30) <      > 	V 29 - M 34	= -5  %-17  	q= -1  %-3  	 0.163(75)<-----%17   %3

printNotes: i= 84-<2169 2148  21>,  	 D3 --  1/64th.( 13) <      > 	V 12 - M 17	= -5  %-42  	q= -1  %-8  	 0.064(75)<-----%42   %8 <<

printNotes: i= 85-<2268 2257  11>,  	Eb3 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(75)<-----%31   %0 <<

printNotes: i= 86-<2209 2148  61>,  	 D3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(75)
printNotes: i= 87-<2251 2257  -6>,  	Eb3 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(75)<-----%31   %0 <<

printNotes: i= 88-<2183 2148  35>,  	 D3 --  1/32nd.( 26) <      > 	V 23 - M 34	=-11  %-48  	q= -3  %-13  	 0.128(75)<-----%48   %13

printNotes: i= 89-<1959 1957   2>,  	 C3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(75)
printNotes: i= 90-<2123 2148 -25>,  	 D3 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(75)<-----%31   %0 <<

printNotes: i= 91-<1986 1957  29>,  	 C3 --  1/32nd.( 26) <      > 	V 25 - M 17	= +8  %+32  	q= -1  %-4  	 0.139(75)<-----%32   %4

printNotes: i= 92-<2113 2148 -35>,  	 D3 --  128th..(  7) <      > 	V  7 - M 17	=-10  %-143  	q=  +  %+0  	 0.035(75)<-----%143   %0 <<

printNotes: i= 93-<1977 1957  20>,  	 C3 -- 1/32nd..( 30) <      > 	V 28 - M 34	= -6  %-21  	q= -2  %-7  	 0.157(75)<-----%21   %7

printNotes: i= 94-<1729 1743 -14>,  	Bb2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)
printNotes: i= 95-<1918 1957 -39>,  	 C3 --   1/64th(  9) <      > 	V  9 - M 17	= -8  %-89  	q=  +  %+0  	 0.046(75)<-----%89   %0 <<

printNotes: i= 96-<1752 1743   9>,  	Bb2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(75)
printNotes: i= 97-<1850 1957 -107>,  	 C3 --   1/64th(  9) <      > 	V 11 - M 17	= -6  %-55  	q= +2  %+18  	 0.058(75)<-----%55   %18 <<

printNotes: i= 98-<1751 1743   8>,  	Bb2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(75)
printNotes: i= 99-<1619 1604  15>,  	Ak2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(75)
printNotes: i= 100-<1748 1743   5>,  	Bb2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(75)
printNotes: i= 101-<1616 1604  12>,  	Ak2 --  1/32nd.( 26) <      > 	V 23 - M 17	= +6  %+26  	q= -3  %-13  	 0.128(75)<-----%26   %13

printNotes: i= 102-<1716 1743 -27>,  	Bb2 --  1/64th.( 13) <      > 	V 10 - M 17	= -7  %-70  	q= -3  %-30  	 0.052(75)<-----%70   %30 <<

