	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2462 2462    >,  	 F3 --  1/4th..(224) <      > 	V211 - M160	=+51  %+24  	q=-13  %-6  	 1.219(81)<-----%24   %6

printNotes: i= 39-<2368 2355  13>,  	 E3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 40-<2476 2462  14>,  	 F3 --   1/4th.(192) <      > 	V206 - M 64	=+142  %+69  	q=+14  %+7  	 1.190(81)<-----%69   %7



silence
printNotes: i= 41-<   0   40 -40>,  	Slc --    1/4th(128) <      > 	V142 - M192	=-50  %-35  	q=+14  %+10  	 0.819(81)<-----%35   %10

printNotes: i= 42-<1704 1972 -268>,  	 C3 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(81)<-----%26   %12

printNotes: i= 43-<2440 2462 -22>,  	 F3 --   1/16th( 32) <      > 	V 39 - M 64	=-25  %-64  	q= +7  %+18  	 0.221(81)<-----%64   %18

printNotes: i= 44-<2327 2355 -28>,  	 E3 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 45-<2453 2462  -9>,  	 F3 -- 1/16th..( 56) <      > 	V 52 - M 64	=-12  %-23  	q= -4  %-8  	 0.296(81)<-----%23   %8

printNotes: i= 46-<2333 2355 -22>,  	 E3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 47-<2455 2462  -7>,  	 F3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 48-<2208 2185  23>,  	 D3 --   1/16th( 32) <      > 	V 38 - M 48	=-10  %-26  	q= +6  %+16  	 0.215(81)<-----%26   %16

printNotes: i= 49-<2301 2355 -54>,  	 E3 --  1/16th.( 48) <      > 	V 48 - M 32	=+16  %+33  	q=  +  %+0  	 0.273(81)<-----%33   %0

printNotes: i= 50-<2518 2462  56>,  	 F3 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 51-<2321 2355 -34>,  	 E3 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(81)<-----%28   %4

printNotes: i= 52-<2175 2185 -10>,  	 D3 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(81)<-----%68   %16

printNotes: i= 53-<2164 2355 -191>,  	 E3 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(81)<-----%41   %4

printNotes: i= 54-<2494 2462  32>,  	 F3 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(81)<-----%220   %20 <<

printNotes: i= 55-<2162 2355 -193>,  	 E3 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(81)<-----%68   %16

printNotes: i= 56-<2490 2462  28>,  	 F3 --   1/16th( 32) <      > 	V 32 - M 16	=+16  %+50  	q=  +  %+0  	 0.180(81)<-----%50   %0

printNotes: i= 57-<2715 2681  34>,  	 G3 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 58-<2368 2355  13>,  	 E3 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14

printNotes: i= 59-<2469 2462   7>,  	 F3 -- 1/16th..( 56) <      > 	V 59 - M 64	= -5  %-8  	q= +3  %+5  	 0.337(81)<-----%8   %5

printNotes: i= 60-<2389 2355  34>,  	 E3 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

