	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1634 1602  32>,  	Ak2 --  1/16th.( 49) <      > 	V 43 - M 33	=+10  %+23  	q= -6  %-14  	 0.244(79)<-----%23   %14

printNotes: i= 39-<1480 1473   7>,  	 G2 -- 1/32nd..( 29) <      > 	V 27 - M 33	= -6  %-22  	q= -2  %-7  	 0.151(79)<-----%22   %7

printNotes: i= 40-<1633 1602  31>,  	Ak2 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(79)<-----%83   %11

printNotes: i= 41-<1492 1473  19>,  	 G2 --  1/16th.( 49) <      > 	V 45 - M 65	=-20  %-44  	q= -4  %-9  	 0.255(79)<-----%44   %9

printNotes: i= 42-<1608 1602   6>,  	Ak2 -- 1/16th..( 57) <      > 	V 59 - M 65	= -6  %-10  	q= +2  %+3  	 0.337(79)<-----%10   %3

printNotes: i= 43-<1507 1473  34>,  	 G2 --   1/16th( 33) <      > 	V 39 - M 65	=-26  %-67  	q= +6  %+15  	 0.221(79)<-----%67   %15

printNotes: i= 44-<1742 1743  -1>,  	Bb2 --  1/8th..(114) <      > 	V115 - M131	=-16  %-14  	q= +1  %+1  	 0.662(79)<-----%14   %1

printNotes: i= 45-<1952 1958  -6>,  	 C3 --    1/8th( 65) <      > 	V 67 - M 33	=+34  %+51  	q= +2  %+3  	 0.383(79)<-----%51   %3



silence
printNotes: i= 46-<1740   40 1700>,  	Slc --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(79)
printNotes: i= 47-<1728 1743 -15>,  	Bb2 --  1/32nd.( 25) <      > 	V 22 - M 44	=-22  %-100  	q= -3  %-14  	 0.122(79)<-----%100   %14

printNotes: i= 48-<1630 1602  28>,  	Ak2 --   1/16th( 33) <      > 	V 39 - M 44	= -5  %-13  	q= +6  %+15  	 0.221(79)
