	voice Midi Diff								present		 Best		Sec

printNotes: i= 37-<   0   40 -40>,  	Slc -- 1/16th..( 63) <      > 	V 66 - M 72	= -6  %-9  	q= +3  %+5  	 0.377(72)<-----%9   %5

printNotes: i= 38-< 785 1268 -483>,  	 F2 --  1/16th.( 54) <      > 	V 55 - M 36	=+19  %+35  	q= +1  %+2  	 0.313(72)<-----%35   %2

printNotes: i= 39-<1730 1741 -11>,  	Bb2 --    1/4th(144) <1*sela> 	V164 - M108	=+56  %+34  	q=+20  %+12  	 0.946(72)<-----%34   %12

printNotes: i= 40-<1611 1611    >,  	Ak2 --    1/8th( 72) <      > 	V 68 - M 36	=+32  %+47  	q= -4  %-6  	 0.389(72)<-----%47   %6

printNotes: i= 41-<1354 1611 -257>,  	Ak2 --    1/4th(144) <      > 	V144 - M144	=  +  %+0  	q=  +  %+0  	 0.830(72)<-- same note
printNotes: i= 42-<1583 1611 -28>,  	Ak2 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(72)<-- same note
printNotes: i= 43-<1498 1477  21>,  	 G2 --   1/32nd( 18) <      > 	V 18 - M 36	=-18  %-100  	q=  +  %+0  	 0.099(72)<-----%100   %0

printNotes: i= 44-<1606 1611  -5>,  	Ak2 -- 1/32nd..( 31) <      > 	V 30 - M 36	= -6  %-20  	q= -1  %-3  	 0.168(72)<-----%20   %3

printNotes: i= 45-<1730 1741 -11>,  	Bb2 --   1/64th(  9) <      > 	V  9 - M 18	= -9  %-100  	q=  +  %+0  	 0.046(72)<-----%100   %0 <<

printNotes: i= 46-<1612 1611   1>,  	Ak2 --  1/32nd.( 27) <      > 	V 25 - M 36	=-11  %-44  	q= -2  %-8  	 0.139(72)<-----%44   %8

printNotes: i= 47-<1508 1477  31>,  	 G2 -- 1/64th..( 16) <      > 	V 14 - M 18	= -4  %-29  	q= -2  %-14  	 0.075(72)<-----%29   %14 <<

printNotes: i= 48-<1597 1611 -14>,  	Ak2 --  1/16th.( 54) <      > 	V 48 - M 36	=+12  %+25  	q= -6  %-12  	 0.273(72)<-----%25   %12

printNotes: i= 49-<1766 1741  25>,  	Bb2 --    1/8th( 72) <      > 	V 69 - M 72	= -3  %-4  	q= -3  %-4  	 0.395(72)
printNotes: i= 50-<1616 1611   5>,  	Ak2 --   1/32nd( 18) <      > 	V 22 - M 18	= +4  %+18  	q= +4  %+18  	 0.122(72)
printNotes: i= 51-<1066 1741 -675>,  	Bb2 --  1/32nd.( 27) <      > 	V 25 - M 18	= +7  %+28  	q= -2  %-8  	 0.139(72)<-----%28   %8

printNotes: i= 52-<1611 1611    >,  	Ak2 --   1/64th(  9) <      > 	V 11 - M 36	=-25  %-227  	q= +2  %+18  	 0.058(72)<-----%227   %18 <<

printNotes: i= 53-<1454 1477 -23>,  	 G2 --   1/32nd( 18) <      > 	V 22 - M 36	=-14  %-64  	q= +4  %+18  	 0.122(72)<-----%64   %18

printNotes: i= 54-<1252 1268 -16>,  	 F2 --  1/8th..(126) <      > 	V134 - M 72	=+62  %+46  	q= +8  %+6  	 0.772(72)<-----%46   %6



silence
printNotes: i= 55-<   0   40 -40>,  	Slc --    1/4th(144) <      > 	V139 - M144	= -5  %-4  	q= -5  %-4  	 0.801(72)
printNotes: i= 56-<1320 1741 -421>,  	Bb2 -- 1/16th..( 63) <      > 	V 60 - M 54	= +6  %+10  	q= -3  %-5  	 0.342(72)<-----%10   %5

printNotes: i= 57-<1232 1741 -509>,  	Bb2 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(72)<-- same note
