	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2661 2653   8>,  	Bb2 --  1/64th.( 13) <      > 	V 11 - M 33	=-22  %-200  	q= -2  %-18  	 0.058(77)<-----%200   %18 <<

printNotes: i= 39-<2564 2587 -23>,  	 A2 --   1/8th.(100) <      > 	V107 - M100	= +7  %+7  	q= +7  %+7  	 0.615(77)
printNotes: i= 40-<2635 2653 -18>,  	Bb2 --   1/8th.(100) <      > 	V 84 - M117	=-33  %-39  	q=-16  %-19  	 0.482(77)<-----%39   %19

printNotes: i= 41-<2302 2887 -585>,  	 C3 --  1/64th.( 13) <      > 	V 10 - M 17	= -7  %-70  	q= -3  %-30  	 0.052(77)<-----%70   %30 <<

printNotes: i= 42-<2593 2653 -60>,  	Bb2 --  1/16th.( 50) <      > 	V 52 - M 17	=+35  %+67  	q= +2  %+4  	 0.296(77)<-----%67   %4

printNotes: i= 43-<2569 2587 -18>,  	 A2 -- 1/32nd..( 29) <      > 	V 27 - M 17	=+10  %+37  	q= -2  %-7  	 0.151(77)<-----%37   %7

printNotes: i= 44-<2695 2653  42>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(77)<-----%31   %0 <<

printNotes: i= 45-<2562 2587 -25>,  	 A2 --   1/16th( 33) <      > 	V 32 - M 17	=+15  %+47  	q= -1  %-3  	 0.180(77)<-----%47   %3

printNotes: i= 46-<2650 2653  -3>,  	Bb2 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(77)<-----%21   %7 <<

printNotes: i= 47-<2397 2392   5>,  	 G2 --   1/16th( 33) <      > 	V 40 - M 17	=+23  %+58  	q= +7  %+18  	 0.226(77)<-----%58   %18

printNotes: i= 48-<2571 2587 -16>,  	 A2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(77)<-----%31   %0 <<

printNotes: i= 49-<2397 2392   5>,  	 G2 --  1/16th.( 50) <      > 	V 43 - M 17	=+26  %+60  	q= -7  %-16  	 0.244(77)<-----%60   %16

printNotes: i= 50-<2484 2587 -103>,  	 A2 --  1/64th.( 13) <      > 	V 10 - M 17	= -7  %-70  	q= -3  %-30  	 0.052(77)<-----%70   %30 <<

printNotes: i= 51-<2183 2182   1>,  	 F2 -- 1/16th..( 59) <      > 	V 62 - M 17	=+45  %+73  	q= +3  %+5  	 0.354(77)<-----%73   %5

printNotes: i= 52-<2350 2392 -42>,  	 G2 --  1/64th.( 13) <      > 	V 10 - M 17	= -7  %-70  	q= -3  %-30  	 0.052(77)<-----%70   %30 <<

printNotes: i= 53-<2190 2182   8>,  	 F2 --   1/8th.(100) <      > 	V104 - M 50	=+54  %+52  	q= +4  %+4  	 0.598(77)<-----%52   %4

printNotes: i= 54-<2398 2392   6>,  	 G2 -- 1/16th..( 59) <      > 	V 61 - M 33	=+28  %+46  	q= +2  %+3  	 0.348(77)<-----%46   %3

printNotes: i= 55-<2563 2587 -24>,  	 A2 -- 1/16th..( 59) <      > 	V 58 - M 50	= +8  %+14  	q= -1  %-2  	 0.331(77)<-----%14   %2

printNotes: i= 56-<2116 2182 -66>,  	 F2 --  1/32nd.( 25) <      > 	V 24 - M 33	= -9  %-38  	q= -1  %-4  	 0.134(77)<-----%38   %4

printNotes: i= 57-<2228 2392 -164>,  	 G2 --  1/4th..(234) <      > 	V226 - M268	=-42  %-19  	q= -8  %-4  	 1.306(77)<-----%19   %4



silence
