	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1917 1852  65>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(82)<-----%129   %0 <<

printNotes: i= 39-<2153 2141  12>,  	 F2 --     half(253) <      > 	V238 - M222	=+16  %+7  	q=-15  %-6  	 1.376(82)
printNotes: i= 40-<2363 2352  11>,  	 G2 --  1/8th..(111) <      > 	V103 - M 48	=+55  %+53  	q= -8  %-8  	 0.592(82)<-----%53   %8



silence
printNotes: i= 41-<   0   40 -40>,  	Slc --   1/4th.(190) <-1*sela> 	V168 - M127	=+41  %+24  	q=-22  %-13  	 0.969(82)<-----%24   %13

printNotes: i= 42-<1920 1852  68>,  	 D2 --  1/32nd.( 24) <      > 	V 23 - M 16	= +7  %+30  	q= -1  %-4  	 0.128(82)<-----%30   %4

printNotes: i= 43-<2491 2555 -64>,  	 A2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(82)<-----%29   %7

printNotes: i= 44-<2389 2352  37>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(82)<-----%23   %8 <<

printNotes: i= 45-<2549 2555  -6>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(82)<-----%33   %0 <<

printNotes: i= 46-<2206 2352 -146>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(82)<-----%23   %8

printNotes: i= 47-<2152 2141  11>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(82)<-----%167   %0 <<

printNotes: i= 48-<2356 2352   4>,  	 G2 --   1/8th.( 95) <      > 	V 99 - M127	=-28  %-28  	q= +4  %+4  	 0.569(82)<-----%28   %4

printNotes: i= 49-<2539 2555 -16>,  	 A2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(82)
printNotes: i= 50-<2386 2352  34>,  	 G2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(82)<-----%68   %16

printNotes: i= 51-<2519 2555 -36>,  	 A2 --  1/16th.( 48) <      > 	V 46 - M 32	=+14  %+30  	q= -2  %-4  	 0.261(82)<-----%30   %4

printNotes: i= 52-<2627 2632  -5>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(82)<-----%78   %11

printNotes: i= 53-<2548 2555  -7>,  	 A2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(82)
printNotes: i= 54-<2609 2632 -23>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(82)<-----%167   %0 <<

printNotes: i= 55-<2539 2555 -16>,  	 A2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(82)<-----%39   %4

printNotes: i= 56-<2602 2632 -30>,  	Bb2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(82)<-----%88   %6



silence
printNotes: i= 57-<  94   40  54>,  	Slc -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(82)<-----%14   %0

printNotes: i= 58-<1936 2555 -619>,  	 A2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(82)<-----%33   %0

printNotes: i= 59-<2340 2352 -12>,  	 G2 --     half(253) <      > 	V258 - M253	= +5  %+2  	q= +5  %+2  	 1.492(82)
printNotes: i= 60-<2161 2141  20>,  	 F2 --   1/8th.( 95) <      > 	V100 - M127	=-27  %-27  	q= +5  %+5  	 0.575(82)<-----%27   %5

printNotes: i= 61-<2333 2352 -19>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(82)<-----%10   %3

printNotes: i= 62-<2160 2141  19>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(82)<-----%113   %7 <<

printNotes: i= 63-<2316 2352 -36>,  	 G2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(82)
printNotes: i= 64-<2128 2141 -13>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(82)
printNotes: i= 65-<2367 2352  15>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(82)<-----%78   %33 <<

printNotes: i= 66-<2117 2141 -24>,  	 F2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(82)<-----%33   %0

printNotes: i= 67-<2318 2352 -34>,  	 G2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(82)<-----%300   %0 <<

printNotes: i= 68-<2132 2141  -9>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(82)
printNotes: i= 69-<1982 1990  -8>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(82)
printNotes: i= 70-<2127 2141 -14>,  	 F2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(82)<-----%60   %20 <<

printNotes: i= 71-<1994 1990   4>,  	Ek2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(82)
printNotes: i= 72-<1259 2141 -882>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(82)
printNotes: i= 73-<1723 1990 -267>,  	Ek2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(82)
printNotes: i= 74-<1861 1852   9>,  	 D2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(82)<-----%88   %6

printNotes: i= 75-<1983 1990  -7>,  	Ek2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(82)


silence
printNotes: i= 76-<   0   40 -40>,  	Slc --   whole.(760) <      > 	V752 - M475	=+277  %+37  	q= -8  %-1  	 4.360(82)<-----%37   %1

printNotes: i= 77-<1718 1652  66>,  	 C2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(82)<-----%19   %4

printNotes: i= 78-<1027 2555 -1528>,  	 A2 -- 1/16th..( 55) <      > 	V 54 - M 32	=+22  %+41  	q= -1  %-2  	 0.308(82)<-----%41   %2

printNotes: i= 79-<2524 2555 -31>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(82)<-- same note
printNotes: i= 80-<2382 2352  30>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 42	= +1  %+2  	q= -5  %-12  	 0.244(82)
printNotes: i= 81-<2552 2555  -3>,  	 A2 --   1/16th( 32) <      > 	V 34 - M 42	= -8  %-24  	q= +2  %+6  	 0.192(82)<-----%24   %6

printNotes: i= 82-<2352 2352    >,  	 G2 --  1/8th..(111) <      > 	V107 - M137	=-30  %-28  	q= -4  %-4  	 0.615(82)<-----%28   %4

printNotes: i= 83-<2532 2555 -23>,  	 A2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(82)


silence
printNotes: i= 84-<2328   40 2288>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(82)
printNotes: i= 85-<2149 2141   8>,  	 F2 --    1/4th(127) <1*sela> 	V157 - M127	=+30  %+19  	q=+30  %+19  	 0.906(82)


silence
printNotes: i= 86-<   0   40 -40>,  	Slc --   1/4th.(190) <      > 	V178 - M190	=-12  %-7  	q=-12  %-7  	 1.027(82)
printNotes: i= 87-<2368 2352  16>,  	 G2 --   1/8th.( 95) <      > 	V 97 - M 95	= +2  %+2  	q= +2  %+2  	 0.557(82)
printNotes: i= 88-<1180 2141 -961>,  	 F2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(82)
printNotes: i= 89-<1361 2352 -991>,  	 G2 --   1/16th( 32) <      > 	V 34 - M 16	=+18  %+53  	q= +2  %+6  	 0.192(82)<-----%53   %6

printNotes: i= 90-<2365 2352  13>,  	 G2 --    1/8th( 63) <      > 	V 63 - M 63	=  +  %+0  	q=  +  %+0  	 0.360(82)<-- same note
printNotes: i= 91-<2178 2141  37>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(82)<-----%23   %8 <<

