	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<   0   40 -40>,  	Slc --   whole.(737) <3*sela> 	V783 - M799	=-16  %-2  	q=+46  %+6  	 4.540(84)
printNotes: i= 39-<1640 1682 -42>,  	 C2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(84)<-----%19   %4

printNotes: i= 40-<2357 2362  -5>,  	 G2 --    1/4th(123) <      > 	V128 - M 92	=+36  %+28  	q= +5  %+4  	 0.737(84)<-----%28   %4

printNotes: i= 41-<1186 2152 -966>,  	 F2 --   1/8th.( 92) <      > 	V 80 - M 31	=+49  %+61  	q=-12  %-15  	 0.459(84)<-----%61   %15

printNotes: i= 42-<2336 2362 -26>,  	 G2 --   1/16th( 31) <      > 	V 34 - M 61	=-27  %-79  	q= +3  %+9  	 0.192(84)<-----%79   %9

printNotes: i= 43-<2167 2152  15>,  	 F2 --  1/16th.( 46) <      > 	V 46 - M 61	=-15  %-33  	q=  +  %+0  	 0.261(84)<-----%33   %0

printNotes: i= 44-<2349 2362 -13>,  	 G2 --  1/16th.( 46) <      > 	V 43 - M 61	=-18  %-42  	q= -3  %-7  	 0.244(84)<-----%42   %7

printNotes: i= 45-<2198 2152  46>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 46-<2367 2362   5>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 15	= -3  %-25  	q=  +  %+0  	 0.064(84)<-----%25   %0 <<

printNotes: i= 47-<2154 2152   2>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(84)<-----%25   %15

printNotes: i= 48-<1933 2362 -429>,  	 G2 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(84)<-----%150   %0 <<

printNotes: i= 49-<2138 2152 -14>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 50-<2001 1992   9>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 51-<2072 2152 -80>,  	 F2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(84)<-----%114   %0 <<

printNotes: i= 52-<1988 1992  -4>,  	Ek2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8

printNotes: i= 53-<1873 1882  -9>,  	 D2 --   1/32nd( 15) <      > 	V 18 - M 31	=-13  %-72  	q= +3  %+17  	 0.099(84)<-----%72   %17

printNotes: i= 54-<1951 1992 -41>,  	Ek2 -- 1/16th..( 54) <      > 	V 51 - M 46	= +5  %+10  	q= -3  %-6  	 0.290(84)<-----%10   %6



silence
printNotes: i= 55-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 23 - M  8	=+15  %+65  	q=  +  %+0  	 0.128(84)<-----%65   %0

printNotes: i= 56-<1993 1992   1>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(84)<-----%48   %10

printNotes: i= 57-<2155 2152   3>,  	 F2 --   1/4th.(184) <      > 	V190 - M246	=-56  %-29  	q= +6  %+3  	 1.097(84)<-----%29   %3

printNotes: i= 58-<1823 1992 -169>,  	Ek2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 59-<1899 1882  17>,  	 D2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
