	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1158 2534 -1376>,  	 D3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 39-<2680 2700 -20>,  	 E3 --  1/64th.( 12) <      > 	V 12 - M 15	= -3  %-25  	q=  +  %+0  	 0.064(84)<-----%25   %0 <<

printNotes: i= 40-<2809 2813  -4>,  	 F3 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(84)<-----%88   %0 <<

printNotes: i= 41-<2678 2700 -22>,  	 E3 --   1/32nd( 15) <      > 	V 17 - M 31	=-14  %-82  	q= +2  %+12  	 0.093(84)<-----%82   %12

printNotes: i= 42-<2814 2813   1>,  	 F3 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 43-<3026 3029  -3>,  	 G3 --   1/32nd( 15) <      > 	V 17 - M 31	=-14  %-82  	q= +2  %+12  	 0.093(84)<-----%82   %12

printNotes: i= 44-<2749 2700  49>,  	 E3 --   1/32nd( 15) <      > 	V 16 - M 31	=-15  %-94  	q= +1  %+6  	 0.087(84)<-----%94   %6 <<

printNotes: i= 45-<2816 2813   3>,  	 F3 --    1/8th( 61) <      > 	V 61 - M 61	=  +  %+0  	q=  +  %+0  	 0.348(84)
printNotes: i= 46-<2728 2700  28>,  	 E3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 47-<3031 3029   2>,  	 G3 --    1/4th(123) <      > 	V126 - M123	= +3  %+2  	q= +3  %+2  	 0.726(84)
printNotes: i= 48-<3677 2813 864>,  	 F3 --  1/8th..(107) <      > 	V106 - M123	=-17  %-16  	q= -1  %-1  	 0.610(84)<-----%16   %1



silence
printNotes: i= 49-<   0   40 -40>,  	Slc --  1/64th.( 12) <      > 	V 11 - M  8	= +3  %+27  	q= -1  %-9  	 0.058(84)<-----%27   %9 <<

printNotes: i= 50-<2813 2813    >,  	 F3 --   1/8th.( 92) <      > 	V 90 - M 92	= -2  %-2  	q= -2  %-2  	 0.517(84)
printNotes: i= 51-<2727 2700  27>,  	 E3 --  1/64th.( 12) <      > 	V  9 - M 31	=-22  %-244  	q= -3  %-33  	 0.046(84)<-----%244   %33 <<

printNotes: i= 52-<2571 2813 -242>,  	 F3 --  1/4th..(215) <      > 	V205 - M123	=+82  %+40  	q=-10  %-5  	 1.184(84)<-----%40   %5



silence
printNotes: i= 53-<   0   40 -40>,  	Slc --    1/8th( 61) <      > 	V 63 - M 15	=+48  %+76  	q= +2  %+3  	 0.360(84)<-----%76   %3

printNotes: i= 54-<2511 2813 -302>,  	 F3 --   1/4th.(184) <      > 	V179 - M 31	=+148  %+83  	q= -5  %-3  	 1.033(84)<-----%83   %3



silence
printNotes: i= 55-<   0   40 -40>,  	Slc -- 1/64th..( 13) <      > 	V 14 - M123	=-109  %-779  	q= +1  %+7  	 0.075(84)<-----%779   %7 <<

printNotes: i= 56-<3913 2333 1580>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 57-<3976 2813 1163>,  	 F3 --  128th..(  7) <      > 	V  7 - M123	=-116  %-1657  	q=  +  %+0  	 0.035(84)<-----%1657   %0 <<

printNotes: i= 58-<3894 2700 1194>,  	 E3 --  128th..(  7) <      > 	V  7 - M 31	=-24  %-343  	q=  +  %+0  	 0.035(84)<-----%343   %0 <<

printNotes: i= 59-<3853 2534 1319>,  	 D3 --  1/64th.( 12) <      > 	V  9 - M 31	=-22  %-244  	q= -3  %-33  	 0.046(84)<-----%244   %33 <<

printNotes: i= 60-<3883 2700 1183>,  	 E3 --    128th(  4) <      > 	V  1 - M 15	=-14  %-1400  	q= -3  %-300  	 0.000(84)<-----%1400   %300 <<

printNotes: i= 61-<3948 2813 1135>,  	 F3 --    128th(  4) <      > 	V  1 - M 15	=-14  %-1400  	q= -3  %-300  	 0.000(84)<-----%1400   %300 <<

printNotes: i= 62-<3948 2700 1248>,  	 E3 --    128th(  4) <      > 	V  1 - M 31	=-30  %-3000  	q= -3  %-300  	 0.000(84)<-----%3000   %300 <<

printNotes: i= 63-<4014 2813 1201>,  	 F3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 64-<4219 3029 1190>,  	 G3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 65-<3941 2700 1241>,  	 E3 --   1/32nd( 15) <      > 	V 17 - M 31	=-14  %-82  	q= +2  %+12  	 0.093(84)<-----%82   %12

printNotes: i= 66-<4023 2813 1210>,  	 F3 --    1/8th( 61) <      > 	V 59 - M 61	= -2  %-3  	q= -2  %-3  	 0.337(84)
printNotes: i= 67-<3946 2700 1246>,  	 E3 --   1/32nd( 15) <      > 	V 16 - M 31	=-15  %-94  	q= +1  %+6  	 0.087(84)<-----%94   %6 <<

