	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1780 2101 -321>,  	Bb2 --   1/8th.( 91) <      > 	V 89 - M 61	=+28  %+31  	q= -2  %-2  	 0.511(85)<-----%31   %2

printNotes: i= 39-<2516 2510   6>,  	 D3 --    1/4th(122) <      > 	V128 - M122	= +6  %+5  	q= +6  %+5  	 0.737(85)
printNotes: i= 40-<2343 2322  21>,  	 C3 --  1/8th..(107) <      > 	V111 - M 91	=+20  %+18  	q= +4  %+4  	 0.639(85)<-----%18   %4

printNotes: i= 41-<2120 2101  19>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(85)<-----%173   %0 <<

printNotes: i= 42-<2279 2322 -43>,  	 C3 --     half(244) <2*sela> 	V280 - M183	=+97  %+35  	q=+36  %+13  	 1.620(85)<-----%35   %13

printNotes: i= 43-<1078 2101 -1023>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 30	=-18  %-150  	q= +1  %+8  	 0.064(85)<-----%150   %8 <<

printNotes: i= 44-<2226 2322 -96>,  	 C3 --    1/8th( 61) <      > 	V 60 - M 61	= -1  %-2  	q= -1  %-2  	 0.342(85)
printNotes: i= 45-<2269 1947 322>,  	Ak2 --    128th(  4) <      > 	V  1 - M 30	=-29  %-2900  	q= -3  %-300  	 0.000(85)<-----%2900   %300 <<



silence
printNotes: i= 46-< 102   40  62>,  	Slc --   1/4th.(183) <      > 	V175 - M 91	=+84  %+48  	q= -8  %-5  	 1.010(85)<-----%48   %5

printNotes: i= 47-<1831 1947 -116>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i= 48-<1808 1810  -2>,  	 G2 --  1/32nd.( 23) <      > 	V 19 - M 30	=-11  %-58  	q= -4  %-21  	 0.104(85)<-----%58   %21

printNotes: i= 49-<1940 1947  -7>,  	Ak2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(85)
printNotes: i= 50-<1817 1810   7>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 30	= -8  %-36  	q= -1  %-5  	 0.122(85)<-----%36   %5

printNotes: i= 51-<1938 1947  -9>,  	Ak2 --  1/16th.( 46) <      > 	V 43 - M 30	=+13  %+30  	q= -3  %-7  	 0.244(85)<-----%30   %7

printNotes: i= 52-<2068 2101 -33>,  	Bb2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(85)<-----%50   %10 <<

printNotes: i= 53-<1829 1810  19>,  	 G2 --  1/16th.( 46) <      > 	V 38 - M 30	= +8  %+21  	q= -8  %-21  	 0.215(85)
printNotes: i= 54-<1950 1947   3>,  	Ak2 --  1/16th.( 46) <      > 	V 44 - M 30	=+14  %+32  	q= -2  %-5  	 0.250(85)<-----%32   %5

printNotes: i= 55-<2132 2101  31>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(85)
printNotes: i= 56-<1840 1810  30>,  	 G2 --  1/16th.( 46) <      > 	V 47 - M 46	= +1  %+2  	q= +1  %+2  	 0.267(85)
printNotes: i= 57-<1923 1947 -24>,  	Ak2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(85)
printNotes: i= 58-<1763 1810 -47>,  	 G2 --   1/16th( 30) <      > 	V 36 - M 15	=+21  %+58  	q= +6  %+17  	 0.203(85)<-----%58   %17

printNotes: i= 59-<2111 2101  10>,  	Bb2 --  1/8th..(107) <      > 	V111 - M122	=-11  %-10  	q= +4  %+4  	 0.639(85)<-----%10   %4

printNotes: i= 60-<2216 2322 -106>,  	 C3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(85)
printNotes: i= 61-<2075 2101 -26>,  	Bb2 --  1/16th.( 46) <      > 	V 45 - M 30	=+15  %+33  	q= -1  %-2  	 0.255(85)<-----%33   %2

printNotes: i= 62-<2012 1947  65>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 63-<1873 1810  63>,  	 G2 --  1/16th.( 46) <      > 	V 38 - M 46	= -8  %-21  	q= -8  %-21  	 0.215(85)
