	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2616 2706 -90>,  	 E3 --   1/8th.( 89) <      > 	V 94 - M 89	= +5  %+5  	q= +5  %+5  	 0.540(88)
printNotes: i= 39-<2800 2808  -8>,  	 F3 --    1/8th( 59) <      > 	V 59 - M 44	=+15  %+25  	q=  +  %+0  	 0.337(88)<-----%25   %0

printNotes: i= 40-<2975 3026 -51>,  	 G3 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 41-<2330 2808 -478>,  	 F3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(88)
printNotes: i= 42-<1803 2706 -903>,  	 E3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 43-<1505 2808 -1303>,  	 F3 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(88)<-----%15   %0 <<

printNotes: i= 44-<1965 2706 -741>,  	 E3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(88)
printNotes: i= 45-<1907 2440 -533>,  	Dk3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 46-<2688 2706 -18>,  	 E3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 47-<2442 2440   2>,  	Dk3 --   1/16th( 30) <      > 	V 29 - M 44	=-15  %-52  	q= -1  %-3  	 0.163(88)<-----%52   %3

printNotes: i= 48-<2019 2324 -305>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(88)
printNotes: i= 49-<2609 2808 -199>,  	 F3 --    1/8th( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(88)
printNotes: i= 50-<3141 2706 435>,  	 E3 -- 1/16th..( 52) <      > 	V 53 - M 39	=+14  %+26  	q= +1  %+2  	 0.302(88)<-----%26   %2

printNotes: i= 51-<3999 2808 1191>,  	 F3 --   1/16th( 30) <      > 	V 33 - M 39	= -6  %-18  	q= +3  %+9  	 0.186(88)<-----%18   %9

printNotes: i= 52-<3890 2706 1184>,  	 E3 --   1/4th.(177) <      > 	V172 - M157	=+15  %+9  	q= -5  %-3  	 0.993(88)<-----%9   %3

printNotes: i= 53-<3748 2440 1308>,  	Dk3 -- 1/32nd..( 26) <      > 	V 24 - M 30	= -6  %-25  	q= -2  %-8  	 0.134(88)<-----%25   %8

