	voice Midi Diff								present		 Best		Sec

printNotes: i= 37-<2021 2095 -74>,  	Bb2 -- 1/16th..( 59) <      > 	V 58 - M 17	=+41  %+71  	q= -1  %-2  	 0.331(76)<-----%71   %2

printNotes: i= 38-<1334 2315 -981>,  	 C3 --  1/64th.( 13) <      > 	V 10 - M 17	= -7  %-70  	q= -3  %-30  	 0.052(76)<-----%70   %30 <<

printNotes: i= 39-<2016 2011   5>,  	 A2 --    1/4th(135) <      > 	V132 - M135	= -3  %-2  	q= -3  %-2  	 0.760(76)
printNotes: i= 40-<2352 2315  37>,  	 C3 --  1/64th.( 13) <      > 	V 14 - M  8	= +6  %+43  	q= +1  %+7  	 0.075(76)<-----%43   %7 <<

printNotes: i= 41-<2099 2095   4>,  	Bb2 --  1/32nd.( 25) <      > 	V 26 - M 17	= +9  %+35  	q= +1  %+4  	 0.145(76)<-----%35   %4

printNotes: i= 42-<1313 2315 -1002>,  	 C3 --    128th(  4) <      > 	V  5 - M  8	= -3  %-60  	q= +1  %+20  	 0.023(76)<-----%60   %20 <<

printNotes: i= 43-<2016 2011   5>,  	 A2 --  1/32nd.( 25) <      > 	V 25 - M 17	= +8  %+32  	q=  +  %+0  	 0.139(76)<-----%32   %0

printNotes: i= 44-<2099 2095   4>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(76)<-----%31   %0 <<

printNotes: i= 45-<1648 1821 -173>,  	 G2 --    1/4th(135) <      > 	V135 - M135	=  +  %+0  	q=  +  %+0  	 0.778(76)


silence
printNotes: i= 46-< 231   40 191>,  	Slc --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(76)
printNotes: i= 47-<1990 2011 -21>,  	 A2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(76)
printNotes: i= 48-<1452 1821 -369>,  	 G2 -- 1/16th..( 59) <      > 	V 60 - M 51	= +9  %+15  	q= +1  %+2  	 0.342(76)<-----%15   %2

printNotes: i= 49-<2050 2095 -45>,  	Bb2 -- 1/32nd..( 30) <      > 	V 29 - M 45	=-16  %-55  	q= -1  %-3  	 0.163(76)<-----%55   %3

printNotes: i= 50-<1989 2011 -22>,  	 A2 --   1/16th( 34) <      > 	V 36 - M 23	=+13  %+36  	q= +2  %+6  	 0.203(76)<-----%36   %6

printNotes: i= 51-<2041 2095 -54>,  	Bb2 --  1/64th.( 13) <      > 	V 11 - M 23	=-12  %-109  	q= -2  %-18  	 0.058(76)<-----%109   %18 <<

printNotes: i= 52-<1836 1821  15>,  	 G2 --   1/16th( 34) <      > 	V 33 - M 22	=+11  %+33  	q= -1  %-3  	 0.186(76)<-----%33   %3

printNotes: i= 53-<1923 2011 -88>,  	 A2 --  1/64th.( 13) <      > 	V 10 - M 23	=-13  %-130  	q= -3  %-30  	 0.052(76)<-----%130   %30 <<

printNotes: i= 54-<1852 1609 243>,  	 F2 --    128th(  4) <      > 	V  3 - M 34	=-31  %-1033  	q= -1  %-33  	 0.012(76)<-----%1033   %33 <<



silence
printNotes: i= 55-<   0   40 -40>,  	Slc --   1/4th.(203) <-1*sela> 	V173 - M101	=+72  %+42  	q=-30  %-17  	 0.998(76)<-----%42   %17

printNotes: i= 56-<1961 2095 -134>,  	Bb2 --   1/8th.(101) <      > 	V 91 - M101	=-10  %-11  	q=-10  %-11  	 0.522(76)
printNotes: i= 57-<2000 2011 -11>,  	 A2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 58-<2079 2095 -16>,  	Bb2 -- 1/32nd..( 30) <      > 	V 28 - M 45	=-17  %-61  	q= -2  %-7  	 0.157(76)<-----%61   %7

printNotes: i= 59-<2017 2011   6>,  	 A2 --  1/32nd.( 25) <      > 	V 27 - M 23	= +4  %+15  	q= +2  %+7  	 0.151(76)<-----%15   %7

printNotes: i= 60-<2080 2095 -15>,  	Bb2 --   1/32nd( 17) <      > 	V 19 - M 23	= -4  %-21  	q= +2  %+11  	 0.104(76)<-----%21   %11

printNotes: i= 61-<1982 1821 161>,  	 G2 --    128th(  4) <      > 	V  1 - M 22	=-21  %-2100  	q= -3  %-300  	 0.000(76)<-----%2100   %300 <<

printNotes: i= 62-<1982 2011 -29>,  	 A2 --    128th(  4) <      > 	V  1 - M 23	=-22  %-2200  	q= -3  %-300  	 0.000(76)<-----%2200   %300 <<

printNotes: i= 63-<1966 1609 357>,  	 F2 --    128th(  4) <      > 	V  1 - M 34	=-33  %-3300  	q= -3  %-300  	 0.000(76)<-----%3300   %300 <<



silence
printNotes: i= 64-<   0   40 -40>,  	Slc --   1/4th.(203) <      > 	V187 - M101	=+86  %+46  	q=-16  %-9  	 1.080(76)<-----%46   %9

printNotes: i= 65-<1645 1609  36>,  	 F2 --  1/64th.( 13) <      > 	V 10 - M 17	= -7  %-70  	q= -3  %-30  	 0.052(76)<-----%70   %30 <<

printNotes: i= 66-<2020 2095 -75>,  	Bb2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(76)
printNotes: i= 67-<2025 2011  14>,  	 A2 --    1/8th( 68) <      > 	V 83 - M 34	=+49  %+59  	q=+15  %+18  	 0.476(76)<-----%59   %18

printNotes: i= 68-<2098 2095   3>,  	Bb2 -- 1/64th..( 15) <      > 	V 15 - M 34	=-19  %-127  	q=  +  %+0  	 0.081(76)<-----%127   %0 <<

printNotes: i= 69-<1972 2011 -39>,  	 A2 --  1/64th.( 13) <      > 	V  9 - M 34	=-25  %-278  	q= -4  %-44  	 0.046(76)<-----%278   %44 <<

printNotes: i= 70-<1849 1821  28>,  	 G2 --  1/32nd.( 25) <      > 	V 22 - M 51	=-29  %-132  	q= -3  %-14  	 0.122(76)<-----%132   %14

printNotes: i= 71-<2019 2011   8>,  	 A2 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(76)
printNotes: i= 72-<2086 2095  -9>,  	Bb2 --  1/16th.( 51) <      > 	V 45 - M 34	=+11  %+24  	q= -6  %-13  	 0.255(76)<-----%24   %13

printNotes: i= 73-<2286 2315 -29>,  	 C3 --     half(270) <      > 	V263 - M270	= -7  %-3  	q= -7  %-3  	 1.521(76)
printNotes: i= 74-<2270 2507 -237>,  	 D3 --  1/32nd.( 25) <      > 	V 24 - M 17	= +7  %+29  	q= -1  %-4  	 0.134(76)<-----%29   %4

printNotes: i= 75-<2665 2605  60>,  	Eb3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(76)
printNotes: i= 76-<2470 2507 -37>,  	 D3 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(76)<-----%21   %7 <<

printNotes: i= 77-<2043 2605 -562>,  	Eb3 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(76)
printNotes: i= 78-<1762 2315 -553>,  	 C3 --   1/8th.(101) <      > 	V 97 - M 68	=+29  %+30  	q= -4  %-4  	 0.557(76)<-----%30   %4



silence
printNotes: i= 79-<   0   40 -40>,  	Slc --    1/8th( 68) <      > 	V 66 - M 68	= -2  %-3  	q= -2  %-3  	 0.377(76)
printNotes: i= 80-<1903 2095 -192>,  	Bb2 --  1/32nd.( 25) <      > 	V 24 - M 34	=-10  %-42  	q= -1  %-4  	 0.134(76)<-----%42   %4

printNotes: i= 81-<2541 2605 -64>,  	Eb3 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)
printNotes: i= 82-<2496 2507 -11>,  	 D3 --   1/16th( 34) <      > 	V 42 - M 34	= +8  %+19  	q= +8  %+19  	 0.238(76)
printNotes: i= 83-<2766 2794 -28>,  	 F3 --  1/64th.( 13) <      > 	V 11 - M 17	= -6  %-55  	q= -2  %-18  	 0.058(76)<-----%55   %18 <<

printNotes: i= 84-<2484 2605 -121>,  	Eb3 --    1/8th( 68) <      > 	V 74 - M 34	=+40  %+54  	q= +6  %+8  	 0.424(76)<-----%54   %8

printNotes: i= 85-< 201 2507 -2306>,  	 D3 --  1/64th.( 13) <      > 	V 12 - M 34	=-22  %-183  	q= -1  %-8  	 0.064(76)<-----%183   %8 <<

printNotes: i= 86-<2303 2315 -12>,  	 C3 --  1/8th..(118) <      > 	V116 - M101	=+15  %+13  	q= -2  %-2  	 0.668(76)<-----%13   %2



silence
printNotes: i= 87-<   0   40 -40>,  	Slc --  1/64th.( 13) <      > 	V 11 - M  8	= +3  %+27  	q= -2  %-18  	 0.058(76)
printNotes: i= 88-<2503 2507  -4>,  	 D3 --   1/8th.(101) <      > 	V101 - M135	=-34  %-34  	q=  +  %+0  	 0.580(76)<-----%34   %0

printNotes: i= 89-<2491 2605 -114>,  	Eb3 --   1/8th.(101) <      > 	V 92 - M101	= -9  %-10  	q= -9  %-10  	 0.528(76)
printNotes: i= 90-<2802 2794   8>,  	 F3 --   1/16th( 34) <      > 	V 38 - M 34	= +4  %+11  	q= +4  %+11  	 0.215(76)
printNotes: i= 91-<2081 2605 -524>,  	Eb3 --   1/16th( 34) <      > 	V 42 - M 34	= +8  %+19  	q= +8  %+19  	 0.238(76)
printNotes: i= 92-<1796 2507 -711>,  	 D3 --  1/64th.( 13) <      > 	V 14 - M 34	=-20  %-143  	q= +1  %+7  	 0.075(76)<-----%143   %7 <<

printNotes: i= 93-<2618 2605  13>,  	Eb3 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(76)
printNotes: i= 94-<2512 2507   5>,  	 D3 --  1/32nd.( 25) <      > 	V 26 - M 34	= -8  %-31  	q= +1  %+4  	 0.145(76)<-----%31   %4

printNotes: i= 95-<2350 2315  35>,  	 C3 --   1/32nd( 17) <      > 	V 20 - M 34	=-14  %-70  	q= +3  %+15  	 0.110(76)<-----%70   %15

printNotes: i= 96-<2537 2507  30>,  	 D3 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(76)
printNotes: i= 97-<2149 2315 -166>,  	 C3 -- 1/32nd..( 30) <      > 	V 31 - M 34	= -3  %-10  	q= +1  %+3  	 0.174(76)<-----%10   %3

printNotes: i= 98-<2137 2095  42>,  	Bb2 -- 1/64th..( 15) <      > 	V 16 - M 34	=-18  %-112  	q= +1  %+6  	 0.087(76)<-----%112   %6 <<

printNotes: i= 99-<1734 2315 -581>,  	 C3 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(76)
printNotes: i= 100-<2152 2095  57>,  	Bb2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 101-<1962 1961   1>,  	Ak2 --   1/32nd( 17) <      > 	V 19 - M 34	=-15  %-79  	q= +2  %+11  	 0.104(76)<-----%79   %11

printNotes: i= 102-<2099 2095   4>,  	Bb2 --  1/16th.( 51) <      > 	V 50 - M 34	=+16  %+32  	q= -1  %-2  	 0.284(76)<-----%32   %2

printNotes: i= 103-<2018 1961  57>,  	Ak2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(76)
printNotes: i= 104-<1834 1821  13>,  	 G2 --  1/32nd.( 25) <      > 	V 22 - M 34	=-12  %-55  	q= -3  %-14  	 0.122(76)<-----%55   %14

printNotes: i= 105-<1963 1961   2>,  	Ak2 --    1/8th( 68) <      > 	V 66 - M 34	=+32  %+48  	q= -2  %-3  	 0.377(76)<-----%48   %3

printNotes: i= 106-<1836 1821  15>,  	 G2 --  1/16th.( 51) <      > 	V 45 - M 68	=-23  %-51  	q= -6  %-13  	 0.255(76)<-----%51   %13

printNotes: i= 107-<2023 2095 -72>,  	Bb2 --   1/8th.(101) <      > 	V104 - M 68	=+36  %+35  	q= +3  %+3  	 0.598(76)<-----%35   %3

printNotes: i= 108-<2006 1961  45>,  	Ak2 --  1/32nd.( 25) <      > 	V 27 - M 68	=-41  %-152  	q= +2  %+7  	 0.151(76)<-----%152   %7

printNotes: i= 109-<2326 2315  11>,  	 C3 --    1/8th( 68) <      > 	V 69 - M 68	= +1  %+1  	q= +1  %+1  	 0.395(76)
printNotes: i= 110-<1449 2095 -646>,  	Bb2 --   1/8th.(101) <      > 	V 87 - M 68	=+19  %+22  	q=-14  %-16  	 0.499(76)<-----%22   %16



silence
printNotes: i= 111-<   0   40 -40>,  	Slc --  1/16th.( 51) <      > 	V 54 - M135	=-81  %-150  	q= +3  %+6  	 0.308(76)<-----%150   %6

