	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2803 2799   4>,  	 A2 --   1/16th( 31) <      > 	V 36 - M 62	=-26  %-72  	q= +5  %+14  	 0.203(84)<-----%72   %14

printNotes: i= 39-<2773 2860 -87>,  	Bb2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(84)
printNotes: i= 40-<2795 2799  -4>,  	 A2 --    1/8th( 62) <      > 	V 67 - M 62	= +5  %+7  	q= +5  %+7  	 0.383(84)
printNotes: i= 41-<2862 2860   2>,  	Bb2 --    1/4th(124) <1*sela> 	V153 - M 93	=+60  %+39  	q=+29  %+19  	 0.882(84)<-----%39   %19

printNotes: i= 42-<3056 3055   1>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(84)<-----%138   %8 <<

printNotes: i= 43-<2907 2860  47>,  	Bb2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 44-<2802 2799   3>,  	 A2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(84)<-----%41   %5

printNotes: i= 45-<2902 2860  42>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 46-<2815 2799  16>,  	 A2 --  1/16th.( 46) <      > 	V 41 - M 62	=-21  %-51  	q= -5  %-12  	 0.232(84)<-----%51   %12

printNotes: i= 47-<2589 2586   3>,  	 G2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(84)
printNotes: i= 48-<2832 2799  33>,  	 A2 --   1/32nd( 15) <      > 	V 16 - M 31	=-15  %-94  	q= +1  %+6  	 0.087(84)<-----%94   %6 <<

printNotes: i= 49-<2625 2586  39>,  	 G2 -- 1/16th..( 54) <      > 	V 54 - M 62	= -8  %-15  	q=  +  %+0  	 0.308(84)<-----%15   %0

printNotes: i= 50-<2483 2462  21>,  	F#2 -- 1/16th..( 54) <      > 	V 50 - M 31	=+19  %+38  	q= -4  %-8  	 0.284(84)<-----%38   %8

printNotes: i= 51-<2577 2586  -9>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 31	=-21  %-210  	q= +2  %+20  	 0.052(84)<-----%210   %20 <<

printNotes: i= 52-<2475 2462  13>,  	F#2 --    1/4th(124) <      > 	V137 - M 93	=+44  %+32  	q=+13  %+9  	 0.789(84)<-----%32   %9

