	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2609 2582  27>,  	 G2 -- 1/16th..( 53) <      > 	V 53 - M 61	= -8  %-15  	q=  +  %+0  	 0.302(85)<-----%15   %0

printNotes: i= 39-<3059 3053   6>,  	 C3 --    1/4th(121) <1*sela> 	V136 - M121	=+15  %+11  	q=+15  %+11  	 0.784(85)
printNotes: i= 40-<2888 2860  28>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(85)
printNotes: i= 41-<3055 3053   2>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(85)<-----%50   %10 <<

printNotes: i= 42-<2868 2860   8>,  	Bb2 --   1/16th( 30) <      > 	V 31 - M 15	=+16  %+52  	q= +1  %+3  	 0.174(85)<-----%52   %3

printNotes: i= 43-<3096 3053  43>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(85)<-----%15   %0 <<

printNotes: i= 44-<2792 2789   3>,  	 A2 --  1/16th.( 46) <      > 	V 38 - M 30	= +8  %+21  	q= -8  %-21  	 0.215(85)
printNotes: i= 45-<3007 2860 147>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(85)<-----%88   %6 <<

printNotes: i= 46-<2788 2789  -1>,  	 A2 --  1/16th.( 46) <      > 	V 38 - M 30	= +8  %+21  	q= -8  %-21  	 0.215(85)
printNotes: i= 47-<2903 2860  43>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 30	=-17  %-131  	q=  +  %+0  	 0.070(85)<-----%131   %0 <<

printNotes: i= 48-<2599 2582  17>,  	 G2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 49-<2844 2789  55>,  	 A2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(85)<-----%88   %6 <<

printNotes: i= 50-<2577 2582  -5>,  	 G2 --  1/16th.( 46) <      > 	V 42 - M 61	=-19  %-45  	q= -4  %-10  	 0.238(85)<-----%45   %10

