	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2309 2499 -190>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(85)<-----%36   %0 <<

printNotes: i= 39-<2393 2393    >,  	 A2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(85)<-----%25   %4

printNotes: i= 40-<2199 2213 -14>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(85)<-----%76   %12

printNotes: i= 41-<2386 2393  -7>,  	 A2 --    1/4th(121) <      > 	V122 - M121	= +1  %+1  	q= +1  %+1  	 0.702(85)
printNotes: i= 42-<2472 2499 -27>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(85)<-----%88   %6 <<

printNotes: i= 43-<2401 2393   8>,  	 A2 --    1/8th( 61) <      > 	V 70 - M 15	=+55  %+79  	q= +9  %+13  	 0.401(85)<-----%79   %13

printNotes: i= 44-<1559 2499 -940>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(85)<-----%88   %0 <<

printNotes: i= 45-< 854 2670 -1816>,  	 C3 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(85)<-----%150   %0 <<

printNotes: i= 46-<2443 2499 -56>,  	Bb2 --  1/32nd.( 23) <      > 	V 21 - M 15	= +6  %+29  	q= -2  %-10  	 0.116(85)<-----%29   %10

printNotes: i= 47-<2632 2670 -38>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(85)<-----%15   %0 <<

printNotes: i= 48-<2377 2393 -16>,  	 A2 --  1/8th..(106) <      > 	V107 - M121	=-14  %-13  	q= +1  %+1  	 0.615(85)<-----%13   %1

printNotes: i= 49-<2209 2213  -4>,  	 G2 --   1/8th.( 91) <-1*sela> 	V 76 - M 61	=+15  %+20  	q=-15  %-20  	 0.435(85)
printNotes: i= 50-<2369 2353  16>,  	Ak2 --     half(243) <1*sela> 	V269 - M243	=+26  %+10  	q=+26  %+10  	 1.556(85)
printNotes: i= 51-<1999 2213 -214>,  	 G2 --   1/8th.( 91) <      > 	V 85 - M 61	=+24  %+28  	q= -6  %-7  	 0.488(85)<-----%28   %7



silence
printNotes: i= 52-<   0   40 -40>,  	Slc --     half(243) <1*sela> 	V258 - M304	=-46  %-18  	q=+15  %+6  	 1.492(85)<-----%18   %6

printNotes: i= 53-<1571 1510  61>,  	 C2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(85)
printNotes: i= 54-<2283 2353 -70>,  	Ak2 -- 1/16th..( 53) <      > 	V 52 - M 40	=+12  %+23  	q= -1  %-2  	 0.296(85)<-----%23   %2

printNotes: i= 55-<2213 2213    >,  	 G2 --    1/8th( 61) <      > 	V 74 - M 81	= -7  %-9  	q=+13  %+18  	 0.424(85)
printNotes: i= 56-<2366 2353  13>,  	Ak2 --    1/8th( 61) <      > 	V 75 - M 61	=+14  %+19  	q=+14  %+19  	 0.430(85)
printNotes: i= 57-<2250 2213  37>,  	 G2 -- 1/16th..( 53) <      > 	V 50 - M 46	= +4  %+8  	q= -3  %-6  	 0.284(85)
printNotes: i= 58-<2025 2010  15>,  	 F2 --   1/4th.(182) <-1*sela> 	V160 - M182	=-22  %-14  	q=-22  %-14  	 0.923(85)
printNotes: i= 59-<2211 2213  -2>,  	 G2 --    1/8th( 61) <      > 	V 59 - M 46	=+13  %+22  	q= -2  %-3  	 0.337(85)<-----%22   %3

printNotes: i= 60-<2346 2353  -7>,  	Ak2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(85)<-----%36   %0 <<

printNotes: i= 61-<2193 2213 -20>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 15	=+11  %+42  	q= -1  %-4  	 0.145(85)<-----%42   %4

printNotes: i= 62-<2019 2010   9>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(85)<-----%88   %6 <<

printNotes: i= 63-<2224 2213  11>,  	 G2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(85)<-----%400   %33 <<

printNotes: i= 64-<2324 2353 -29>,  	Ak2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(85)<-----%400   %33 <<

printNotes: i= 65-<2213 2213    >,  	 G2 --  1/16th.( 46) <      > 	V 45 - M 30	=+15  %+33  	q= -1  %-2  	 0.255(85)<-----%33   %2

printNotes: i= 66-<2421 2353  68>,  	Ak2 --  1/16th.( 46) <      > 	V 43 - M 30	=+13  %+30  	q= -3  %-7  	 0.244(85)<-----%30   %7

printNotes: i= 67-<2198 2213 -15>,  	 G2 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(85)<-----%43   %10

printNotes: i= 68-<2395 2353  42>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(85)<-----%15   %0 <<

printNotes: i= 69-<2220 2213   7>,  	 G2 --    1/8th( 61) <      > 	V 66 - M 61	= +5  %+8  	q= +5  %+8  	 0.377(85)
printNotes: i= 70-<2368 2353  15>,  	Ak2 --    1/4th(121) <      > 	V131 - M121	=+10  %+8  	q=+10  %+8  	 0.755(85)
printNotes: i= 71-<2264 2213  51>,  	 G2 --  1/16th.( 46) <      > 	V 49 - M 61	=-12  %-24  	q= +3  %+6  	 0.279(85)<-----%24   %6



silence
printNotes: i= 72-<   0   40 -40>,  	Slc --   1/4th.(182) <-1*sela> 	V156 - M121	=+35  %+22  	q=-26  %-17  	 0.900(85)<-----%22   %17

printNotes: i= 73-<1706 1710  -4>,  	 D2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
