	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2295 2402 -107>,  	 A2 --    half.(385) <      > 	V385 - M385	=  +  %+0  	q=  +  %+0  	 2.229(81)<-- same note


silence
printNotes: i= 39-<   0   40 -40>,  	Slc --    half.(385) <1*sela> 	V410 - M385	=+25  %+6  	q=+25  %+6  	 2.374(81)
printNotes: i= 40-<1927 2217 -290>,  	 G2 --    1/8th( 64) <      > 	V 62 - M 32	=+30  %+48  	q= -2  %-3  	 0.354(81)<-----%48   %3

printNotes: i= 41-<2388 2402 -14>,  	 A2 --    half.(385) <-3*sela> 	V323 - M192	=+131  %+41  	q=-62  %-19  	 1.869(81)<-----%41   %19

printNotes: i= 42-<1809 2402 -593>,  	 A2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note


silence
printNotes: i= 43-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 43 - M128	=-85  %-198  	q= -5  %-12  	 0.244(81)<-----%198   %12

printNotes: i= 44-<2163 2480 -317>,  	Bb2 --    1/8th( 64) <      > 	V 63 - M 32	=+31  %+49  	q= -1  %-2  	 0.360(81)<-----%49   %2

printNotes: i= 45-<2395 2402  -7>,  	 A2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 46-<2487 2480   7>,  	Bb2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(81)<-----%23   %8

printNotes: i= 47-<2413 2402  11>,  	 A2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(81)<-----%28   %4

printNotes: i= 48-<1942 2217 -275>,  	 G2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 49-<1820 2039 -219>,  	 F2 --    1/4th(128) <      > 	V128 - M128	=  +  %+0  	q=  +  %+0  	 0.737(81)
printNotes: i= 50-<2220 2217   3>,  	 G2 --   1/4th.(192) <-2*sela> 	V160 - M 64	=+96  %+60  	q=-32  %-20  	 0.923(81)<-----%60   %20



silence
printNotes: i= 51-<   0   40 -40>,  	Slc --  128th..(  7) <      > 	V  7 - M 64	=-57  %-814  	q=  +  %+0  	 0.035(81)<-----%814   %0 <<

printNotes: i= 52-<2245 2402 -157>,  	 A2 --    1/4th(128) <      > 	V134 - M 96	=+38  %+28  	q= +6  %+4  	 0.772(81)<-----%28   %4

printNotes: i= 53-<2428 2680 -252>,  	 C3 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i= 54-<2431 2480 -49>,  	Bb2 --    1/8th( 64) <      > 	V 69 - M 64	= +5  %+7  	q= +5  %+7  	 0.395(81)
printNotes: i= 55-<2653 2680 -27>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 56-<2398 2402  -4>,  	 A2 --    1/8th( 64) <      > 	V 66 - M 48	=+18  %+27  	q= +2  %+3  	 0.377(81)<-----%27   %3

printNotes: i= 57-<2480 2480    >,  	Bb2 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(81)<-----%45   %9

printNotes: i= 58-<2237 2217  20>,  	 G2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 59-<1823 2402 -579>,  	 A2 --   1/8th.( 96) <      > 	V 83 - M 64	=+19  %+23  	q=-13  %-16  	 0.476(81)<-----%23   %16

printNotes: i= 60-<2450 2402  48>,  	 A2 --    1/4th(128) <      > 	V128 - M128	=  +  %+0  	q=  +  %+0  	 0.737(81)<-- same note


silence
printNotes: i= 61-<   0   40 -40>,  	Slc --    1/4th(128) <      > 	V133 - M321	=-188  %-141  	q= +5  %+4  	 0.766(81)<-----%141   %4

