	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1989 1969  20>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(83)


silence
printNotes: i= 42-<  81   40  41>,  	Slc -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(83)
printNotes: i= 43-<1859 1870 -11>,  	 E2 --     half(248) <      > 	V237 - M248	=-11  %-5  	q=-11  %-5  	 1.370(83)
printNotes: i= 44-<1687 1678   9>,  	 D2 --    1/8th( 62) <      > 	V 67 - M 62	= +5  %+7  	q= +5  %+7  	 0.383(83)
printNotes: i= 45-<1947 1969 -22>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(83)
printNotes: i= 46-<1862 1870  -8>,  	 E2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(83)
printNotes: i= 47-<1667 1678 -11>,  	 D2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 48-<1498 1476  22>,  	 C2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)
printNotes: i= 49-<1388 1376  12>,  	 B1 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 50-<1481 1476   5>,  	 C2 --  1/4th..(217) <      > 	V207 - M217	=-10  %-5  	q=-10  %-5  	 1.196(83)


silence
printNotes: i= 51-<   0   40 -40>,  	Slc --    half.(372) <-2*sela> 	V335 - M378	=-43  %-13  	q=-37  %-11  	 1.939(83)
printNotes: i= 52-< 909 1376 -467>,  	 B1 --   1/8th.( 93) <      > 	V 91 - M 93	= -2  %-2  	q= -2  %-2  	 0.522(83)
printNotes: i= 53-<1659 1678 -19>,  	 D2 --    1/4th(124) <      > 	V132 - M124	= +8  %+6  	q= +8  %+6  	 0.760(83)
printNotes: i= 54-<1660 1678 -18>,  	 D2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(83)<-- same note
printNotes: i= 55-<1545 1476  69>,  	 C2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(83)
printNotes: i= 56-<1569 1678 -109>,  	 D2 --   1/8th.( 93) <      > 	V 99 - M 93	= +6  %+6  	q= +6  %+6  	 0.569(83)
printNotes: i= 57-<1984 1969  15>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(83)


silence
printNotes: i= 58-<   0   40 -40>,  	Slc --  1/8th..(109) <      > 	V116 - M109	= +7  %+6  	q= +7  %+6  	 0.668(83)
printNotes: i= 59-<1107 1000 107>,  	 G1 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(83)
printNotes: i= 60-<1661 1678 -17>,  	 D2 --   1/8th.( 93) <      > 	V 83 - M 93	=-10  %-12  	q=-10  %-12  	 0.476(83)
printNotes: i= 61-<1868 1870  -2>,  	 E2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(83)
printNotes: i= 62-<1674 1678  -4>,  	 D2 --   1/4th.(186) <      > 	V193 - M186	= +7  %+4  	q= +7  %+4  	 1.115(83)
printNotes: i= 63-<1681 1678   3>,  	 D2 --  1/8th..(109) <      > 	V109 - M109	=  +  %+0  	q=  +  %+0  	 0.627(83)<-- same note
printNotes: i= 64-< 456 1870 -1414>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 65-<1467 1678 -211>,  	 D2 --  1/4th..(217) <      > 	V207 - M217	=-10  %-5  	q=-10  %-5  	 1.196(83)
printNotes: i= 66-<1414 1476 -62>,  	 C2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 67-<1383 1376   7>,  	 B1 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 68-<1234 1200  34>,  	 A1 --  1/16th.( 47) <      > 	V 50 - M 47	= +3  %+6  	q= +3  %+6  	 0.284(83)
printNotes: i= 69-< 999 1000  -1>,  	 G1 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)


silence
printNotes: i= 70-<   0   40 -40>,  	Slc --     half(248) <      > 	V255 - M254	= +1  %+0  	q= +7  %+3  	 1.474(83)
printNotes: i= 71-<1606 1476 130>,  	 C2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 72-<2190 2387 -197>,  	 A2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(83)
printNotes: i= 73-<2374 2387 -13>,  	 A2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)<-- same note
printNotes: i= 74-<2184 2190  -6>,  	 G2 --    1/4th(124) <1*sela> 	V152 - M124	=+28  %+18  	q=+28  %+18  	 0.877(83)
printNotes: i= 75-<1868 1870  -2>,  	 E2 --   1/4th.(186) <      > 	V188 - M186	= +2  %+1  	q= +2  %+1  	 1.086(83)
printNotes: i= 76-<1680 1678   2>,  	 D2 --    1/8th( 62) <      > 	V 59 - M 62	= -3  %-5  	q= -3  %-5  	 0.337(83)
printNotes: i= 77-<1865 1870  -5>,  	 E2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(83)
printNotes: i= 78-<1690 1678  12>,  	 D2 -- 1/32nd..( 27) <      > 	V 25 - M 23	= +2  %+8  	q= -2  %-8  	 0.139(83)
printNotes: i= 79-<1890 1870  20>,  	 E2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 80-< 606 1678 -1072>,  	 D2 --    1/8th( 62) <      > 	V 67 - M 62	= +5  %+7  	q= +5  %+7  	 0.383(83)
printNotes: i= 81-<1462 1476 -14>,  	 C2 --   1/4th.(186) <      > 	V175 - M186	=-11  %-6  	q=-11  %-6  	 1.010(83)


silence
printNotes: i= 82-<  18   40 -22>,  	Slc --  1/8th..(109) <      > 	V114 - M 93	=+21  %+18  	q= +5  %+4  	 0.656(83)<-----%18   %4

printNotes: i= 83-<1674 1678  -4>,  	 D2 --  1/8th..(109) <      > 	V109 - M109	=  +  %+0  	q=  +  %+0  	 0.627(83)
printNotes: i= 84-<2121 2190 -69>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(83)


silence
printNotes: i= 85-<   0   40 -40>,  	Slc --  1/16th.( 47) <      > 	V 42 - M 47	= -5  %-12  	q= -5  %-12  	 0.238(83)
printNotes: i= 86-<2147 2190 -43>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(83)
printNotes: i= 87-<1927 1969 -42>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 88-<1869 1870  -1>,  	 E2 --  1/4th..(217) <      > 	V207 - M217	=-10  %-5  	q=-10  %-5  	 1.196(83)
printNotes: i= 89-<1693 1678  15>,  	 D2 --    1/8th( 62) <      > 	V 76 - M 62	=+14  %+18  	q=+14  %+18  	 0.435(83)
printNotes: i= 90-<1942 1969 -27>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 91-<1830 1870 -40>,  	 E2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
