	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1700 1734 -34>,  	 D2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 42-<1811 1821 -10>,  	Eb2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(78)
printNotes: i= 43-<1724 1734 -10>,  	 D2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 44-<1511 1524 -13>,  	 C2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 45-<1731 1734  -3>,  	 D2 --   1/8th.(100) <      > 	V 89 - M100	=-11  %-12  	q=-11  %-12  	 0.511(78)
printNotes: i= 46-<1003 2001 -998>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 47-<1558 1734 -176>,  	 D2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(78)


silence
printNotes: i= 48-<   0   40 -40>,  	Slc --     half(266) <      > 	V271 - M266	= +5  %+2  	q= +5  %+2  	 1.567(78)
printNotes: i= 49-<1254 1267 -13>,  	 A1 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 50-<1795 1821 -26>,  	Eb2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(78)
printNotes: i= 51-<1955 1921  34>,  	 E2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 52-<2207 2223 -16>,  	 G2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
printNotes: i= 53-<2421 2423  -2>,  	 A2 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i= 54-<2221 2223  -2>,  	 G2 --    half.(399) <-3*sela> 	V341 - M399	=-58  %-17  	q=-58  %-17  	 1.974(78)
printNotes: i= 55-<2027 2001  26>,  	 F2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 56-<2108 2101   7>,  	F#2 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
