	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2924 2959 -35>,  	Eb3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(82)
printNotes: i= 42-<2690 2688   2>,  	 C3 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(82)
printNotes: i= 43-<2124 2588 -464>,  	 B2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(82)
printNotes: i= 44-<2066 2329 -263>,  	Ak2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(82)
printNotes: i= 45-<2205 2199   6>,  	 G2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(82)
printNotes: i= 46-<2336 2329   7>,  	Ak2 --    1/4th(126) <1*sela> 	V151 - M126	=+25  %+17  	q=+25  %+17  	 0.871(82)
printNotes: i= 47-<1257 2588 -1331>,  	 B2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(82)
printNotes: i= 48-<2241 2329 -88>,  	Ak2 --  1/16th.( 47) <      > 	V 43 - M 47	= -4  %-9  	q= -4  %-9  	 0.244(82)


silence
printNotes: i= 49-<   0   40 -40>,  	Slc --  1/4th..(220) <      > 	V212 - M195	=+17  %+8  	q= -8  %-4  	 1.225(82)<-----%8   %4

printNotes: i= 50-<1585 1495  90>,  	 C2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(82)
printNotes: i= 51-<2198 2329 -131>,  	Ak2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(82)
printNotes: i= 52-<2210 2199  11>,  	 G2 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(82)
printNotes: i= 53-<2312 2329 -17>,  	Ak2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(82)
printNotes: i= 54-<2584 2588  -4>,  	 B2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(82)
printNotes: i= 55-<2679 2688  -9>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 56-<2910 2899  11>,  	 D3 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(82)
printNotes: i= 57-<2690 2688   2>,  	 C3 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(82)
printNotes: i= 58-<2853 2899 -46>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 59-<2618 2588  30>,  	 B2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(82)
printNotes: i= 60-<2715 2788 -73>,  	Db3 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(82)
printNotes: i= 61-<2332 2329   3>,  	Ak2 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(82)
printNotes: i= 62-<2218 2199  19>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(82)
printNotes: i= 63-<2687 2688  -1>,  	 C3 -- 1/16th..( 55) <      > 	V 56 - M 55	= +1  %+2  	q= +1  %+2  	 0.319(82)
printNotes: i= 64-<2524 2959 -435>,  	Eb3 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(82)
printNotes: i= 65-<2607 2588  19>,  	 B2 --  1/4th..(220) <      > 	V221 - M220	= +1  %+0  	q= +1  %+0  	 1.277(82)
printNotes: i= 66-<2334 2329   5>,  	Ak2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 67-<2563 2588 -25>,  	 B2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(82)
printNotes: i= 68-<2209 2199  10>,  	 G2 --   1/4th.(189) <      > 	V193 - M189	= +4  %+2  	q= +4  %+2  	 1.115(82)
printNotes: i= 69-<2430 2488 -58>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(82)
printNotes: i= 70-<2324 2329  -5>,  	Ak2 --  1/8th..(110) <      > 	V112 - M110	= +2  %+2  	q= +2  %+2  	 0.644(82)
printNotes: i= 71-<1259 2788 -1529>,  	Db3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(82)
printNotes: i= 72-<2593 2588   5>,  	 B2 --    1/4th(126) <1*sela> 	V145 - M126	=+19  %+13  	q=+19  %+13  	 0.836(82)
printNotes: i= 73-<2682 2688  -6>,  	 C3 -- 1/16th..( 55) <      > 	V 54 - M 55	= -1  %-2  	q= -1  %-2  	 0.308(82)
printNotes: i= 74-<2839 2788  51>,  	Db3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)
printNotes: i= 75-<2680 2688  -8>,  	 C3 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(82)
printNotes: i= 76-<2582 2588  -6>,  	 B2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(82)
printNotes: i= 77-<2107 2688 -581>,  	 C3 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(82)
printNotes: i= 78-<2370 2329  41>,  	Ak2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(82)
printNotes: i= 79-<2545 2588 -43>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(82)
printNotes: i= 80-<2339 2329  10>,  	Ak2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(82)
printNotes: i= 81-<2453 2688 -235>,  	 C3 -- 1/16th..( 55) <      > 	V 54 - M 55	= -1  %-2  	q= -1  %-2  	 0.308(82)
printNotes: i= 82-<3042 3188 -146>,  	 F3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 83-<2624 2588  36>,  	 B2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(82)
printNotes: i= 84-<2517 2488  29>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(82)
printNotes: i= 85-<2684 2688  -4>,  	 C3 --  1/16th.( 47) <      > 	V 42 - M 47	= -5  %-12  	q= -5  %-12  	 0.238(82)
printNotes: i= 86-<2592 2588   4>,  	 B2 --  1/4th..(220) <      > 	V224 - M220	= +4  %+2  	q= +4  %+2  	 1.295(82)
printNotes: i= 87-<1324 2329 -1005>,  	Ak2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(82)
printNotes: i= 88-<2331 2588 -257>,  	 B2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(82)
printNotes: i= 89-<2199 2199    >,  	 G2 --   1/4th.(189) <      > 	V178 - M189	=-11  %-6  	q=-11  %-6  	 1.027(82)
printNotes: i= 90-<2639 2688 -49>,  	 C3 --  128th..(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(82)
printNotes: i= 91-<1766 2199 -433>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(82)


silence
printNotes: i= 92-<   0   40 -40>,  	Slc --  whole..(881) <-2*sela> 	V845 - M755	=+90  %+11  	q=-36  %-4  	 4.899(82)<-----%11   %4

printNotes: i= 93-<1825 1715 110>,  	 D2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(82)
printNotes: i= 94-<2599 2688 -89>,  	 C3 --    1/8th( 63) <      > 	V 68 - M 63	= +5  %+7  	q= +5  %+7  	 0.389(82)
printNotes: i= 95-<2618 2588  30>,  	 B2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(82)
