	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1494 1491   3>,  	 C2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(66)
printNotes: i= 42-<1647 1700 -53>,  	 D2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(66)
printNotes: i= 43-<1486 1491  -5>,  	 C2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 44-<1376 1391 -15>,  	 B1 --   1/32nd( 20) <      > 	V 22 - M 20	= +2  %+9  	q= +2  %+9  	 0.122(66)
printNotes: i= 45-<1475 1491 -16>,  	 C2 --  1/16th.( 59) <      > 	V 62 - M 59	= +3  %+5  	q= +3  %+5  	 0.354(66)
printNotes: i= 46-<1499 1491   8>,  	 C2 --   1/4th.(235) <      > 	V235 - M235	=  +  %+0  	q=  +  %+0  	 1.358(66)<-- same note


silence
printNotes: i= 47-<   0   40 -40>,  	Slc --    half.(470) <-3*sela> 	V409 - M320	=+89  %+22  	q=-61  %-15  	 2.368(66)<-----%22   %15

printNotes: i= 48-<1026  991  35>,  	 G1 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)
printNotes: i= 49-<1495 1491   4>,  	 C2 --  1/4th..(274) <      > 	V282 - M274	= +8  %+3  	q= +8  %+3  	 1.631(66)
printNotes: i= 50-<1009 1491 -482>,  	 C2 --    1/4th(157) <      > 	V157 - M157	=  +  %+0  	q=  +  %+0  	 0.906(66)<-- same note
printNotes: i= 51-<1680 1700 -20>,  	 D2 --  1/8th..(137) <      > 	V142 - M137	= +5  %+4  	q= +5  %+4  	 0.819(66)


silence
printNotes: i= 52-<   0   40 -40>,  	Slc --   1/16th( 39) <      > 	V 41 - M 39	= +2  %+5  	q= +2  %+5  	 0.232(66)
printNotes: i= 53-< 883 1291 -408>,  	Bb1 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(66)
printNotes: i= 54-<1640 1700 -60>,  	 D2 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)
printNotes: i= 55-<1848 1815  33>,  	Ek2 --  1/32nd.( 29) <      > 	V 26 - M 29	= -3  %-12  	q= -3  %-12  	 0.145(66)
printNotes: i= 56-<1967 1975  -8>,  	 F2 -- 1/32nd..( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(66)
printNotes: i= 57-<1828 1815  13>,  	Ek2 --  1/64th.( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(66)
printNotes: i= 58-<1950 1975 -25>,  	 F2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(66)
printNotes: i= 59-<2174 2186 -12>,  	 G2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 60-<1959 1975 -16>,  	 F2 --  1/8th..(137) <      > 	V129 - M137	= -8  %-6  	q= -8  %-6  	 0.743(66)
printNotes: i= 61-<2215 2186  29>,  	 G2 --  1/16th.( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(66)
printNotes: i= 62-<1903 1888  15>,  	 E2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 63-<1954 1975 -21>,  	 F2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(66)
printNotes: i= 64-<1814 1888 -74>,  	 E2 --   1/8th.(117) <      > 	V123 - M117	= +6  %+5  	q= +6  %+5  	 0.708(66)
printNotes: i= 65-<1926 1975 -49>,  	 F2 --    128th(  5) <      > 	V  4 - M  5	= -1  %-25  	q= -1  %-25  	 0.017(66)


silence
printNotes: i= 66-<  75   40  35>,  	Slc --  1/32nd.( 29) <      > 	V 26 - M 29	= -3  %-12  	q= -3  %-12  	 0.145(66)
printNotes: i= 67-<1268 1700 -432>,  	 D2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(66)
printNotes: i= 68-<1871 1888 -17>,  	 E2 --   1/32nd( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(66)
printNotes: i= 69-<1724 1700  24>,  	 D2 --   1/16th( 39) <      > 	V 40 - M 39	= +1  %+2  	q= +1  %+2  	 0.226(66)
printNotes: i= 70-<1703 1700   3>,  	 D2 --  1/16th.( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(66)<-- same note


silence
printNotes: i= 71-<   0   40 -40>,  	Slc --    1/8th( 78) <      > 	V 77 - M 85	= -8  %-10  	q= -1  %-1  	 0.441(66)<-----%10   %1

printNotes: i= 72-<1474 1491 -17>,  	 C2 -- 1/32nd..( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(66)
printNotes: i= 73-<1709 1700   9>,  	 D2 --  1/32nd.( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(66)
printNotes: i= 74-<1897 1888   9>,  	 E2 -- 1/32nd..( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(66)
printNotes: i= 75-<1714 1700  14>,  	 D2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(66)
printNotes: i= 76-<1892 1888   4>,  	 E2 --  1/32nd.( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(66)
printNotes: i= 77-<2005 1975  30>,  	 F2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 78-<1881 1888  -7>,  	 E2 --  1/8th..(137) <      > 	V141 - M137	= +4  %+3  	q= +4  %+3  	 0.813(66)
printNotes: i= 79-<1973 1975  -2>,  	 F2 --  1/16th.( 59) <      > 	V 52 - M 59	= -7  %-13  	q= -7  %-13  	 0.296(66)
