	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2708 2709  -1>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 42-<2619 2609  10>,  	 B2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 43-<2743 2709  34>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)
printNotes: i= 44-<2584 2609 -25>,  	 B2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(79)
printNotes: i= 45-<2693 2709 -16>,  	 C3 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(79)
printNotes: i= 46-<2408 2418 -10>,  	 A2 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(79)
printNotes: i= 47-<1979 2709 -730>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 48-<2049 2220 -171>,  	 G2 --   1/4th.(196) <-1*sela> 	V171 - M196	=-25  %-15  	q=-25  %-15  	 0.987(79)
printNotes: i= 49-<2476 2509 -33>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(79)
printNotes: i= 50-<2433 2418  15>,  	 A2 --   1/8th.( 98) <      > 	V 98 - M 98	=  +  %+0  	q=  +  %+0  	 0.563(79)
printNotes: i= 51-<2897 2916 -19>,  	 D3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 52-<2693 2709 -16>,  	 C3 --  1/16th.( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(79)
printNotes: i= 53-<2989 3016 -27>,  	Eb3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 54-<2703 2709  -6>,  	 C3 --   1/4th.(196) <-1*sela> 	V177 - M196	=-19  %-11  	q=-19  %-11  	 1.022(79)
printNotes: i= 55-<2638 2609  29>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)
printNotes: i= 56-<2823 2916 -93>,  	 D3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(79)
printNotes: i= 57-<2713 2709   4>,  	 C3 --     half(262) <      > 	V248 - M229	=+19  %+8  	q=-14  %-6  	 1.434(79)
printNotes: i= 58-<2886 2916 -30>,  	 D3 --   1/64th(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(79)
printNotes: i= 59-<2400 2709 -309>,  	 C3 --   1/8th.( 98) <      > 	V 86 - M 98	=-12  %-14  	q=-12  %-14  	 0.493(79)


silence
printNotes: i= 60-<   0   40 -40>,  	Slc --   half..(458) <-1*sela> 	V434 - M465	=-31  %-7  	q=-24  %-6  	 2.514(79)
printNotes: i= 61-<1749 1509 240>,  	 C2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(79)
printNotes: i= 62-<2357 2418 -61>,  	 A2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(79)
printNotes: i= 63-<2235 2220  15>,  	 G2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)
printNotes: i= 64-<2220 2418 -198>,  	 A2 --    1/4th(131) <1*sela> 	V151 - M131	=+20  %+13  	q=+20  %+13  	 0.871(79)
printNotes: i= 65-<1146 2220 -1074>,  	 G2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(79)
printNotes: i= 66-<2339 2418 -79>,  	 A2 --   1/4th.(196) <      > 	V206 - M196	=+10  %+5  	q=+10  %+5  	 1.190(79)


silence
printNotes: i= 67-<   0   40 -40>,  	Slc --  1/16th.( 49) <      > 	V 43 - M 49	= -6  %-14  	q= -6  %-14  	 0.244(79)
printNotes: i= 68-<2399 2418 -19>,  	 A2 --   1/8th.( 98) <      > 	V 90 - M 98	= -8  %-9  	q= -8  %-9  	 0.517(79)
printNotes: i= 69-<2532 2509  23>,  	Bb2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(79)
printNotes: i= 70-<2422 2418   4>,  	 A2 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(79)
printNotes: i= 71-<2517 2509   8>,  	Bb2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(79)
printNotes: i= 72-<2416 2418  -2>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 73-<2552 2509  43>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(79)
printNotes: i= 74-<2377 2418 -41>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(79)
printNotes: i= 75-<2498 2509 -11>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(79)
printNotes: i= 76-<2416 2418  -2>,  	 A2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(79)
printNotes: i= 77-<2222 2220   2>,  	 G2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(79)
