	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-< 995 1021 -26>,  	 G1 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)


silence
printNotes: i= 42-<   0   40 -40>,  	Slc --     half(259) <1*sela> 	V280 - M265	=+15  %+5  	q=+21  %+8  	 1.620(80)
printNotes: i= 43-<1725 1725    >,  	 D2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(80)
printNotes: i= 44-<1916 1916    >,  	 E2 --   1/8th.( 97) <      > 	V 88 - M 97	= -9  %-10  	q= -9  %-10  	 0.505(80)
printNotes: i= 45-<1985 2017 -32>,  	 F2 --   1/8th.( 97) <      > 	V 86 - M 97	=-11  %-13  	q=-11  %-13  	 0.493(80)
printNotes: i= 46-<2237 2237    >,  	 G2 --    1/8th( 65) <      > 	V 64 - M 65	= -1  %-2  	q= -1  %-2  	 0.366(80)
printNotes: i= 47-<1940 1916  24>,  	 E2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 48-<2005 2017 -12>,  	 F2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(80)
printNotes: i= 49-<1894 1916 -22>,  	 E2 -- 1/16th..( 57) <      > 	V 53 - M 57	= -4  %-8  	q= -4  %-8  	 0.302(80)
printNotes: i= 50-<2005 2017 -12>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 51-<1917 1916   1>,  	 E2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 52-<1742 1725  17>,  	 D2 -- 1/16th..( 57) <      > 	V 53 - M 49	= +4  %+8  	q= -4  %-8  	 0.302(80)
printNotes: i= 53-<1903 1916 -13>,  	 E2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(80)
printNotes: i= 54-<1718 1725  -7>,  	 D2 --    1/8th( 65) <      > 	V 68 - M 65	= +3  %+4  	q= +3  %+4  	 0.389(80)
printNotes: i= 55-<1923 1916   7>,  	 E2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 56-<1721 1725  -4>,  	 D2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(80)


silence
printNotes: i= 57-<   0   40 -40>,  	Slc --  1/8th..(113) <      > 	V118 - M129	=-11  %-9  	q= +5  %+4  	 0.679(80)<-----%9   %4

printNotes: i= 58-<1441 1421  20>,  	 B1 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(80)
printNotes: i= 59-<1706 1725 -19>,  	 D2 -- 1/16th..( 57) <      > 	V 59 - M 57	= +2  %+3  	q= +2  %+3  	 0.337(80)
printNotes: i= 60-<1523 1521   2>,  	 C2 --    1/4th(129) <1*sela> 	V152 - M129	=+23  %+15  	q=+23  %+15  	 0.877(80)
printNotes: i= 61-<1729 1725   4>,  	 D2 --   1/8th.( 97) <      > 	V103 - M 97	= +6  %+6  	q= +6  %+6  	 0.592(80)
printNotes: i= 62-<1644 1521 123>,  	 C2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 63-<1366 2017 -651>,  	 F2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(80)
printNotes: i= 64-<1613 1916 -303>,  	 E2 --    1/4th(129) <2*sela> 	V161 - M129	=+32  %+20  	q=+32  %+20  	 0.929(80)
printNotes: i= 65-<1721 1725  -4>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(80)
printNotes: i= 66-<2000 2017 -17>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 67-<1735 1725  10>,  	 D2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(80)
printNotes: i= 68-<1554 1521  33>,  	 C2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 69-<1779 1825 -46>,  	Eb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 70-<1526 1521   5>,  	 C2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)
printNotes: i= 71-<1289 1221  68>,  	 A1 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(80)
printNotes: i= 72-<1306 1521 -215>,  	 C2 --   1/8th.( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(80)
printNotes: i= 73-<1522 1521   1>,  	 C2 --     half(259) <      > 	V256 - M259	= -3  %-1  	q= -3  %-1  	 1.480(80)<-- same note


silence
printNotes: i= 74-<   0   40 -40>,  	Slc --    whole(518) <3*sela> 	V572 - M588	=-16  %-3  	q=+54  %+9  	 3.315(80)
printNotes: i= 75-<1577 1521  56>,  	 C2 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(80)
printNotes: i= 76-<1807 1725  82>,  	 D2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 77-<2272 2417 -145>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 78-<1999 2237 -238>,  	 G2 --   1/4th.(194) <      > 	V199 - M194	= +5  %+3  	q= +5  %+3  	 1.149(80)
printNotes: i= 79-<2136 2237 -101>,  	 G2 --    1/4th(129) <      > 	V129 - M129	=  +  %+0  	q=  +  %+0  	 0.743(80)<-- same note
printNotes: i= 80-<1888 2237 -349>,  	 G2 --    1/4th(129) <      > 	V129 - M129	=  +  %+0  	q=  +  %+0  	 0.743(80)<-- same note
printNotes: i= 81-<1937 2417 -480>,  	 A2 --  1/16th.( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(80)
printNotes: i= 82-<2165 2237 -72>,  	 G2 --  1/4th..(227) <      > 	V220 - M227	= -7  %-3  	q= -7  %-3  	 1.271(80)


silence
printNotes: i= 83-<   0   40 -40>,  	Slc --   1/16th( 32) <      > 	V 32 - M136	=-104  %-325  	q=  +  %+0  	 0.180(80)<-----%325   %0

printNotes: i= 84-<1642 1521 121>,  	 C2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 85-<1674 2237 -563>,  	 G2 --    1/4th(129) <      > 	V132 - M129	= +3  %+2  	q= +3  %+2  	 0.760(80)
printNotes: i= 86-<2083 2417 -334>,  	 A2 --    1/4th(129) <      > 	V124 - M129	= -5  %-4  	q= -5  %-4  	 0.714(80)
printNotes: i= 87-<1668 2517 -849>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 88-<2142 2417 -275>,  	 A2 --  1/4th..(227) <      > 	V217 - M227	=-10  %-5  	q=-10  %-5  	 1.254(80)
printNotes: i= 89-<2245 2237   8>,  	 G2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 90-< 596 2417 -1821>,  	 A2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 91-<2252 2237  15>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 92-<2457 2517 -60>,  	Bb2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 93-<2087 2237 -150>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 94-<2324 2337 -13>,  	Ab2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 95-<2251 2237  14>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 96-<2324 2337 -13>,  	Ab2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(80)
printNotes: i= 97-<2209 2237 -28>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 98-<2013 2017  -4>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 99-<2088 2117 -29>,  	F#2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(80)
printNotes: i= 100-<1998 2017 -19>,  	 F2 --  1/16th.( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(80)
printNotes: i= 101-<1912 1916  -4>,  	 E2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 102-<2094 2117 -23>,  	F#2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 103-<2025 2017   8>,  	 F2 --     half(259) <      > 	V265 - M259	= +6  %+2  	q= +6  %+2  	 1.533(80)


silence
printNotes: i= 104-<   0   40 -40>,  	Slc --    1/4th(129) <1*sela> 	V154 - M129	=+25  %+16  	q=+25  %+16  	 0.888(80)
printNotes: i= 105-<2029 2017  12>,  	 F2 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(80)
printNotes: i= 106-<1926 1916  10>,  	 E2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 107-<2004 2017 -13>,  	 F2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)
printNotes: i= 108-<2225 2237 -12>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(80)
printNotes: i= 109-<2415 2417  -2>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 110-<2229 2237  -8>,  	 G2 --  1/4th..(227) <      > 	V232 - M227	= +5  %+2  	q= +5  %+2  	 1.341(80)
printNotes: i= 111-<2485 2517 -32>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(80)
printNotes: i= 112-<2260 2237  23>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(80)
printNotes: i= 113-<2048 2017  31>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 114-<2240 2237   3>,  	 G2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 115-<2360 2417 -57>,  	 A2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(80)
printNotes: i= 116-<2023 2017   6>,  	 F2 -- 1/16th..( 57) <      > 	V 59 - M 57	= +2  %+3  	q= +2  %+3  	 0.337(80)
printNotes: i= 117-<1806 2237 -431>,  	 G2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(80)
printNotes: i= 118-<1960 2017 -57>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 28	= +2  %+7  	q= -2  %-7  	 0.168(80)


silence
printNotes: i= 119-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 79 - M104	=-25  %-32  	q=+14  %+18  	 0.453(80)<-----%32   %18

printNotes: i= 120-<1732 1725   7>,  	 D2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(80)
printNotes: i= 121-<2027 2017  10>,  	 F2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 122-<2236 2237  -1>,  	 G2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 123-<2428 2417  11>,  	 A2 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(80)
printNotes: i= 124-<2648 2717 -69>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 125-<2425 2417   8>,  	 A2 --   1/4th.(194) <-1*sela> 	V167 - M194	=-27  %-16  	q=-27  %-16  	 0.964(80)
printNotes: i= 126-<2520 2517   3>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 127-<2105 2237 -132>,  	 G2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(80)
printNotes: i= 128-<2487 2517 -30>,  	Bb2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(80)
printNotes: i= 129-<2417 2417    >,  	 A2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 130-<2607 2717 -110>,  	 C3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(80)
printNotes: i= 131-<2241 2237   4>,  	 G2 --    1/4th(129) <1*sela> 	V150 - M129	=+21  %+14  	q=+21  %+14  	 0.865(80)
printNotes: i= 132-<2472 2517 -45>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 133-<2242 2237   5>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(80)
printNotes: i= 134-<2019 2017   2>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 135-<2248 2237  11>,  	 G2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(80)
printNotes: i= 136-<2326 2417 -91>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 137-<1967 1916  51>,  	 E2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 138-<2021 2017   4>,  	 F2 --  1/8th..(113) <      > 	V118 - M113	= +5  %+4  	q= +5  %+4  	 0.679(80)
printNotes: i= 139-<2183 2237 -54>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 140-<2016 2017  -1>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 141-<1895 1916 -21>,  	 E2 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(80)
printNotes: i= 142-<2000 2017 -17>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 28	= +2  %+7  	q= -2  %-7  	 0.168(80)
printNotes: i= 143-<2159 2237 -78>,  	 G2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(80)
printNotes: i= 144-<1930 1916  14>,  	 E2 --    1/4th(129) <1*sela> 	V158 - M129	=+29  %+18  	q=+29  %+18  	 0.911(80)
printNotes: i= 145-<1706 1725 -19>,  	 D2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(80)
printNotes: i= 146-<1898 1916 -18>,  	 E2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 147-<1955 2017 -62>,  	 F2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
printNotes: i= 148-<1745 1725  20>,  	 D2 --   1/4th.(194) <-1*sela> 	V173 - M194	=-21  %-12  	q=-21  %-12  	 0.998(80)


silence
printNotes: i= 149-<   0   40 -40>,  	Slc --     half(259) <      > 	V260 - M265	= -5  %-2  	q= +1  %+0  	 1.503(80)
printNotes: i= 150-<1553 1521  32>,  	 C2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
printNotes: i= 151-<1717 1725  -8>,  	 D2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 152-<2287 2417 -130>,  	 A2 --  1/8th..(113) <      > 	V105 - M113	= -8  %-8  	q= -8  %-8  	 0.604(80)
printNotes: i= 153-<2061 2237 -176>,  	 G2 --    1/4th(129) <1*sela> 	V154 - M129	=+25  %+16  	q=+25  %+16  	 0.888(80)
printNotes: i= 154-<   0 2017 -2017>,  	 F2 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(80)
printNotes: i= 155-< 948 2237 -1289>,  	 G2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 156-< 536 2017 -1481>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 157-<1923 1916   7>,  	 E2 --  1/8th..(113) <      > 	V111 - M113	= -2  %-2  	q= -2  %-2  	 0.639(80)
printNotes: i= 158-<2019 2017   2>,  	 F2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(80)
printNotes: i= 159-<1917 1916   1>,  	 E2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(80)


silence
printNotes: i= 160-<   0   40 -40>,  	Slc --    1/4th(129) <      > 	V135 - M136	= -1  %-1  	q= +6  %+4  	 0.778(80)
printNotes: i= 161-<1573 1521  52>,  	 C2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(80)
printNotes: i= 162-<1542 1725 -183>,  	 D2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 163-<1872 1916 -44>,  	 E2 --  1/16th.( 49) <      > 	V 44 - M 49	= -5  %-11  	q= -5  %-11  	 0.250(80)
printNotes: i= 164-<2212 2237 -25>,  	 G2 --    1/8th( 65) <      > 	V 76 - M 65	=+11  %+14  	q=+11  %+14  	 0.435(80)
printNotes: i= 165-<2016 2017  -1>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 166-<1922 1916   6>,  	 E2 --   1/8th.( 97) <      > 	V104 - M 97	= +7  %+7  	q= +7  %+7  	 0.598(80)
printNotes: i= 167-<1705 1725 -20>,  	 D2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 168-<1514 1521  -7>,  	 C2 --  1/8th..(113) <      > 	V120 - M113	= +7  %+6  	q= +7  %+6  	 0.691(80)
printNotes: i= 169-<1724 1725  -1>,  	 D2 --   1/8th.( 97) <      > 	V 87 - M 97	=-10  %-11  	q=-10  %-11  	 0.499(80)


silence
printNotes: i= 170-<   0   40 -40>,  	Slc --  1/16th.( 49) <      > 	V 47 - M 70	=-23  %-49  	q= -2  %-4  	 0.267(80)<-----%49   %4

