	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2500 2496   4>,  	Bb2 --   1/4th.(171) <      > 	V165 - M171	= -6  %-4  	q= -6  %-4  	 0.952(91)
printNotes: i= 42-<2426 2413  13>,  	 A2 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(91)
printNotes: i= 43-<1875 2496 -621>,  	Bb2 --    1/8th( 57) <      > 	V 68 - M 57	=+11  %+16  	q=+11  %+16  	 0.389(91)


silence
printNotes: i= 44-<   0   40 -40>,  	Slc --    1/4th(114) <1*sela> 	V139 - M171	=-32  %-23  	q=+25  %+18  	 0.801(91)<-----%23   %18

printNotes: i= 45-<1834 1711 123>,  	 D2 -- 1/32nd..( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(91)
printNotes: i= 46-<2424 2496 -72>,  	Bb2 --    1/8th( 57) <      > 	V 70 - M 57	=+13  %+19  	q=+13  %+19  	 0.401(91)
printNotes: i= 47-<2404 2413  -9>,  	 A2 --    1/8th( 57) <      > 	V 55 - M 57	= -2  %-4  	q= -2  %-4  	 0.313(91)
printNotes: i= 48-<2467 2496 -29>,  	Bb2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(91)
printNotes: i= 49-<2416 2413   3>,  	 A2 --  1/16th.( 43) <      > 	V 37 - M 43	= -6  %-16  	q= -6  %-16  	 0.209(91)
printNotes: i= 50-<2490 2496  -6>,  	Bb2 --  1/16th.( 43) <      > 	V 42 - M 43	= -1  %-2  	q= -1  %-2  	 0.238(91)
printNotes: i= 51-<2431 2413  18>,  	 A2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(91)
printNotes: i= 52-<1960 2691 -731>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(91)
printNotes: i= 53-<2413 2413    >,  	 A2 --  1/32nd.( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(91)
printNotes: i= 54-<1789 2691 -902>,  	 C3 --  128th..(  6) <      > 	V  6 - M  5	= +1  %+17  	q=  +  %+0  	 0.029(91)
printNotes: i= 55-<2422 2413   9>,  	 A2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(91)
printNotes: i= 56-<1700 2586 -886>,  	 B2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(91)
