	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2260 2217  43>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 42-<2408 2402   6>,  	 A2 --    1/8th( 62) <      > 	V 65 - M 62	= +3  %+5  	q= +3  %+5  	 0.372(83)
printNotes: i= 43-<1392 2217 -825>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 44-<2334 2402 -68>,  	 A2 --    half.(372) <      > 	V369 - M372	= -3  %-1  	q= -3  %-1  	 2.136(83)


silence
printNotes: i= 45-<   0   40 -40>,  	Slc --   half..(434) <-1*sela> 	V410 - M372	=+38  %+9  	q=-24  %-6  	 2.374(83)<-----%9   %6

printNotes: i= 46-<1835 1939 -104>,  	 E2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 47-<2014 2217 -203>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 48-<2381 2402 -21>,  	 A2 --     half(248) <2*sela> 	V283 - M248	=+35  %+12  	q=+35  %+12  	 1.637(83)
printNotes: i= 49-<2573 2680 -107>,  	 C3 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(83)
printNotes: i= 50-<1917 2402 -485>,  	 A2 --   1/8th.( 93) <      > 	V 83 - M 93	=-10  %-12  	q=-10  %-12  	 0.476(83)


silence
printNotes: i= 51-<   0   40 -40>,  	Slc --  1/16th.( 47) <      > 	V 43 - M 47	= -4  %-9  	q= -4  %-9  	 0.244(83)
printNotes: i= 52-<1792 1739  53>,  	 D2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)
printNotes: i= 53-<2441 2480 -39>,  	Bb2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 54-<2395 2402  -7>,  	 A2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 55-<2487 2480   7>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(83)
printNotes: i= 56-<2413 2402  11>,  	 A2 -- 1/32nd..( 27) <      > 	V 25 - M 23	= +2  %+8  	q= -2  %-8  	 0.139(83)
printNotes: i= 57-<1942 2217 -275>,  	 G2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 58-<1820 2039 -219>,  	 F2 --    1/4th(124) <      > 	V128 - M124	= +4  %+3  	q= +4  %+3  	 0.737(83)
printNotes: i= 59-<2220 2217   3>,  	 G2 --   1/4th.(186) <-1*sela> 	V160 - M186	=-26  %-16  	q=-26  %-16  	 0.923(83)


silence
printNotes: i= 60-<   0   40 -40>,  	Slc --  128th..(  7) <      > 	V  7 - M 62	=-55  %-786  	q=  +  %+0  	 0.035(83)<-----%786   %0 <<

printNotes: i= 61-<1879 2039 -160>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)
printNotes: i= 62-<2338 2402 -64>,  	 A2 --  1/8th..(109) <      > 	V107 - M109	= -2  %-2  	q= -2  %-2  	 0.615(83)
printNotes: i= 63-<2432 2680 -248>,  	 C3 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(83)
printNotes: i= 64-<2338 2217 121>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(83)
printNotes: i= 65-<2406 2402   4>,  	 A2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(83)
printNotes: i= 66-<2487 2480   7>,  	Bb2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 67-<2433 2402  31>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 68-<2647 2680 -33>,  	 C3 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(83)
printNotes: i= 69-<2398 2402  -4>,  	 A2 --    1/8th( 62) <      > 	V 66 - M 62	= +4  %+6  	q= +4  %+6  	 0.377(83)
printNotes: i= 70-<2480 2480    >,  	Bb2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(83)
printNotes: i= 71-<2239 2217  22>,  	 G2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 72-<2472 2480  -8>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(83)
printNotes: i= 73-<2393 2402  -9>,  	 A2 --  1/16th.( 47) <      > 	V 45 - M 47	= -2  %-4  	q= -2  %-4  	 0.255(83)


silence
printNotes: i= 74-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(83)
printNotes: i= 75-<2406 2402   4>,  	 A2 --  1/8th..(109) <      > 	V113 - M109	= +4  %+4  	q= +4  %+4  	 0.650(83)
