	voice Midi Diff								present		 Best		Sec

printNotes: i= 39-<2097 2104  -7>,  	 G2 --    1/8th( 65) <      > 	V 62 - M 65	= -3  %-5  	q= -3  %-5  	 0.354(80)
printNotes: i= 40-<1937 1878  59>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 41-<1736 1744  -8>,  	Ek2 --   1/4th.(194) <      > 	V202 - M259	=-57  %-28  	q= +8  %+4  	 1.167(80)<-----%28   %4

printNotes: i= 42-<1870 1878  -8>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 16	=+12  %+43  	q=  +  %+0  	 0.157(80)<-----%43   %0

printNotes: i= 43-<1992 2104 -112>,  	 G2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(80)<-----%167   %0 <<

printNotes: i= 44-<1906 1878  28>,  	 F2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(80)
printNotes: i= 45-<2066 2104 -38>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(80)<-----%33   %0 <<

printNotes: i= 46-<1731 1744 -13>,  	Ek2 --   1/8th.( 97) <      > 	V104 - M130	=-26  %-25  	q= +7  %+7  	 0.598(80)<-----%25   %7

printNotes: i= 47-<1848 1878 -30>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(80)<-----%47   %7

printNotes: i= 48-<1982 2104 -122>,  	 G2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(80)<-----%167   %0 <<

printNotes: i= 49-<1862 1878 -16>,  	 F2 --  1/32nd.( 24) <      > 	V 25 - M 16	= +9  %+36  	q= +1  %+4  	 0.139(80)<-----%36   %4

printNotes: i= 50-<1962 2104 -142>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(80)<-----%60   %20 <<

printNotes: i= 51-<1765 1744  21>,  	Ek2 --    1/8th( 65) <      > 	V 79 - M 32	=+47  %+59  	q=+14  %+18  	 0.453(80)<-----%59   %18



silence
printNotes: i= 52-<   0   40 -40>,  	Slc --  1/8th..(113) <      > 	V115 - M130	=-15  %-13  	q= +2  %+2  	 0.662(80)<-----%13   %2

printNotes: i= 53-<1662 1744 -82>,  	Ek2 --  1/16th.( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(80)
printNotes: i= 54-<1665 1878 -213>,  	 F2 --   1/16th( 32) <      > 	V 35 - M 16	=+19  %+54  	q= +3  %+9  	 0.197(80)<-----%54   %9

printNotes: i= 55-<1464 2104 -640>,  	 G2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(80)<-----%300   %0 <<

printNotes: i= 56-<1887 1878   9>,  	 F2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(80)<-----%52   %14

printNotes: i= 57-<2088 2104 -16>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 58-<2150 2241 -91>,  	Ak2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(80)<-----%129   %0 <<

printNotes: i= 59-<2079 2104 -25>,  	 G2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(80)<-----%39   %4

printNotes: i= 60-<1905 1878  27>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(80)<-----%78   %11

printNotes: i= 61-<2106 2104   2>,  	 G2 --   1/16th( 32) <      > 	V 33 - M 16	=+17  %+52  	q= +1  %+3  	 0.186(80)<-----%52   %3

printNotes: i= 62-<2183 2241 -58>,  	Ak2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(80)<-----%60   %20 <<

printNotes: i= 63-<1898 1878  20>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 64-<2105 2104   1>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 65-<1869 1878  -9>,  	 F2 --  1/8th..(113) <      > 	V105 - M 65	=+40  %+38  	q= -8  %-8  	 0.604(80)<-----%38   %8

