	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2184 2192  -8>,  	Ak2 --  1/32nd.( 22) <      > 	V 19 - M 30	=-11  %-58  	q= -3  %-16  	 0.104(87)<-----%58   %16

printNotes: i= 39-<2361 2398 -37>,  	Bk2 --     half(237) <2*sela> 	V280 - M356	=-76  %-27  	q=+43  %+15  	 1.620(87)<-----%27   %15

printNotes: i= 40-<2530 2560 -30>,  	 C3 --  1/8th..(104) <      > 	V100 - M 59	=+41  %+41  	q= -4  %-4  	 0.575(87)<-----%41   %4



silence
printNotes: i= 41-<   0   40 -40>,  	Slc --    half.(356) <-2*sela> 	V324 - M416	=-92  %-28  	q=-32  %-10  	 1.875(87)<-----%28   %10

printNotes: i= 42-<1294 2398 -1104>,  	Bk2 --  1/16th.( 45) <      > 	V 42 - M 45	= -3  %-7  	q= -3  %-7  	 0.238(87)
printNotes: i= 43-< 870 2192 -1322>,  	Ak2 --  1/16th.( 45) <      > 	V 42 - M 30	=+12  %+29  	q= -3  %-7  	 0.238(87)<-----%29   %7

printNotes: i= 44-<2304 2398 -94>,  	Bk2 --  1/8th..(104) <      > 	V102 - M119	=-17  %-17  	q= -2  %-2  	 0.586(87)<-----%17   %2

printNotes: i= 45-<2043 2192 -149>,  	Ak2 -- 1/16th..( 52) <      > 	V 54 - M 59	= -5  %-9  	q= +2  %+4  	 0.308(87)<-----%9   %4

printNotes: i= 46-<1516 2078 -562>,  	 G2 --  1/16th.( 45) <      > 	V 48 - M 30	=+18  %+38  	q= +3  %+6  	 0.273(87)<-----%38   %6

printNotes: i= 47-<2414 2398  16>,  	Bk2 --    1/4th(119) <      > 	V130 - M178	=-48  %-37  	q=+11  %+8  	 0.749(87)<-----%37   %8



silence
printNotes: i= 48-<   0   40 -40>,  	Slc --  1/4th..(208) <      > 	V204 - M198	= +6  %+3  	q= -4  %-2  	 1.178(87)
printNotes: i= 49-<1914 2398 -484>,  	Bk2 --   1/8th.( 89) <      > 	V 79 - M 40	=+39  %+49  	q=-10  %-13  	 0.453(87)<-----%49   %13

printNotes: i= 50-<2395 2398  -3>,  	Bk2 --   1/4th.(178) <      > 	V178 - M178	=  +  %+0  	q=  +  %+0  	 1.027(87)<-- same note
printNotes: i= 51-<2161 2192 -31>,  	Ak2 -- 1/16th..( 52) <      > 	V 54 - M 59	= -5  %-9  	q= +2  %+4  	 0.308(87)<-----%9   %4

printNotes: i= 52-<1994 2398 -404>,  	Bk2 --    1/8th( 59) <      > 	V 68 - M 59	= +9  %+13  	q= +9  %+13  	 0.389(87)
printNotes: i= 53-<2536 2560 -24>,  	 C3 --  1/32nd.( 22) <      > 	V 19 - M 30	=-11  %-58  	q= -3  %-16  	 0.104(87)<-----%58   %16

printNotes: i= 54-<2476 2398  78>,  	Bk2 --    128th(  4) <      > 	V  4 - M 30	=-26  %-650  	q=  +  %+0  	 0.017(87)<-----%650   %0 <<

printNotes: i= 55-<2553 2560  -7>,  	 C3 --   1/4th.(178) <-1*sela> 	V160 - M237	=-77  %-48  	q=-18  %-11  	 0.923(87)<-----%48   %11

printNotes: i= 56-<2430 2398  32>,  	Bk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 57-<2544 2560 -16>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 58-<2394 2398  -4>,  	Bk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 59-<2603 2560  43>,  	 C3 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(87)<-----%88   %38 <<

printNotes: i= 60-<2390 2398  -8>,  	Bk2 --  1/32nd.( 22) <      > 	V 22 - M 15	= +7  %+32  	q=  +  %+0  	 0.122(87)<-----%32   %0

printNotes: i= 61-<2470 2560 -90>,  	 C3 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(87)<-----%400   %33 <<

printNotes: i= 62-<2374 2398 -24>,  	Bk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 63-<2216 2192  24>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 64-<2353 2398 -45>,  	Bk2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(87)<-----%67   %22 <<

printNotes: i= 65-<2209 2192  17>,  	Ak2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(87)<-----%21   %16

printNotes: i= 66-<2360 2398 -38>,  	Bk2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(87)<-----%88   %38 <<

printNotes: i= 67-<2238 2192  46>,  	Ak2 --  1/32nd.( 22) <      > 	V 23 - M 30	= -7  %-30  	q= +1  %+4  	 0.128(87)<-----%30   %4

printNotes: i= 68-<2089 2078  11>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 69-<2165 2192 -27>,  	Ak2 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(87)<-----%114   %0 <<

printNotes: i= 70-<2073 2078  -5>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(87)<-----%88   %6 <<

printNotes: i= 71-<2195 2192   3>,  	Ak2 --   1/4th.(178) <-1*sela> 	V150 - M119	=+31  %+21  	q=-28  %-19  	 0.865(87)
printNotes: i= 72-<2109 2078  31>,  	 G2 --   1/16th( 30) <      > 	V 31 - M 59	=-28  %-90  	q= +1  %+3  	 0.174(87)<-----%90   %3



silence
printNotes: i= 73-<   0   40 -40>,  	Slc --   whole.(712) <-3*sela> 	V655 - M772	=-117  %-18  	q=-57  %-9  	 3.796(87)<-----%18   %9

printNotes: i= 74-<1859 2398 -539>,  	Bk2 --   1/8th.( 89) <      > 	V 75 - M 59	=+16  %+21  	q=-14  %-19  	 0.430(87)
printNotes: i= 75-<2526 2560 -34>,  	 C3 --  1/16th.( 45) <      > 	V 38 - M 30	= +8  %+21  	q= -7  %-18  	 0.215(87)
printNotes: i= 76-<2806 2787  19>,  	 D3 --    1/4th(119) <1*sela> 	V143 - M178	=-35  %-24  	q=+24  %+17  	 0.824(87)<-----%24   %17

printNotes: i= 77-<2346 2560 -214>,  	 C3 --    1/8th( 59) <      > 	V 59 - M 45	=+14  %+24  	q=  +  %+0  	 0.337(87)<-----%24   %0

printNotes: i= 78-<2554 2560  -6>,  	 C3 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)<-- same note
printNotes: i= 79-<2394 2398  -4>,  	Bk2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(87)<-----%114   %7 <<

printNotes: i= 80-<2332 2560 -228>,  	 C3 --    1/4th(119) <      > 	V116 - M 30	=+86  %+74  	q= -3  %-3  	 0.668(87)<-----%74   %3



silence
printNotes: i= 81-<   0   40 -40>,  	Slc --  1/4th..(208) <      > 	V212 - M208	= +4  %+2  	q= +4  %+2  	 1.225(87)
printNotes: i= 82-<2278 2398 -120>,  	Bk2 -- 1/16th..( 52) <      > 	V 54 - M 59	= -5  %-9  	q= +2  %+4  	 0.308(87)<-----%9   %4

