	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1698 1704  -6>,  	Ek2 -- 1/64th..( 13) <      > 	V 14 - M 12	= +2  %+14  	q= +1  %+7  	 0.075(86)
printNotes: i= 39-<1735 1835 -100>,  	 F2 --    128th(  4) <      > 	V  4 - M 12	= -8  %-200  	q=  +  %+0  	 0.017(86)<-----%200   %0 <<

printNotes: i= 40-<1692 1704 -12>,  	Ek2 --  1/16th.( 45) <      > 	V 39 - M 24	=+15  %+38  	q= -6  %-15  	 0.221(86)<-----%38   %15

printNotes: i= 41-<1618 1554  64>,  	 D2 -- 1/64th..( 13) <      > 	V 13 - M 24	=-11  %-85  	q=  +  %+0  	 0.070(86)<-----%85   %0 <<

printNotes: i= 42-<1784 1704  80>,  	Ek2 --   1/8th.( 90) <      > 	V 80 - M 30	=+50  %+62  	q=-10  %-12  	 0.459(86)<-----%62   %12



silence
printNotes: i= 43-<   0   40 -40>,  	Slc --   1/4th.(181) <-1*sela> 	V158 - M211	=-53  %-34  	q=-23  %-15  	 0.911(86)<-----%34   %15

printNotes: i= 44-<1700 1704  -4>,  	Ek2 --   1/16th( 30) <      > 	V 36 - M 20	=+16  %+44  	q= +6  %+17  	 0.203(86)<-----%44   %17

printNotes: i= 45-<1598 1554  44>,  	 D2 -- 1/64th..( 13) <      > 	V 14 - M 20	= -6  %-43  	q= +1  %+7  	 0.075(86)<-----%43   %7 <<

printNotes: i= 46-<1669 1704 -35>,  	Ek2 --   1/16th( 30) <      > 	V 34 - M 20	=+14  %+41  	q= +4  %+12  	 0.192(86)<-----%41   %12

printNotes: i= 47-<1629 1554  75>,  	 D2 --   1/32nd( 15) <      > 	V 17 - M 20	= -3  %-18  	q= +2  %+12  	 0.093(86)<-----%18   %12

printNotes: i= 48-<1563 1704 -141>,  	Ek2 --   1/8th.( 90) <      > 	V 93 - M 40	=+53  %+57  	q= +3  %+3  	 0.534(86)<-----%57   %3

printNotes: i= 49-< 805 1354 -549>,  	 C2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 50-<1340 1354 -14>,  	 C2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-- same note<-----%20   %4

printNotes: i= 51-<1721 1704  17>,  	Ek2 --     half(241) <1*sela> 	V257 - M211	=+46  %+18  	q=+16  %+6  	 1.486(86)<-----%18   %6



silence
printNotes: i= 52-<   0   40 -40>,  	Slc --    whole(482) <1*sela> 	V498 - M452	=+46  %+9  	q=+16  %+3  	 2.885(86)<-----%9   %3

printNotes: i= 53-<1610 1704 -94>,  	Ek2 --  1/16th.( 45) <      > 	V 42 - M 40	= +2  %+5  	q= -3  %-7  	 0.238(86)
printNotes: i= 54-<1848 1835  13>,  	 F2 --  1/32nd.( 23) <      > 	V 23 - M 40	=-17  %-74  	q=  +  %+0  	 0.128(86)<-----%74   %0

printNotes: i= 55-<2047 2083 -36>,  	 G2 -- 1/16th..( 53) <      > 	V 52 - M 40	=+12  %+23  	q= -1  %-2  	 0.296(86)<-----%23   %2

printNotes: i= 56-<2160 2207 -47>,  	Ak2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(86)<-----%30   %0

printNotes: i= 57-<2102 2083  19>,  	 G2 --  1/16th.( 45) <      > 	V 40 - M 30	=+10  %+25  	q= -5  %-12  	 0.226(86)<-----%25   %12

printNotes: i= 58-<2201 2207  -6>,  	Ak2 --  1/64th.( 11) <      > 	V 10 - M 30	=-20  %-200  	q= -1  %-10  	 0.052(86)<-----%200   %10 <<

printNotes: i= 59-<2342 2382 -40>,  	Bk2 --  1/32nd.( 23) <      > 	V 19 - M 30	=-11  %-58  	q= -4  %-21  	 0.104(86)<-----%58   %21

printNotes: i= 60-<2079 2083  -4>,  	 G2 --    1/8th( 60) <      > 	V 58 - M 69	=-11  %-19  	q= -2  %-3  	 0.331(86)<-----%19   %3

printNotes: i= 61-<2202 2207  -5>,  	Ak2 --   1/16th( 30) <      > 	V 35 - M 52	=-17  %-49  	q= +5  %+14  	 0.197(86)<-----%49   %14

printNotes: i= 62-<2084 2083   1>,  	 G2 --  1/4th..(211) <      > 	V220 - M241	=-21  %-10  	q= +9  %+4  	 1.271(86)<-----%10   %4

printNotes: i= 63-<1818 1835 -17>,  	 F2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 64-<1716 1704  12>,  	Ek2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(86)<-----%100   %0 <<

printNotes: i= 65-<1832 1835  -3>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(86)<-----%43   %10

printNotes: i= 66-<2086 2083   3>,  	 G2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(86)
printNotes: i= 67-<1851 1835  16>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 12	= +3  %+20  	q=  +  %+0  	 0.081(86)<-----%20   %0 <<

printNotes: i= 68-<1946 2083 -137>,  	 G2 --  1/64th.( 11) <      > 	V  9 - M 12	= -3  %-33  	q= -2  %-22  	 0.046(86)
printNotes: i= 69-<1844 1835   9>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 24	= +3  %+11  	q= +1  %+4  	 0.151(86)<-----%11   %4

