	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<   0   40 -40>,  	Slc --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(98)
printNotes: i= 42-<2510 2572 -62>,  	 G2 --    1/8th( 53) <      > 	V 54 - M 53	= +1  %+2  	q= +1  %+2  	 0.308(98)
printNotes: i= 43-<2199 2364 -165>,  	 F2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(98)
printNotes: i= 44-<2492 2572 -80>,  	 G2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(98)
printNotes: i= 45-<2373 2364   9>,  	 F2 --  1/32nd.( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(98)


silence
printNotes: i= 46-<2331   40 2291>,  	Slc --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(98)
printNotes: i= 47-<2378 2364  14>,  	 F2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(98)
printNotes: i= 48-<2215 2206   9>,  	Ek2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(98)
printNotes: i= 49-<2372 2364   8>,  	 F2 --  1/8th..( 93) <      > 	V 93 - M 93	=  +  %+0  	q=  +  %+0  	 0.534(98)
printNotes: i= 50-<2595 2572  23>,  	 G2 --   1/16th( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(98)
printNotes: i= 51-<2132 2364 -232>,  	 F2 --   1/8th.( 79) <      > 	V 77 - M 79	= -2  %-3  	q= -2  %-3  	 0.441(98)
printNotes: i= 52-<2231 2206  25>,  	Ek2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(98)
printNotes: i= 53-<2334 2364 -30>,  	 F2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(98)
printNotes: i= 54-<2189 2206 -17>,  	Ek2 --  1/32nd.( 20) <      > 	V 17 - M 20	= -3  %-18  	q= -3  %-18  	 0.093(98)
printNotes: i= 55-<2364 2364    >,  	 F2 --  1/32nd.( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(98)
printNotes: i= 56-<2208 2206   2>,  	Ek2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(98)


silence
printNotes: i= 57-<2193   40 2153>,  	Slc --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(98)
printNotes: i= 58-<2191 2206 -15>,  	Ek2 --    1/8th( 53) <      > 	V 53 - M 53	=  +  %+0  	q=  +  %+0  	 0.302(98)
printNotes: i= 59-<2204 2206  -2>,  	Ek2 --    1/8th( 53) <      > 	V 53 - M 53	=  +  %+0  	q=  +  %+0  	 0.302(98)<-- same note
printNotes: i= 60-<2108 2081  27>,  	 D2 --   1/16th( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(98)
printNotes: i= 61-<2201 2206  -5>,  	Ek2 --   1/8th.( 79) <      > 	V 79 - M 79	=  +  %+0  	q=  +  %+0  	 0.453(98)


silence
printNotes: i= 62-<   0   40 -40>,  	Slc --     half(212) <2*sela> 	V244 - M291	=-47  %-19  	q=+32  %+13  	 1.411(98)<-----%19   %13

printNotes: i= 63-<1707 1564 143>,  	 A1 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(98)
printNotes: i= 64-<2042 2081 -39>,  	 D2 --  1/16th.( 40) <      > 	V 35 - M 40	= -5  %-14  	q= -5  %-14  	 0.197(98)
printNotes: i= 65-<2542 2572 -30>,  	 G2 -- 1/16th..( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(98)
printNotes: i= 66-< 928 1864 -936>,  	 C2 --  1/16th.( 40) <      > 	V 33 - M 26	= +7  %+21  	q= -7  %-21  	 0.186(98)
printNotes: i= 67-<2352 2364 -12>,  	 F2 --  1/4th..(185) <      > 	V177 - M185	= -8  %-5  	q= -8  %-5  	 1.022(98)
printNotes: i= 68-<2203 2206  -3>,  	Ek2 --   1/16th( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(98)
printNotes: i= 69-<1928 1864  64>,  	 C2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(98)


silence
printNotes: i= 70-< 157   40 117>,  	Slc -- 1/64th..( 12) <      > 	V 12 - M 13	= -1  %-8  	q=  +  %+0  	 0.064(98)
printNotes: i= 71-<1660 1864 -204>,  	 C2 --  1/64th.( 10) <      > 	V  8 - M 10	= -2  %-25  	q= -2  %-25  	 0.041(98)
printNotes: i= 72-<2121 2081  40>,  	 D2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(98)
printNotes: i= 73-<2551 2572 -21>,  	 G2 --   1/8th.( 79) <      > 	V 73 - M 79	= -6  %-8  	q= -6  %-8  	 0.418(98)
printNotes: i= 74-<2356 2364  -8>,  	 F2 --     half(212) <3*sela> 	V251 - M212	=+39  %+16  	q=+39  %+16  	 1.451(98)


silence
printNotes: i= 75-<   0   40 -40>,  	Slc --   1/16th( 26) <      > 	V 31 - M 26	= +5  %+16  	q= +5  %+16  	 0.174(98)
printNotes: i= 76-<2147 2081  66>,  	 D2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(98)
printNotes: i= 77-<2573 2572   1>,  	 G2 --    1/8th( 53) <      > 	V 62 - M 53	= +9  %+15  	q= +9  %+15  	 0.354(98)
printNotes: i= 78-<2380 2364  16>,  	 F2 --  1/4th..(185) <      > 	V177 - M185	= -8  %-5  	q= -8  %-5  	 1.022(98)
printNotes: i= 79-<2208 2206   2>,  	Ek2 --   1/16th( 26) <      > 	V 25 - M 23	= +2  %+8  	q= -1  %-4  	 0.139(98)
printNotes: i= 80-<2082 2081   1>,  	 D2 --   1/8th.( 79) <-1*sela> 	V 66 - M 79	=-13  %-20  	q=-13  %-20  	 0.377(98)


silence
printNotes: i= 81-<1272   40 1232>,  	Slc --    128th(  3) <      > 	V  3 - M  3	=  +  %+0  	q=  +  %+0  	 0.012(98)
printNotes: i= 82-<1126 1864 -738>,  	 C2 -- 1/16th..( 46) <      > 	V 47 - M 46	= +1  %+2  	q= +1  %+2  	 0.267(98)
printNotes: i= 83-<2543 2572 -29>,  	 G2 --    1/8th( 53) <      > 	V 62 - M 53	= +9  %+15  	q= +9  %+15  	 0.354(98)
printNotes: i= 84-<2353 2364 -11>,  	 F2 --  1/16th.( 40) <      > 	V 38 - M 40	= -2  %-5  	q= -2  %-5  	 0.215(98)
printNotes: i= 85-<2564 2572  -8>,  	 G2 --  1/16th.( 40) <      > 	V 35 - M 40	= -5  %-14  	q= -5  %-14  	 0.197(98)
printNotes: i= 86-<2356 2364  -8>,  	 F2 --   1/4th.(159) <-1*sela> 	V145 - M159	=-14  %-10  	q=-14  %-10  	 0.836(98)
printNotes: i= 87-<2229 2206  23>,  	Ek2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(98)
printNotes: i= 88-<2331 2364 -33>,  	 F2 --  1/64th.( 10) <      > 	V  8 - M 10	= -2  %-25  	q= -2  %-25  	 0.041(98)


silence
printNotes: i= 89-<2379   40 2339>,  	Slc --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(98)
