	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2553 2556  -3>,  	 G2 --   1/8th.( 88) <      > 	V 82 - M 88	= -6  %-7  	q= -6  %-7  	 0.470(89)
printNotes: i= 42-<1991 2354 -363>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(89)
printNotes: i= 43-<2682 2746 -64>,  	 A2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(89)
printNotes: i= 44-<2555 2556  -1>,  	 G2 --  1/16th.( 44) <      > 	V 46 - M 44	= +2  %+4  	q= +2  %+4  	 0.261(89)
printNotes: i= 45-<2718 2746 -28>,  	 A2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(89)
printNotes: i= 46-<2568 2556  12>,  	 G2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(89)
printNotes: i= 47-<2723 2746 -23>,  	 A2 --  1/16th.( 44) <      > 	V 43 - M 44	= -1  %-2  	q= -1  %-2  	 0.244(89)
printNotes: i= 48-<2249 2556 -307>,  	 G2 --  1/8th..(102) <      > 	V102 - M102	=  +  %+0  	q=  +  %+0  	 0.586(89)
printNotes: i= 49-<1797 2354 -557>,  	 F2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)
printNotes: i= 50-<1494 2556 -1062>,  	 G2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(89)
printNotes: i= 51-<2385 2354  31>,  	 F2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(89)
printNotes: i= 52-<2567 2556  11>,  	 G2 -- 1/16th..( 51) <      > 	V 54 - M 51	= +3  %+6  	q= +3  %+6  	 0.308(89)
printNotes: i= 53-<2214 2354 -140>,  	 F2 --   1/4th.(175) <-1*sela> 	V152 - M204	=-52  %-34  	q=-23  %-15  	 0.877(89)<-----%34   %15

printNotes: i= 54-<2023 2556 -533>,  	 G2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(89)
printNotes: i= 55-<2550 2556  -6>,  	 G2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(89)<-- same note
printNotes: i= 56-<2758 2746  12>,  	 A2 --  1/4th..(204) <      > 	V195 - M175	=+20  %+10  	q= -9  %-5  	 1.126(89)<-----%10   %5

printNotes: i= 57-<2747 3008 -261>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(89)
printNotes: i= 58-<2783 2746  37>,  	 A2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)
printNotes: i= 59-<2950 3008 -58>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(89)


silence
printNotes: i= 60-<   0   40 -40>,  	Slc --    whole(467) <      > 	V477 - M590	=-113  %-24  	q=+10  %+2  	 2.763(89)<-----%24   %2

printNotes: i= 61-<1722 2066 -344>,  	 D2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(89)
printNotes: i= 62-<2610 2746 -136>,  	 A2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(89)
printNotes: i= 63-<2045 2556 -511>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 64-<2750 2746   4>,  	 A2 --   1/4th.(175) <      > 	V188 - M175	=+13  %+7  	q=+13  %+7  	 1.086(89)
printNotes: i= 65-<2799 3008 -209>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)
printNotes: i= 66-<2205 2746 -541>,  	 A2 --   1/8th.( 88) <      > 	V 88 - M 88	=  +  %+0  	q=  +  %+0  	 0.505(89)
printNotes: i= 67-<2801 2815 -14>,  	Bb2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(89)
printNotes: i= 68-<2765 2746  19>,  	 A2 --  1/4th..(204) <      > 	V192 - M175	=+17  %+9  	q=-12  %-6  	 1.109(89)


silence
printNotes: i= 69-<   0   40 -40>,  	Slc --  1/8th..(102) <      > 	V101 - M117	=-16  %-16  	q= -1  %-1  	 0.580(89)<-----%16   %1

printNotes: i= 70-<2115 2066  49>,  	 D2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(89)
printNotes: i= 71-<2335 2815 -480>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 72-<2285 2746 -461>,  	 A2 --    1/8th( 58) <      > 	V 55 - M 51	= +4  %+7  	q= -3  %-5  	 0.313(89)
printNotes: i= 73-<2796 2815 -19>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 74-<2740 2746  -6>,  	 A2 --  1/4th..(204) <      > 	V203 - M204	= -1  %-0  	q= -1  %-0  	 1.173(89)
printNotes: i= 75-<2723 2746 -23>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)<-- same note
printNotes: i= 76-<2737 2746  -9>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)<-- same note
