	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2237 2217  20>,  	Ek2 --  1/16th.( 52) <      > 	V 48 - M 52	= -4  %-8  	q= -4  %-8  	 0.273(74)
printNotes: i= 42-<2566 2586 -20>,  	 G2 --  1/32nd.( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(74)


silence
printNotes: i= 43-<   0   40 -40>,  	Slc --    whole(560) <-1*sela> 	V536 - M629	=-93  %-17  	q=-24  %-4  	 3.106(74)<-----%17   %4

printNotes: i= 44-<1991 1893  98>,  	 C2 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(74)
printNotes: i= 45-< 828 2586 -1758>,  	 G2 -- 1/32nd..( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(74)
printNotes: i= 46-<1603 2478 -875>,  	F#2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(74)
printNotes: i= 47-<2571 2586 -15>,  	 G2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i= 48-<2540 2586 -46>,  	 G2 --    1/4th(140) <      > 	V131 - M140	= -9  %-7  	q= -9  %-7  	 0.755(74)<-- same note
printNotes: i= 49-<1357 2478 -1121>,  	F#2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(74)
printNotes: i= 50-<2587 2586   1>,  	 G2 --    1/8th( 70) <1*sela> 	V 87 - M 70	=+17  %+20  	q=+17  %+20  	 0.499(74)
printNotes: i= 51-<2490 2478  12>,  	F#2 --   1/16th( 35) <      > 	V 39 - M 35	= +4  %+10  	q= +4  %+10  	 0.221(74)
printNotes: i= 52-<2581 2586  -5>,  	 G2 --   1/16th( 35) <      > 	V 40 - M 35	= +5  %+12  	q= +5  %+12  	 0.226(74)
printNotes: i= 53-<2812 2800  12>,  	 A2 --  1/32nd.( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(74)
printNotes: i= 54-<2577 2586  -9>,  	 G2 --   1/16th( 35) <      > 	V 38 - M 35	= +3  %+8  	q= +3  %+8  	 0.215(74)
