	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2135 2105  30>,  	 D2 --    1/8th( 67) <      > 	V 65 - M 67	= -2  %-3  	q= -2  %-3  	 0.372(77)


silence
printNotes: i= 42-<   0   40 -40>,  	Slc --   1/8th.(100) <      > 	V 84 - M147	=-63  %-75  	q=-16  %-19  	 0.482(77)<-----%75   %19

printNotes: i= 43-<1561 1402 159>,  	 G1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 44-<2097 2105  -8>,  	 D2 --     half(268) <      > 	V258 - M268	=-10  %-4  	q=-10  %-4  	 1.492(77)
printNotes: i= 45-<1919 1902  17>,  	 C2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 46-<2121 2105  16>,  	 D2 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(77)
printNotes: i= 47-<2247 2242   5>,  	Ek2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 48-<2103 2105  -2>,  	 D2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(77)
printNotes: i= 49-<2396 2438 -42>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 50-<2103 2105  -2>,  	 D2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)
printNotes: i= 51-<1949 1902  47>,  	 C2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 52-<2181 2242 -61>,  	Ek2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 53-<2137 2105  32>,  	 D2 -- 1/16th..( 59) <      > 	V 62 - M 59	= +3  %+5  	q= +3  %+5  	 0.354(77)
printNotes: i= 54-<2376 2438 -62>,  	 F2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 55-<2111 2105   6>,  	 D2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 56-<1922 1902  20>,  	 C2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 57-<2158 2242 -84>,  	Ek2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 58-<2111 2105   6>,  	 D2 --  1/4th..(234) <      > 	V230 - M234	= -4  %-2  	q= -4  %-2  	 1.329(77)
printNotes: i= 59-<1912 1902  10>,  	 C2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(77)
printNotes: i= 60-<2197 2242 -45>,  	Ek2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
printNotes: i= 61-<2103 2105  -2>,  	 D2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)


silence
printNotes: i= 62-<   0   40 -40>,  	Slc --     half(268) <3*sela> 	V323 - M301	=+22  %+7  	q=+55  %+17  	 1.869(77)
printNotes: i= 63-<1462 1402  60>,  	 G1 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(77)
printNotes: i= 64-<1799 1902 -103>,  	 C2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 65-<1790 1802 -12>,  	 B1 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 66-<1917 1902  15>,  	 C2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(77)
printNotes: i= 67-<2109 2105   4>,  	 D2 --    1/8th( 67) <      > 	V 64 - M 67	= -3  %-5  	q= -3  %-5  	 0.366(77)
printNotes: i= 68-<2249 2242   7>,  	Ek2 --  1/4th..(234) <      > 	V224 - M234	=-10  %-4  	q=-10  %-4  	 1.295(77)
printNotes: i= 69-<2128 2105  23>,  	 D2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 70-<2408 2438 -30>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 71-<2247 2242   5>,  	Ek2 --   1/4th.(201) <-1*sela> 	V179 - M201	=-22  %-12  	q=-22  %-12  	 1.033(77)
printNotes: i= 72-<2121 2105  16>,  	 D2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)


silence
printNotes: i= 73-< 129   40  89>,  	Slc -- 1/64th..( 15) <      > 	V 15 - M 14	= +1  %+7  	q=  +  %+0  	 0.081(77)
printNotes: i= 74-<1658 1602  56>,  	 A1 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(77)
printNotes: i= 75-<2506 2592 -86>,  	 G2 --  1/16th.( 50) <      > 	V 49 - M 50	= -1  %-2  	q= -1  %-2  	 0.279(77)
printNotes: i= 76-<2466 2438  28>,  	 F2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 77-<2594 2592   2>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 78-<2239 2242  -3>,  	Ek2 --    1/4th(134) <1*sela> 	V153 - M134	=+19  %+12  	q=+19  %+12  	 0.882(77)
printNotes: i= 79-<2107 2105   2>,  	 D2 --  1/16th.( 50) <      > 	V 47 - M 50	= -3  %-6  	q= -3  %-6  	 0.267(77)
printNotes: i= 80-<2408 2475 -67>,  	F#2 --   1/64th(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(77)


silence
printNotes: i= 81-<   0   40 -40>,  	Slc --   1/4th.(201) <-1*sela> 	V184 - M214	=-30  %-16  	q=-17  %-9  	 1.062(77)<-----%16   %9

printNotes: i= 82-<1617 1602  15>,  	 A1 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 83-<2092 2105 -13>,  	 D2 --  1/16th.( 50) <      > 	V 42 - M 33	= +9  %+21  	q= -8  %-19  	 0.238(77)
printNotes: i= 84-<2250 2242   8>,  	Ek2 --  1/16th.( 50) <      > 	V 50 - M 50	=  +  %+0  	q=  +  %+0  	 0.284(77)
printNotes: i= 85-<2443 2475 -32>,  	F#2 --  1/64th.( 13) <      > 	V 10 - M  8	= +2  %+20  	q= -3  %-30  	 0.052(77)
printNotes: i= 86-<2240 2242  -2>,  	Ek2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(77)
printNotes: i= 87-<2107 2105   2>,  	 D2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 88-<2252 2242  10>,  	Ek2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(77)
printNotes: i= 89-<2514 2475  39>,  	F#2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 90-<2573 2592 -19>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 91-<2459 2438  21>,  	 F2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 92-<1962 2592 -630>,  	 G2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
printNotes: i= 93-<   0 2438 -2438>,  	 F2 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(77)
printNotes: i= 94-<2178 2242 -64>,  	Ek2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(77)
printNotes: i= 95-<2515 2592 -77>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 96-<2457 2438  19>,  	 F2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 97-<2608 2592  16>,  	 G2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(77)
printNotes: i= 98-<2878 2892 -14>,  	Bb2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 99-<2621 2592  29>,  	 G2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(77)
printNotes: i= 100-<2466 2438  28>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 101-<2190 2592 -402>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 102-<2126 2242 -116>,  	Ek2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 103-<2104 2105  -1>,  	 D2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 104-<2243 2242   1>,  	Ek2 --     half(268) <-1*sela> 	V251 - M268	=-17  %-7  	q=-17  %-7  	 1.451(77)
printNotes: i= 105-<2129 2105  24>,  	 D2 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(77)
printNotes: i= 106-<2534 2592 -58>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)


silence
printNotes: i= 107-<   0   40 -40>,  	Slc --    1/4th(134) <      > 	V141 - M100	=+41  %+29  	q= +7  %+5  	 0.813(77)<-----%29   %5

printNotes: i= 108-<1886 1702 184>,  	Bb1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 109-<2545 2592 -47>,  	 G2 --  1/16th.( 50) <      > 	V 53 - M 50	= +3  %+6  	q= +3  %+6  	 0.302(77)
printNotes: i= 110-<2464 2475 -11>,  	F#2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(77)
printNotes: i= 111-<2626 2592  34>,  	 G2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 112-<2274 2242  32>,  	Ek2 --  1/16th.( 50) <      > 	V 44 - M 50	= -6  %-14  	q= -6  %-14  	 0.250(77)
printNotes: i= 113-<2558 2592 -34>,  	 G2 --  1/16th.( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(77)
printNotes: i= 114-<2492 2475  17>,  	F#2 --   1/4th.(201) <      > 	V213 - M201	=+12  %+6  	q=+12  %+6  	 1.231(77)
printNotes: i= 115-<2553 2592 -39>,  	 G2 --    1/8th( 67) <      > 	V 75 - M 67	= +8  %+11  	q= +8  %+11  	 0.430(77)
printNotes: i= 116-<2933 2892  41>,  	Bb2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(77)


silence
printNotes: i= 117-<1441   40 1401>,  	Slc --    128th(  4) <      > 	V  2 - M  4	= -2  %-100  	q= -2  %-100  	 0.006(77)
printNotes: i= 118-<2505 2592 -87>,  	 G2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(77)
printNotes: i= 119-<2758 2792 -34>,  	 A2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 120-<2494 2475  19>,  	F#2 --    1/8th( 67) <      > 	V 76 - M 67	= +9  %+12  	q= +9  %+12  	 0.435(77)
printNotes: i= 121-<2581 2592 -11>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 122-<2263 2242  21>,  	Ek2 --  1/16th.( 50) <      > 	V 51 - M 50	= +1  %+2  	q= +1  %+2  	 0.290(77)
printNotes: i= 123-<2574 2592 -18>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 124-<2136 2105  31>,  	 D2 --  1/16th.( 50) <      > 	V 51 - M 50	= +1  %+2  	q= +1  %+2  	 0.290(77)
printNotes: i= 125-<2244 2242   2>,  	Ek2 --     half(268) <1*sela> 	V290 - M268	=+22  %+8  	q=+22  %+8  	 1.678(77)
printNotes: i= 126-<2136 2105  31>,  	 D2 --  1/16th.( 50) <      > 	V 44 - M 50	= -6  %-14  	q= -6  %-14  	 0.250(77)
printNotes: i= 127-<1605 2475 -870>,  	F#2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 128-<2122 2242 -120>,  	Ek2 -- 1/16th..( 59) <      > 	V 58 - M 59	= -1  %-2  	q= -1  %-2  	 0.331(77)
printNotes: i= 129-<2136 2105  31>,  	 D2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(77)


silence
printNotes: i= 130-<   0   40 -40>,  	Slc --    1/8th( 67) <      > 	V 67 - M 67	=  +  %+0  	q=  +  %+0  	 0.383(77)
printNotes: i= 131-<1879 1902 -23>,  	 C2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)
printNotes: i= 132-<2217 2242 -25>,  	Ek2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(77)
printNotes: i= 133-<2115 2105  10>,  	 D2 --   1/8th.(100) <      > 	V108 - M100	= +8  %+7  	q= +8  %+7  	 0.621(77)
printNotes: i= 134-<2238 2242  -4>,  	Ek2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(77)
printNotes: i= 135-<2138 2105  33>,  	 D2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(77)
printNotes: i= 136-<2210 2242 -32>,  	Ek2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 137-<1907 1902   5>,  	 C2 --    1/4th(134) <1*sela> 	V165 - M134	=+31  %+19  	q=+31  %+19  	 0.952(77)
printNotes: i= 138-<2263 2242  21>,  	Ek2 --  1/16th.( 50) <      > 	V 42 - M 50	= -8  %-19  	q= -8  %-19  	 0.238(77)
printNotes: i= 139-<2119 2105  14>,  	 D2 -- 1/16th..( 59) <      > 	V 58 - M 59	= -1  %-2  	q= -1  %-2  	 0.331(77)
printNotes: i= 140-<2396 2475 -79>,  	F#2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
