	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2795 2789   6>,  	 A2 -- 1/16th..( 49) <      > 	V 46 - M 42	= +4  %+9  	q= -3  %-7  	 0.261(93)
printNotes: i= 42-<2865 2860   5>,  	Bb2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(93)
printNotes: i= 43-<2609 2582  27>,  	 G2 --    1/8th( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(93)
printNotes: i= 44-<3059 3053   6>,  	 C3 --    1/4th(111) <1*sela> 	V136 - M111	=+25  %+18  	q=+25  %+18  	 0.784(93)
printNotes: i= 45-<2888 2860  28>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(93)
printNotes: i= 46-<3055 3053   2>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(93)
printNotes: i= 47-<2868 2860   8>,  	Bb2 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(93)
printNotes: i= 48-<3096 3053  43>,  	 C3 -- 1/64th..( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(93)
printNotes: i= 49-<2794 2789   5>,  	 A2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(93)
printNotes: i= 50-<3053 3053    >,  	 C3 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(93)
printNotes: i= 51-<2795 2789   6>,  	 A2 --  1/16th.( 42) <      > 	V 42 - M 42	=  +  %+0  	q=  +  %+0  	 0.238(93)
printNotes: i= 52-<2938 3053 -115>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(93)
printNotes: i= 53-<2611 2582  29>,  	 G2 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(93)
printNotes: i= 54-<2865 2860   5>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(93)
printNotes: i= 55-<2580 2582  -2>,  	 G2 --  1/16th.( 42) <      > 	V 43 - M 42	= +1  %+2  	q= +1  %+2  	 0.244(93)
printNotes: i= 56-<1752 2860 -1108>,  	Bb2 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(93)
printNotes: i= 57-<2787 2789  -2>,  	 A2 --   1/8th.( 83) <      > 	V 75 - M 83	= -8  %-11  	q= -8  %-11  	 0.430(93)
printNotes: i= 58-<2600 2582  18>,  	 G2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(93)
printNotes: i= 59-<2841 2860 -19>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(93)
printNotes: i= 60-<2800 2789  11>,  	 A2 --  1/8th..( 97) <      > 	V 98 - M 97	= +1  %+1  	q= +1  %+1  	 0.563(93)
printNotes: i= 61-<1449 2860 -1411>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(93)
printNotes: i= 62-<2804 2789  15>,  	 A2 --    1/8th( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(93)


silence
printNotes: i= 63-<   0   40 -40>,  	Slc --  1/4th..(195) <      > 	V182 - M232	=-50  %-27  	q=-13  %-7  	 1.051(93)<-----%27   %7

printNotes: i= 64-<1855 1589 266>,  	 A1 --   1/16th( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(93)
printNotes: i= 65-<2763 2860 -97>,  	Bb2 --   1/8th.( 83) <      > 	V 74 - M 83	= -9  %-12  	q= -9  %-12  	 0.424(93)
printNotes: i= 66-<2789 2789    >,  	 A2 --  1/4th..(195) <      > 	V202 - M195	= +7  %+3  	q= +7  %+3  	 1.167(93)
printNotes: i= 67-<2858 2860  -2>,  	Bb2 --    1/4th(111) <      > 	V107 - M111	= -4  %-4  	q= -4  %-4  	 0.615(93)
printNotes: i= 68-<2831 2789  42>,  	 A2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(93)
printNotes: i= 69-<2346 3053 -707>,  	 C3 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(93)
printNotes: i= 70-<2780 2789  -9>,  	 A2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(93)
printNotes: i= 71-<2890 2860  30>,  	Bb2 --  1/16th.( 42) <      > 	V 38 - M 42	= -4  %-11  	q= -4  %-11  	 0.215(93)
printNotes: i= 72-<3022 3053 -31>,  	 C3 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(93)
printNotes: i= 73-<2797 2789   8>,  	 A2 --  1/16th.( 42) <      > 	V 35 - M 28	= +7  %+20  	q= -7  %-20  	 0.197(93)
printNotes: i= 74-<3020 3053 -33>,  	 C3 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(93)
printNotes: i= 75-<2795 2789   6>,  	 A2 --    1/8th( 56) <      > 	V 68 - M 56	=+12  %+18  	q=+12  %+18  	 0.389(93)
printNotes: i= 76-<2891 2860  31>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(93)
printNotes: i= 77-<2576 2582  -6>,  	 G2 -- 1/16th..( 49) <      > 	V 52 - M 49	= +3  %+6  	q= +3  %+6  	 0.296(93)
printNotes: i= 78-<2855 2860  -5>,  	Bb2 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(93)
printNotes: i= 79-<2581 2582  -1>,  	 G2 --    1/8th( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(93)
printNotes: i= 80-<2741 2789 -48>,  	 A2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(93)
printNotes: i= 81-<2472 2467   5>,  	F#2 -- 1/16th..( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(93)
printNotes: i= 82-<2617 2582  35>,  	 G2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 83-<2486 2467  19>,  	F#2 --   1/4th.(167) <      > 	V161 - M167	= -6  %-4  	q= -6  %-4  	 0.929(93)
printNotes: i= 84-<2586 2582   4>,  	 G2 --    1/8th( 56) <      > 	V 61 - M 56	= +5  %+8  	q= +5  %+8  	 0.348(93)
printNotes: i= 85-<2596 2789 -193>,  	 A2 --   1/8th.( 83) <      > 	V 81 - M 83	= -2  %-2  	q= -2  %-2  	 0.464(93)
printNotes: i= 86-<2488 2467  21>,  	F#2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 87-<2477 2582 -105>,  	 G2 --    half.(334) <-3*sela> 	V290 - M334	=-44  %-15  	q=-44  %-15  	 1.678(93)


silence
