	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2499 2458  41>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 42-<2857 2849   8>,  	Bb2 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(84)
printNotes: i= 43-<2578 2583  -5>,  	 G2 --    1/4th(122) <      > 	V132 - M122	=+10  %+8  	q=+10  %+8  	 0.760(84)
printNotes: i= 44-<2494 2458  36>,  	F#2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(84)
printNotes: i= 45-<2802 2797   5>,  	 A2 --   1/4th.(184) <-2*sela> 	V153 - M122	=+31  %+20  	q=-31  %-20  	 0.882(84)
printNotes: i= 46-<1072 2849 -1777>,  	Bb2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(84)
printNotes: i= 47-<2801 2797   4>,  	 A2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(84)
printNotes: i= 48-<2798 2797   1>,  	 A2 --    1/8th( 61) <      > 	V 61 - M 61	=  +  %+0  	q=  +  %+0  	 0.348(84)<-- same note


silence
printNotes: i= 49-<   0   40 -40>,  	Slc -- 1/64th..( 13) <      > 	V 14 - M122	=-108  %-771  	q= +1  %+7  	 0.075(84)<-----%771   %7 <<

printNotes: i= 50-<1843 1683 160>,  	Bb1 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)
printNotes: i= 51-<2522 2583 -61>,  	 G2 -- 1/16th..( 54) <      > 	V 51 - M 54	= -3  %-6  	q= -3  %-6  	 0.290(84)
printNotes: i= 52-<2484 2458  26>,  	F#2 --    1/4th(122) <      > 	V131 - M122	= +9  %+7  	q= +9  %+7  	 0.755(84)
printNotes: i= 53-<2585 2583   2>,  	 G2 --    1/8th( 61) <      > 	V 75 - M 61	=+14  %+19  	q=+14  %+19  	 0.430(84)
printNotes: i= 54-<2611 2849 -238>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 55-<2582 2583  -1>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i= 56-<2437 2458 -21>,  	F#2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(84)
printNotes: i= 57-<2596 2583  13>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 58-<2800 2849 -49>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 59-<2475 2458  17>,  	F#2 --  1/16th.( 46) <      > 	V 47 - M 46	= +1  %+2  	q= +1  %+2  	 0.267(84)
printNotes: i= 60-<2713 2797 -84>,  	 A2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(84)
printNotes: i= 61-<2472 2458  14>,  	F#2 --   1/4th.(184) <-1*sela> 	V158 - M153	= +5  %+3  	q=-26  %-16  	 0.911(84)
printNotes: i= 62-<2607 2583  24>,  	 G2 -- 1/16th..( 54) <      > 	V 53 - M 54	= -1  %-2  	q= -1  %-2  	 0.302(84)
printNotes: i= 63-<2382 3049 -667>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 64-<2470 2583 -113>,  	 G2 --  1/16th.( 46) <      > 	V 47 - M 46	= +1  %+2  	q= +1  %+2  	 0.267(84)


silence
printNotes: i= 65-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 36 - M122	=-86  %-239  	q= +5  %+14  	 0.203(84)<-----%239   %14

printNotes: i= 66-<1685 1583 102>,  	 A1 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 67-<2197 2219 -22>,  	Ek2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(84)
printNotes: i= 68-<2467 2458   9>,  	F#2 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 69-<2597 2583  14>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 70-<2462 2458   4>,  	F#2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 71-<2237 2219  18>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(84)
printNotes: i= 72-<2475 2458  17>,  	F#2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(84)
printNotes: i= 73-<2525 2583 -58>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 74-<2265 2219  46>,  	Ek2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 75-<2568 2583 -15>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 76-<2237 2219  18>,  	Ek2 -- 1/16th..( 54) <      > 	V 50 - M 46	= +4  %+8  	q= -4  %-8  	 0.284(84)
