	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2077 2094 -17>,  	F#2 --  1/32nd.( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(61)
printNotes: i= 42-<1860 1823  37>,  	Ek2 -- 1/64th..( 19) <      > 	V 20 - M 19	= +1  %+5  	q= +1  %+5  	 0.110(61)
printNotes: i= 43-<1923 2094 -171>,  	F#2 --    128th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(61)
printNotes: i= 44-<1834 1823  11>,  	Ek2 --   1/32nd( 21) <      > 	V 26 - M 32	= -6  %-23  	q= +5  %+19  	 0.145(61)<-----%23   %19

printNotes: i= 45-<1676 1703 -27>,  	 D2 --  1/64th.( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(61)
printNotes: i= 46-<1839 1823  16>,  	Ek2 -- 1/16th..( 75) <      > 	V 78 - M 75	= +3  %+4  	q= +3  %+4  	 0.447(61)
printNotes: i= 47-<2213 2203  10>,  	 G2 --  1/64th.( 16) <      > 	V 12 - M 11	= +1  %+8  	q= -4  %-33  	 0.064(61)


silence
printNotes: i= 48-<   0   40 -40>,  	Slc --     half(341) <2*sela> 	V403 - M349	=+54  %+13  	q=+62  %+15  	 2.334(61)
printNotes: i= 49-<1720 1703  17>,  	 D2 -- 1/32nd..( 37) <      > 	V 37 - M 37	=  +  %+0  	q=  +  %+0  	 0.209(61)
printNotes: i= 50-<2193 2203 -10>,  	 G2 --    1/4th(171) <1*sela> 	V195 - M171	=+24  %+12  	q=+24  %+12  	 1.126(61)
printNotes: i= 51-<2005 1994  11>,  	 F2 --  1/64th.( 16) <      > 	V 12 - M 16	= -4  %-33  	q= -4  %-33  	 0.064(61)
printNotes: i= 52-<2194 2203  -9>,  	 G2 --  1/8th..(149) <      > 	V145 - M149	= -4  %-3  	q= -4  %-3  	 0.836(61)
printNotes: i= 53-< 647 1994 -1347>,  	 F2 --   1/32nd( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(61)
printNotes: i= 54-<1991 2203 -212>,  	 G2 --    1/8th( 85) <      > 	V100 - M 85	=+15  %+15  	q=+15  %+15  	 0.575(61)
printNotes: i= 55-<2219 2203  16>,  	 G2 --    1/8th( 85) <      > 	V 85 - M 85	=  +  %+0  	q=  +  %+0  	 0.488(61)<-- same note


silence
printNotes: i= 56-<   0   40 -40>,  	Slc --   1/32nd( 21) <      > 	V 22 - M 11	=+11  %+50  	q= +1  %+5  	 0.122(61)<-----%50   %5

printNotes: i= 57-<1575 1503  72>,  	 C2 -- 1/64th..( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(61)
printNotes: i= 58-<2128 2203 -75>,  	 G2 --   1/16th( 43) <      > 	V 46 - M 43	= +3  %+7  	q= +3  %+7  	 0.261(61)
printNotes: i= 59-<2118 2094  24>,  	F#2 --  1/64th.( 16) <      > 	V 12 - M 16	= -4  %-33  	q= -4  %-33  	 0.064(61)
printNotes: i= 60-<2189 2203 -14>,  	 G2 --  1/32nd.( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(61)
printNotes: i= 61-<2398 2428 -30>,  	 A2 --   1/64th( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(61)
printNotes: i= 62-<2188 2203 -15>,  	 G2 --    1/8th( 85) <      > 	V 96 - M 85	=+11  %+11  	q=+11  %+11  	 0.551(61)
printNotes: i= 63-<2428 2428    >,  	 A2 -- 1/16th..( 75) <      > 	V 73 - M 75	= -2  %-3  	q= -2  %-3  	 0.418(61)
printNotes: i= 64-<2083 2094 -11>,  	F#2 -- 1/64th..( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(61)
printNotes: i= 65-<2209 2203   6>,  	 G2 --   1/8th.(128) <      > 	V115 - M128	=-13  %-11  	q=-13  %-11  	 0.662(61)
printNotes: i= 66-<2115 2094  21>,  	F#2 --   1/32nd( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(61)
printNotes: i= 67-<2161 2203 -42>,  	 G2 --  1/32nd.( 32) <      > 	V 29 - M 32	= -3  %-10  	q= -3  %-10  	 0.163(61)
printNotes: i= 68-<1864 1823  41>,  	Ek2 --  1/16th.( 64) <      > 	V 63 - M 64	= -1  %-2  	q= -1  %-2  	 0.360(61)
printNotes: i= 69-<1716 1703  13>,  	 D2 --   1/16th( 43) <      > 	V 52 - M 43	= +9  %+17  	q= +9  %+17  	 0.296(61)
printNotes: i= 70-<1773 1823 -50>,  	Ek2 -- 1/32nd..( 37) <      > 	V 36 - M 37	= -1  %-3  	q= -1  %-3  	 0.203(61)


silence
printNotes: i= 71-<   0   40 -40>,  	Slc --  1/16th.( 64) <      > 	V 62 - M 64	= -2  %-3  	q= -2  %-3  	 0.354(61)
printNotes: i= 72-<1709 1703   6>,  	 D2 --  1/32nd.( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(61)
printNotes: i= 73-<2076 2094 -18>,  	F#2 --   1/16th( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(61)
printNotes: i= 74-<1723 1823 -100>,  	Ek2 --  1/64th.( 16) <      > 	V 13 - M 16	= -3  %-23  	q= -3  %-23  	 0.070(61)
printNotes: i= 75-<2105 2094  11>,  	F#2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(61)
printNotes: i= 76-<2178 2203 -25>,  	 G2 --   128th.(  8) <      > 	V  6 - M  8	= -2  %-33  	q= -2  %-33  	 0.029(61)
printNotes: i= 77-<2077 2094 -17>,  	F#2 --    1/8th( 85) <      > 	V 93 - M 85	= +8  %+9  	q= +8  %+9  	 0.534(61)
printNotes: i= 78-<2176 2203 -27>,  	 G2 --   1/32nd( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(61)
printNotes: i= 79-<2117 2094  23>,  	F#2 --  1/16th.( 64) <      > 	V 61 - M 64	= -3  %-5  	q= -3  %-5  	 0.348(61)
printNotes: i= 80-<2216 2203  13>,  	 G2 --  1/16th.( 64) <      > 	V 57 - M 64	= -7  %-12  	q= -7  %-12  	 0.325(61)
printNotes: i= 81-<2089 2094  -5>,  	F#2 --    128th(  5) <      > 	V  3 - M  5	= -2  %-67  	q= -2  %-67  	 0.012(61)


silence
printNotes: i= 82-<   0   40 -40>,  	Slc -- 1/32nd..( 37) <      > 	V 38 - M 11	=+27  %+71  	q= +1  %+3  	 0.215(61)<-----%71   %3

printNotes: i= 83-<2260 2203  57>,  	 G2 --   128th.(  8) <      > 	V  6 - M  8	= -2  %-33  	q= -2  %-33  	 0.029(61)
printNotes: i= 84-<2087 2094  -7>,  	F#2 --   1/16th( 43) <      > 	V 42 - M 43	= -1  %-2  	q= -1  %-2  	 0.238(61)
printNotes: i= 85-<1833 1823  10>,  	Ek2 --   1/16th( 43) <      > 	V 42 - M 43	= -1  %-2  	q= -1  %-2  	 0.238(61)
printNotes: i= 86-<2087 2094  -7>,  	F#2 -- 1/64th..( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(61)
printNotes: i= 87-<1854 1823  31>,  	Ek2 --  1/32nd.( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(61)
printNotes: i= 88-<2059 2094 -35>,  	F#2 --  1/32nd.( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(61)
printNotes: i= 89-<1760 1703  57>,  	 D2 -- 1/64th..( 19) <      > 	V 20 - M 19	= +1  %+5  	q= +1  %+5  	 0.110(61)
printNotes: i= 90-<1829 1823   6>,  	Ek2 --   1/16th( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(61)
printNotes: i= 91-<1637 1703 -66>,  	 D2 --   1/8th.(128) <      > 	V129 - M128	= +1  %+1  	q= +1  %+1  	 0.743(61)
printNotes: i= 92-< 733 2203 -1470>,  	 G2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(61)
printNotes: i= 93-<2102 2094   8>,  	F#2 --   1/32nd( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(61)
printNotes: i= 94-<2136 2203 -67>,  	 G2 --  1/64th.( 16) <      > 	V 13 - M 16	= -3  %-23  	q= -3  %-23  	 0.070(61)
printNotes: i= 95-<1854 1823  31>,  	Ek2 --  1/64th.( 16) <      > 	V 14 - M 16	= -2  %-14  	q= -2  %-14  	 0.075(61)
printNotes: i= 96-<1886 2094 -208>,  	F#2 --  1/64th.( 16) <      > 	V 15 - M 16	= -1  %-7  	q= -1  %-7  	 0.081(61)
printNotes: i= 97-<1799 1823 -24>,  	Ek2 --   1/32nd( 21) <      > 	V 24 - M 21	= +3  %+12  	q= +3  %+12  	 0.134(61)
printNotes: i= 98-<1704 1703   1>,  	 D2 -- 1/64th..( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(61)
printNotes: i= 99-<1833 1823  10>,  	Ek2 --    1/4th(171) <      > 	V168 - M171	= -3  %-2  	q= -3  %-2  	 0.969(61)


silence
printNotes: i= 100-<   0   40 -40>,  	Slc --    half.(512) <-2*sela> 	V463 - M512	=-49  %-11  	q=-49  %-11  	 2.682(61)
printNotes: i= 101-<1730 1823 -93>,  	Ek2 -- 1/64th..( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(61)
printNotes: i= 102-<1703 1703    >,  	 D2 --  1/4th..(299) <      > 	V300 - M320	=-20  %-7  	q= +1  %+0  	 1.736(61)
printNotes: i= 103-<1413 1823 -410>,  	Ek2 --    1/4th(171) <      > 	V167 - M171	= -4  %-2  	q= -4  %-2  	 0.964(61)
printNotes: i= 104-<2093 2094  -1>,  	F#2 --    1/8th( 85) <      > 	V 88 - M 85	= +3  %+3  	q= +3  %+3  	 0.505(61)
printNotes: i= 105-<1936 2203 -267>,  	 G2 --   1/8th.(128) <      > 	V123 - M128	= -5  %-4  	q= -5  %-4  	 0.708(61)


silence
printNotes: i= 106-<   0   40 -40>,  	Slc --  128th..(  9) <      > 	V  9 - M 18	= -9  %-100  	q=  +  %+0  	 0.046(61)<-----%100   %0 <<

printNotes: i= 107-<1757 1823 -66>,  	Ek2 --   1/16th( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(61)
printNotes: i= 108-<2097 2094   3>,  	F#2 --  1/32nd.( 32) <      > 	V 28 - M 32	= -4  %-14  	q= -4  %-14  	 0.157(61)
printNotes: i= 109-<2200 2203  -3>,  	 G2 --  1/32nd.( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(61)
printNotes: i= 110-<2116 2094  22>,  	F#2 --  1/64th.( 16) <      > 	V 12 - M 16	= -4  %-33  	q= -4  %-33  	 0.064(61)
printNotes: i= 111-<2190 2203 -13>,  	 G2 --  1/32nd.( 32) <      > 	V 28 - M 32	= -4  %-14  	q= -4  %-14  	 0.157(61)
printNotes: i= 112-<2361 2428 -67>,  	 A2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(61)
