	voice Midi Diff								present		 Best		Sec

printNotes: i= 39-<1947 1969 -22>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 40-<1862 1870  -8>,  	 E2 -- 1/32nd..( 29) <      > 	V 28 - M 16	=+12  %+43  	q= -1  %-4  	 0.157(78)<-----%43   %4

printNotes: i= 41-<1667 1678 -11>,  	 D2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(78)<-----%10   %3

printNotes: i= 42-<1498 1476  22>,  	 C2 -- 1/32nd..( 29) <      > 	V 27 - M 33	= -6  %-22  	q= -2  %-7  	 0.151(78)<-----%22   %7

printNotes: i= 43-<1388 1376  12>,  	 B1 --   1/32nd( 16) <      > 	V 17 - M 33	=-16  %-94  	q= +1  %+6  	 0.093(78)<-----%94   %6

printNotes: i= 44-<1481 1476   5>,  	 C2 --   1/4th.(198) <      > 	V207 - M132	=+75  %+36  	q= +9  %+4  	 1.196(78)<-----%36   %4



silence
printNotes: i= 45-<   0   40 -40>,  	Slc --    half.(395) <-3*sela> 	V335 - M395	=-60  %-18  	q=-60  %-18  	 1.939(78)
printNotes: i= 46-< 876 1376 -500>,  	 B1 --   1/8th.( 99) <      > 	V 86 - M 49	=+37  %+43  	q=-13  %-15  	 0.493(78)<-----%43   %15

printNotes: i= 47-<1505 1476  29>,  	 C2 --  1/64th.( 12) <      > 	V  9 - M 33	=-24  %-267  	q= -3  %-33  	 0.046(78)<-----%267   %33 <<

printNotes: i= 48-<1608 1678 -70>,  	 D2 --   1/4th.(198) <      > 	V192 - M132	=+60  %+31  	q= -6  %-3  	 1.109(78)<-----%31   %3

printNotes: i= 49-<1774 1678  96>,  	 D2 --    1/8th( 66) <      > 	V 66 - M 66	=  +  %+0  	q=  +  %+0  	 0.377(78)<-- same note


silence
printNotes: i= 50-<   0   40 -40>,  	Slc --  1/8th..(115) <      > 	V116 - M132	=-16  %-14  	q= +1  %+1  	 0.668(78)<-----%14   %1

printNotes: i= 51-<1537 1678 -141>,  	 D2 --  1/8th..(115) <      > 	V107 - M 66	=+41  %+38  	q= -8  %-7  	 0.615(78)<-----%38   %7

printNotes: i= 52-<1868 1870  -2>,  	 E2 --  1/32nd.( 25) <      > 	V 23 - M 33	=-10  %-43  	q= -2  %-9  	 0.128(78)<-----%43   %9

printNotes: i= 53-<1675 1678  -3>,  	 D2 --  1/4th..(230) <      > 	V228 - M132	=+96  %+42  	q= -2  %-1  	 1.318(78)<-----%42   %1

printNotes: i= 54-<1256 1678 -422>,  	 D2 --    1/4th(132) <      > 	V132 - M132	=  +  %+0  	q=  +  %+0  	 0.760(78)<-- same note
printNotes: i= 55-<1633 1678 -45>,  	 D2 --   1/4th.(198) <-2*sela> 	V165 - M165	=  +  %+0  	q=-33  %-20  	 0.952(78)<-- same note
printNotes: i= 56-<1414 1476 -62>,  	 C2 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(78)
printNotes: i= 57-<1383 1376   7>,  	 B1 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(78)
printNotes: i= 58-<1234 1200  34>,  	 A1 --  1/16th.( 49) <      > 	V 50 - M 33	=+17  %+34  	q= +1  %+2  	 0.284(78)<-----%34   %2

printNotes: i= 59-< 999 1000  -1>,  	 G1 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(78)


silence
printNotes: i= 60-<   0   40 -40>,  	Slc --     half(263) <      > 	V255 - M263	= -8  %-3  	q= -8  %-3  	 1.474(78)
printNotes: i= 61-<1903 2387 -484>,  	 A2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(78)
printNotes: i= 62-<2370 2387 -17>,  	 A2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)<-- same note
printNotes: i= 63-<2184 2190  -6>,  	 G2 --    1/4th(132) <1*sela> 	V152 - M132	=+20  %+13  	q=+20  %+13  	 0.877(78)
printNotes: i= 64-<1868 1870  -2>,  	 E2 --   1/4th.(198) <      > 	V188 - M132	=+56  %+30  	q=-10  %-5  	 1.086(78)<-----%30   %5

printNotes: i= 65-<1680 1678   2>,  	 D2 -- 1/16th..( 58) <      > 	V 59 - M 33	=+26  %+44  	q= +1  %+2  	 0.337(78)<-----%44   %2

printNotes: i= 66-<1865 1870  -5>,  	 E2 --   1/32nd( 16) <      > 	V 19 - M 33	=-14  %-74  	q= +3  %+16  	 0.104(78)<-----%74   %16

printNotes: i= 67-<1690 1678  12>,  	 D2 --  1/32nd.( 25) <      > 	V 25 - M 33	= -8  %-32  	q=  +  %+0  	 0.139(78)<-----%32   %0

printNotes: i= 68-<1890 1870  20>,  	 E2 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(78)<-----%83   %11

printNotes: i= 69-< 606 1678 -1072>,  	 D2 --    1/8th( 66) <      > 	V 67 - M 33	=+34  %+51  	q= +1  %+1  	 0.383(78)<-----%51   %1

printNotes: i= 70-<1462 1476 -14>,  	 C2 --   1/4th.(198) <-1*sela> 	V175 - M132	=+43  %+25  	q=-23  %-13  	 1.010(78)<-----%25   %13



silence
printNotes: i= 71-<  18   40 -22>,  	Slc --  1/8th..(115) <      > 	V114 - M 99	=+15  %+13  	q= -1  %-1  	 0.656(78)<-----%13   %1

printNotes: i= 72-<1270 1678 -408>,  	 D2 --    1/4th(132) <1*sela> 	V162 - M132	=+30  %+19  	q=+30  %+19  	 0.935(78)
printNotes: i= 73-<2147 2190 -43>,  	 G2 --    128th(  4) <      > 	V  4 - M 66	=-62  %-1550  	q=  +  %+0  	 0.017(78)<-----%1550   %0 <<

printNotes: i= 74-<1926 1969 -43>,  	 F2 --   1/32nd( 16) <      > 	V 20 - M 33	=-13  %-65  	q= +4  %+20  	 0.110(78)<-----%65   %20

printNotes: i= 75-<1868 1870  -2>,  	 E2 --   1/4th.(198) <      > 	V205 - M263	=-58  %-28  	q= +7  %+3  	 1.184(78)<-----%28   %3

printNotes: i= 76-<1693 1678  15>,  	 D2 --    1/8th( 66) <      > 	V 76 - M 99	=-23  %-30  	q=+10  %+13  	 0.435(78)<-----%30   %13

printNotes: i= 77-<1940 1969 -29>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(78)
printNotes: i= 78-<1827 1870 -43>,  	 E2 -- 1/32nd..( 29) <      > 	V 30 - M 16	=+14  %+47  	q= +1  %+3  	 0.168(78)<-----%47   %3

printNotes: i= 79-<1666 1678 -12>,  	 D2 -- 1/32nd..( 29) <      > 	V 28 - M 33	= -5  %-18  	q= -1  %-4  	 0.157(78)<-----%18   %4

printNotes: i= 80-<1452 1476 -24>,  	 C2 --  1/32nd.( 25) <      > 	V 25 - M 33	= -8  %-32  	q=  +  %+0  	 0.139(78)<-----%32   %0

printNotes: i= 81-<1386 1376  10>,  	 B1 --   1/32nd( 16) <      > 	V 19 - M 33	=-14  %-74  	q= +3  %+16  	 0.104(78)<-----%74   %16

printNotes: i= 82-<1481 1476   5>,  	 C2 --     half(263) <      > 	V253 - M263	=-10  %-4  	q=-10  %-4  	 1.463(78)


silence
printNotes: i= 83-<   0   40 -40>,  	Slc --    whole(527) <7*sela> 	V649 - M790	=-141  %-22  	q=+122  %+19  	 3.762(78)
printNotes: i= 84-<2062 2190 -128>,  	 G2 --   1/8th.( 99) <      > 	V 88 - M 49	=+39  %+44  	q=-11  %-12  	 0.505(78)<-----%44   %12

printNotes: i= 85-<2195 2190   5>,  	 G2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)<-- same note
printNotes: i= 86-<1686 2190 -504>,  	 G2 --   1/4th.(198) <-2*sela> 	V165 - M165	=  +  %+0  	q=-33  %-20  	 0.952(78)<-- same note
printNotes: i= 87-<2086 2190 -104>,  	 G2 --    1/4th(132) <      > 	V132 - M132	=  +  %+0  	q=  +  %+0  	 0.760(78)<-- same note
printNotes: i= 88-<2196 2190   6>,  	 G2 --   1/8th.( 99) <      > 	V 99 - M 99	=  +  %+0  	q=  +  %+0  	 0.569(78)<-- same note
printNotes: i= 89-<2420 2487 -67>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 33	=-18  %-120  	q= +1  %+7  	 0.081(78)<-----%120   %7 <<

printNotes: i= 90-<2191 2190   1>,  	 G2 -- 1/16th..( 58) <      > 	V 59 - M 33	=+26  %+44  	q= +1  %+2  	 0.337(78)<-----%44   %2

printNotes: i= 91-<2210 2190  20>,  	 G2 --  1/16th.( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(78)<-- same note
printNotes: i= 92-<1747 2487 -740>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 93-<1828 2190 -362>,  	 G2 --   1/8th.( 99) <      > 	V 99 - M 16	=+83  %+84  	q=  +  %+0  	 0.569(78)<-----%84   %0



silence
printNotes: i= 94-<   0   40 -40>,  	Slc --  1/16th.( 49) <      > 	V 44 - M132	=-88  %-200  	q= -5  %-11  	 0.250(78)<-----%200   %11

printNotes: i= 95-<1745 1969 -224>,  	 F2 --   1/8th.( 99) <      > 	V 91 - M 49	=+42  %+46  	q= -8  %-9  	 0.522(78)<-----%46   %9

printNotes: i= 96-<2146 2190 -44>,  	 G2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(78)
printNotes: i= 97-<1992 1969  23>,  	 F2 --   1/16th( 33) <      > 	V 40 - M 49	= -9  %-22  	q= +7  %+18  	 0.226(78)<-----%22   %18

printNotes: i= 98-<2184 2190  -6>,  	 G2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 99-<1991 1969  22>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 100-<2145 2190 -45>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(78)<-----%45   %9 <<

printNotes: i= 101-<1965 1969  -4>,  	 F2 -- 1/32nd..( 29) <      > 	V 27 - M 33	= -6  %-22  	q= -2  %-7  	 0.151(78)<-----%22   %7

printNotes: i= 102-<1883 1820  63>,  	Ek2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 103-<1917 1969 -52>,  	 F2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(78)<-----%100   %0 <<

printNotes: i= 104-<1847 1870 -23>,  	 E2 --  1/32nd.( 25) <      > 	V 24 - M 33	= -9  %-38  	q= -1  %-4  	 0.134(78)<-----%38   %4

printNotes: i= 105-<1704 1678  26>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 33	=-17  %-106  	q=  +  %+0  	 0.087(78)<-----%106   %0 <<

printNotes: i= 106-<1783 1820 -37>,  	Ek2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(78)
