	voice Midi Diff								present		 Best		Sec

printNotes: i= 39-<1728 1732  -4>,  	 D2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 40-<1802 1914 -112>,  	 E2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(83)<-----%60   %20 <<

printNotes: i= 41-<1729 1732  -3>,  	 D2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 42-<1548 1529  19>,  	 C2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 43-<1565 1732 -167>,  	 D2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(83)<-----%100   %0 <<

printNotes: i= 44-<1518 1529 -11>,  	 C2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 45-<1550 1732 -182>,  	 D2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(83)<-----%78   %33 <<

printNotes: i= 46-<1519 1529 -10>,  	 C2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 47-<1444 1434  10>,  	 B1 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 48-<1537 1529   8>,  	 C2 --  1/4th..(218) <      > 	V210 - M250	=-40  %-19  	q= -8  %-4  	 1.213(83)<-----%19   %4

printNotes: i= 49-<1448 1434  14>,  	 B1 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 50-<1245 1234  11>,  	 A1 --   1/4th.(187) <-1*sela> 	V169 - M125	=+44  %+26  	q=-18  %-11  	 0.975(83)<-----%26   %11



silence
printNotes: i= 51-<   0   40 -40>,  	Slc --    1/4th(125) <      > 	V135 - M125	=+10  %+7  	q=+10  %+7  	 0.778(83)
printNotes: i= 52-<1006 1029 -23>,  	 G1 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 53-<1454 1434  20>,  	 B1 --   1/4th.(187) <-1*sela> 	V170 - M125	=+45  %+26  	q=-17  %-10  	 0.981(83)<-----%26   %10

printNotes: i= 54-<1731 1732  -1>,  	 D2 --    1/4th(125) <1*sela> 	V149 - M125	=+24  %+16  	q=+24  %+16  	 0.859(83)
printNotes: i= 55-<1534 1529   5>,  	 C2 --  1/4th..(218) <      > 	V230 - M218	=+12  %+5  	q=+12  %+5  	 1.329(83)
printNotes: i= 56-<1390 1434 -44>,  	 B1 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 57-<1471 1529 -58>,  	 C2 --    half.(374) <      > 	V383 - M374	= +9  %+2  	q= +9  %+2  	 2.218(83)


silence
printNotes: i= 58-<   0   40 -40>,  	Slc --  whole..(873) <2*sela> 	V907 - M873	=+34  %+4  	q=+34  %+4  	 5.259(83)
printNotes: i= 59-<1113 1029  84>,  	 G1 -- 1/16th..( 55) <      > 	V 56 - M 62	= -6  %-11  	q= +1  %+2  	 0.319(83)<-----%11   %2

printNotes: i= 60-<1446 1529 -83>,  	 C2 --   1/8th.( 94) <      > 	V 81 - M 94	=-13  %-16  	q=-13  %-16  	 0.464(83)
printNotes: i= 61-< 686 1434 -748>,  	 B1 -- 1/16th..( 55) <      > 	V 58 - M 31	=+27  %+47  	q= +3  %+5  	 0.331(83)<-----%47   %5

printNotes: i= 62-<1535 1529   6>,  	 C2 --    1/8th( 62) <      > 	V 62 - M 47	=+15  %+24  	q=  +  %+0  	 0.354(83)<-----%24   %0

printNotes: i= 63-<1429 1434  -5>,  	 B1 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<

printNotes: i= 64-<1519 1529 -10>,  	 C2 --    1/4th(125) <      > 	V129 - M125	= +4  %+3  	q= +4  %+3  	 0.743(83)
printNotes: i= 65-<1230 1529 -299>,  	 C2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)<-- same note
printNotes: i= 66-< 598 1434 -836>,  	 B1 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 67-<1582 1529  53>,  	 C2 --    1/4th(125) <      > 	V137 - M 62	=+75  %+55  	q=+12  %+9  	 0.789(83)<-----%55   %9



silence
printNotes: i= 68-<  24   40 -16>,  	Slc --   1/4th.(187) <      > 	V191 - M187	= +4  %+2  	q= +4  %+2  	 1.103(83)
printNotes: i= 69-<1431 1529 -98>,  	 C2 --  1/16th.( 47) <      > 	V 42 - M 16	=+26  %+62  	q= -5  %-12  	 0.238(83)<-----%62   %12

printNotes: i= 70-<1350 1434 -84>,  	 B1 --  1/32nd.( 23) <      > 	V 23 - M 16	= +7  %+30  	q=  +  %+0  	 0.128(83)<-----%30   %0

printNotes: i= 71-<1504 1529 -25>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 72-<1517 1529 -12>,  	 C2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-- same note<-----%29   %4

printNotes: i= 73-<1524 1529  -5>,  	 C2 --    1/4th(125) <      > 	V125 - M125	=  +  %+0  	q=  +  %+0  	 0.720(83)<-- same note
