	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2383 2442 -59>,  	 A2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(81)<-----%146   %8 <<

printNotes: i= 39-<2059 2032  27>,  	 F2 --  1/16th.( 48) <      > 	V 44 - M 32	=+12  %+27  	q= -4  %-9  	 0.250(81)<-----%27   %9

printNotes: i= 40-<2219 2242 -23>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 41-<1935 1933   2>,  	 E2 --   1/8th.( 96) <      > 	V 81 - M 64	=+17  %+21  	q=-15  %-19  	 0.464(81)
printNotes: i= 42-<2238 2242  -4>,  	 G2 --    1/4th(127) <1*sela> 	V153 - M127	=+26  %+17  	q=+26  %+17  	 0.882(81)
printNotes: i= 43-<2079 2032  47>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 44-<2151 2242 -91>,  	 G2 --  1/8th..(111) <      > 	V109 - M 64	=+45  %+41  	q= -2  %-2  	 0.627(81)<-----%41   %2



silence
printNotes: i= 45-<   0   40 -40>,  	Slc --    1/8th( 64) <      > 	V 73 - M127	=-54  %-74  	q= +9  %+12  	 0.418(81)<-----%74   %12

printNotes: i= 46-<1458 1538 -80>,  	 C2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 47-<2024 2032  -8>,  	 F2 --  1/4th..(223) <      > 	V237 - M255	=-18  %-8  	q=+14  %+6  	 1.370(81)
printNotes: i= 48-<1924 1933  -9>,  	 E2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 49-<2039 2032   7>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 50-<2248 2242   6>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 51-<2060 2032  28>,  	 F2 -- 1/32nd..( 28) <      > 	V 26 - M 16	=+10  %+38  	q= -2  %-8  	 0.145(81)<-----%38   %8

printNotes: i= 52-<2151 2242 -91>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(81)<-----%78   %33 <<

