	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2425 2429  -4>,  	 A2 --   1/16th( 33) <      > 	V 31 - M 16	=+15  %+48  	q= -2  %-6  	 0.174(78)<-----%48   %6

printNotes: i= 39-<2524 2526  -2>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 40-<1877 2230 -353>,  	 G2 --   1/8th.( 99) <      > 	V 89 - M 66	=+23  %+26  	q=-10  %-11  	 0.511(78)<-----%26   %11



silence
printNotes: i= 41-<   0   40 -40>,  	Slc --     half(264) <3*sela> 	V320 - M330	=-10  %-3  	q=+56  %+18  	 1.852(78)
printNotes: i= 42-<1440 1734 -294>,  	 D2 --  1/32nd.( 25) <      > 	V 25 - M 33	= -8  %-32  	q=  +  %+0  	 0.139(78)<-----%32   %0

printNotes: i= 43-<2229 2230  -1>,  	 G2 --  1/8th..(115) <      > 	V109 - M 99	=+10  %+9  	q= -6  %-6  	 0.627(78)<-----%9   %6

printNotes: i= 44-<2407 2429 -22>,  	 A2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
printNotes: i= 45-<2632 2609  23>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(78)<-----%136   %0 <<

printNotes: i= 46-<2446 2429  17>,  	 A2 -- 1/16th..( 58) <      > 	V 56 - M 33	=+23  %+41  	q= -2  %-4  	 0.319(78)<-----%41   %4

printNotes: i= 47-<2573 2609 -36>,  	 B2 -- 1/32nd..( 29) <      > 	V 29 - M 33	= -4  %-14  	q=  +  %+0  	 0.163(78)<-----%14   %0

printNotes: i= 48-<2786 2709  77>,  	 C3 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(78)
printNotes: i= 49-<2571 2609 -38>,  	 B2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(78)
printNotes: i= 50-<2701 2709  -8>,  	 C3 --   1/16th( 33) <      > 	V 32 - M 16	=+16  %+50  	q= -1  %-3  	 0.180(78)<-----%50   %3

printNotes: i= 51-<2946 2922  24>,  	 D3 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(78)
printNotes: i= 52-<2594 2609 -15>,  	 B2 --  1/32nd.( 25) <      > 	V 23 - M 33	=-10  %-43  	q= -2  %-9  	 0.128(78)<-----%43   %9

printNotes: i= 53-<2698 2709 -11>,  	 C3 -- 1/16th..( 58) <      > 	V 54 - M 49	= +5  %+9  	q= -4  %-7  	 0.308(78)
printNotes: i= 54-<2609 2609    >,  	 B2 --   1/32nd( 16) <      > 	V 20 - M 33	=-13  %-65  	q= +4  %+20  	 0.110(78)<-----%65   %20

printNotes: i= 55-<2919 2922  -3>,  	 D3 --    1/4th(132) <      > 	V130 - M132	= -2  %-2  	q= -2  %-2  	 0.749(78)
printNotes: i= 56-<2701 2709  -8>,  	 C3 --     half(264) <1*sela> 	V282 - M264	=+18  %+6  	q=+18  %+6  	 1.631(78)
