	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-< 868 2237 -1369>,  	 G2 --    1/8th( 65) <      > 	V 71 - M 32	=+39  %+55  	q= +6  %+8  	 0.406(80)<-----%55   %8

printNotes: i= 39-<1541 2026 -485>,  	 F2 -- 1/16th..( 57) <      > 	V 59 - M 32	=+27  %+46  	q= +2  %+3  	 0.337(80)<-----%46   %3

printNotes: i= 40-<1915 1914   1>,  	 E2 --    1/4th(129) <1*sela> 	V156 - M194	=-38  %-24  	q=+27  %+17  	 0.900(80)<-----%24   %17

printNotes: i= 41-<1725 1724   1>,  	 D2 -- 1/16th..( 57) <      > 	V 53 - M 65	=-12  %-23  	q= -4  %-8  	 0.302(80)<-----%23   %8

printNotes: i= 42-<1507 1515  -8>,  	 C2 --   1/4th.(194) <-1*sela> 	V177 - M129	=+48  %+27  	q=-17  %-10  	 1.022(80)<-----%27   %10

printNotes: i= 43-<1708 1724 -16>,  	 D2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 44-<1857 1914 -57>,  	 E2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(80)
printNotes: i= 45-<2008 2026 -18>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(80)
printNotes: i= 46-<1911 1914  -3>,  	 E2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 47-<2008 2026 -18>,  	 F2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(80)<-----%100   %0 <<

printNotes: i= 48-<1916 1914   2>,  	 E2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 49-<1744 1724  20>,  	 D2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 50-<1933 1914  19>,  	 E2 --    1/4th(129) <1*sela> 	V152 - M129	=+23  %+15  	q=+23  %+15  	 0.877(80)


silence
printNotes: i= 51-<   0   40 -40>,  	Slc --   1/4th.(194) <      > 	V188 - M259	=-71  %-38  	q= -6  %-3  	 1.086(80)<-----%38   %3

printNotes: i= 52-<1021 1015   6>,  	 G1 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 53-<1502 1515 -13>,  	 C2 --  1/8th..(113) <      > 	V113 - M 97	=+16  %+14  	q=  +  %+0  	 0.650(80)<-----%14   %0

printNotes: i= 54-< 808 1724 -916>,  	 D2 -- 1/16th..( 57) <      > 	V 60 - M 32	=+28  %+47  	q= +3  %+5  	 0.342(80)<-----%47   %5

printNotes: i= 55-<1871 1914 -43>,  	 E2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 56-<1612 1724 -112>,  	 D2 --    1/4th(129) <1*sela> 	V146 - M129	=+17  %+12  	q=+17  %+12  	 0.842(80)
