	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2534 2642 -108>,  	Ak2 --    1/4th(117) <1*sela> 	V139 - M 58	=+81  %+58  	q=+22  %+16  	 0.801(88)<-----%58   %16



silence
printNotes: i= 39-<   0   40 -40>,  	Slc --    half.(351) <1*sela> 	V379 - M409	=-30  %-8  	q=+28  %+7  	 2.194(88)
printNotes: i= 40-<2362 2494 -132>,  	 G2 --    1/8th( 58) <      > 	V 61 - M 58	= +3  %+5  	q= +3  %+5  	 0.348(88)
printNotes: i= 41-<2257 2294 -37>,  	 F2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i= 42-<2506 2494  12>,  	 G2 --   1/8th.( 88) <      > 	V 78 - M117	=-39  %-50  	q=-10  %-13  	 0.447(88)<-----%50   %13

printNotes: i= 43-<1177 2294 -1117>,  	 F2 --   1/8th.( 88) <      > 	V 76 - M 29	=+47  %+62  	q=-12  %-16  	 0.435(88)<-----%62   %16

printNotes: i= 44-<2171 2181 -10>,  	 E2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 45-<2273 2294 -21>,  	 F2 -- 1/32nd..( 26) <      > 	V 25 - M 29	= -4  %-16  	q= -1  %-4  	 0.139(88)<-----%16   %4

printNotes: i= 46-<2186 2181   5>,  	 E2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 47-<2278 2294 -16>,  	 F2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 48-<2280 2181  99>,  	 E2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 49-<2515 2494  21>,  	 G2 --   1/4th.(175) <-1*sela> 	V152 - M 88	=+64  %+42  	q=-23  %-15  	 0.877(88)<-----%42   %15

printNotes: i= 50-<1551 2874 -1323>,  	 B2 --  1/16th.( 44) <      > 	V 43 - M 29	=+14  %+33  	q= -1  %-2  	 0.244(88)<-----%33   %2



silence
printNotes: i= 51-<   0   40 -40>,  	Slc --  1/8th..(102) <      > 	V105 - M234	=-129  %-123  	q= +3  %+3  	 0.604(88)<-----%123   %3

printNotes: i= 52-<2181 2294 -113>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 53-<2493 2494  -1>,  	 G2 --    1/4th(117) <1*sela> 	V134 - M 88	=+46  %+34  	q=+17  %+13  	 0.772(88)<-----%34   %13

printNotes: i= 54-<2249 2294 -45>,  	 F2 --   1/8th.( 88) <      > 	V 77 - M 58	=+19  %+25  	q=-11  %-14  	 0.441(88)<-----%25   %14

printNotes: i= 55-< 549 2181 -1632>,  	 E2 -- 1/16th..( 51) <      > 	V 51 - M 29	=+22  %+43  	q=  +  %+0  	 0.290(88)<-----%43   %0

printNotes: i= 56-<2490 2494  -4>,  	 G2 --    1/4th(117) <      > 	V124 - M117	= +7  %+6  	q= +7  %+6  	 0.714(88)
printNotes: i= 57-<2285 2294  -9>,  	 F2 --   1/16th( 29) <      > 	V 36 - M 58	=-22  %-61  	q= +7  %+19  	 0.203(88)<-----%61   %19

printNotes: i= 58-< 849 2494 -1645>,  	 G2 --   1/8th.( 88) <      > 	V 82 - M 44	=+38  %+46  	q= -6  %-7  	 0.470(88)<-----%46   %7

printNotes: i= 59-<2495 2494   1>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 60-<2641 2642  -1>,  	Ak2 --     half(234) <      > 	V237 - M253	=-16  %-7  	q= +3  %+1  	 1.370(88)
printNotes: i= 61-<2471 2494 -23>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 19	= -1  %-6  	q= +3  %+17  	 0.099(88)
printNotes: i= 62-<2521 2642 -121>,  	Ak2 --   1/16th( 29) <      > 	V 35 - M 20	=+15  %+43  	q= +6  %+17  	 0.197(88)<-----%43   %17

printNotes: i= 63-<2520 2494  26>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 64-<2664 2642  22>,  	Ak2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 65-<2512 2494  18>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 66-<2409 2642 -233>,  	Ak2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 67-<2337 2494 -157>,  	 G2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
printNotes: i= 68-<2288 2294  -6>,  	 F2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 69-<2490 2494  -4>,  	 G2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(88)<-----%150   %0 <<

printNotes: i= 70-<2289 2294  -5>,  	 F2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(88)<-----%25   %10

printNotes: i= 71-<2423 2494 -71>,  	 G2 --   128th.(  5) <      > 	V  5 - M 15	=-10  %-200  	q=  +  %+0  	 0.023(88)<-----%200   %0 <<

printNotes: i= 72-<2302 2294   8>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 73-<2179 2181  -2>,  	 E2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 74-<2323 2294  29>,  	 F2 --   128th.(  5) <      > 	V  5 - M 15	=-10  %-200  	q=  +  %+0  	 0.023(88)<-----%200   %0 <<

printNotes: i= 75-<2177 2181  -4>,  	 E2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 76-<2297 2294   3>,  	 F2 --   1/4th.(175) <-1*sela> 	V148 - M175	=-27  %-18  	q=-27  %-18  	 0.853(88)
printNotes: i= 77-<2196 2181  15>,  	 E2 --  1/16th.( 44) <      > 	V 39 - M 29	=+10  %+26  	q= -5  %-13  	 0.221(88)<-----%26   %13



silence
printNotes: i= 78-<   0   40 -40>,  	Slc --   whole.(701) <3*sela> 	V752 - M789	=-37  %-5  	q=+51  %+7  	 4.360(88)
printNotes: i= 79-<1551 2494 -943>,  	 G2 --    1/4th(117) <      > 	V117 - M 88	=+29  %+25  	q=  +  %+0  	 0.673(88)<-----%25   %0

