	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2671 2644  27>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 39-<2465 2494 -29>,  	 G2 --    1/4th(118) <      > 	V111 - M 88	=+23  %+21  	q= -7  %-6  	 0.639(88)<-----%21   %6

printNotes: i= 40-<2149 2644 -495>,  	Ak2 --  1/16th.( 44) <      > 	V 37 - M 15	=+22  %+59  	q= -7  %-19  	 0.209(88)<-----%59   %19

printNotes: i= 41-<2701 2879 -178>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 42-<2486 2494  -8>,  	 G2 --   1/4th.(177) <      > 	V179 - M236	=-57  %-32  	q= +2  %+1  	 1.033(88)<-----%32   %1

printNotes: i= 43-<2388 2879 -491>,  	 B2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 44-<1761 2494 -733>,  	 G2 --    1/8th( 59) <      > 	V 67 - M 59	= +8  %+12  	q= +8  %+12  	 0.383(88)


silence
printNotes: i= 45-<   0   40 -40>,  	Slc --   1/16th( 29) <      > 	V 32 - M118	=-86  %-269  	q= +3  %+9  	 0.180(88)<-----%269   %9

printNotes: i= 46-<2146 2180 -34>,  	 E2 -- 1/16th..( 52) <      > 	V 49 - M 44	= +5  %+10  	q= -3  %-6  	 0.279(88)<-----%10   %6

printNotes: i= 47-<2303 2295   8>,  	 F2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
printNotes: i= 48-<2493 2494  -1>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 49-<2641 2644  -3>,  	Ak2 -- 1/32nd..( 26) <      > 	V 27 - M 15	=+12  %+44  	q= +1  %+4  	 0.151(88)<-----%44   %4

printNotes: i= 50-<2927 2879  48>,  	 B2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 51-<2664 2644  20>,  	Ak2 --    1/8th( 59) <      > 	V 70 - M 59	=+11  %+16  	q=+11  %+16  	 0.401(88)
printNotes: i= 52-<2900 2879  21>,  	 B2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 53-<2652 2644   8>,  	Ak2 --    1/8th( 59) <      > 	V 65 - M 29	=+36  %+55  	q= +6  %+9  	 0.372(88)<-----%55   %9

printNotes: i= 54-<2910 2879  31>,  	 B2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 55-<2638 2644  -6>,  	Ak2 --    1/8th( 59) <      > 	V 66 - M 59	= +7  %+11  	q= +7  %+11  	 0.377(88)
printNotes: i= 56-<2521 2494  27>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(88)<-----%53   %16

printNotes: i= 57-<2776 2879 -103>,  	 B2 -- 1/32nd..( 26) <      > 	V 25 - M 15	=+10  %+40  	q= -1  %-4  	 0.139(88)<-----%40   %4

printNotes: i= 58-<2997 2979  18>,  	 C3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 59-<2643 2644  -1>,  	Ak2 --    1/4th(118) <      > 	V124 - M177	=-53  %-43  	q= +6  %+5  	 0.714(88)<-----%43   %5

printNotes: i= 60-<2500 2494   6>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(88)<-----%123   %0 <<

printNotes: i= 61-<1576 2644 -1068>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 62-<2490 2494  -4>,  	 G2 --    1/8th( 59) <      > 	V 73 - M 59	=+14  %+19  	q=+14  %+19  	 0.418(88)
printNotes: i= 63-<2711 2644  67>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 64-<2494 2494    >,  	 G2 --   1/8th.( 88) <      > 	V 77 - M 59	=+18  %+23  	q=-11  %-14  	 0.441(88)<-----%23   %14

printNotes: i= 65-<2666 2644  22>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 15	=+14  %+48  	q=  +  %+0  	 0.163(88)<-----%48   %0

printNotes: i= 66-<2746 2879 -133>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 67-<2491 2494  -3>,  	 G2 --    1/4th(118) <      > 	V119 - M118	= +1  %+1  	q= +1  %+1  	 0.685(88)
printNotes: i= 68-<2302 2295   7>,  	 F2 --    1/8th( 59) <      > 	V 56 - M 29	=+27  %+48  	q= -3  %-5  	 0.319(88)<-----%48   %5

printNotes: i= 69-<2527 2494  33>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 70-<2307 2295  12>,  	 F2 --  1/16th.( 44) <      > 	V 44 - M 59	=-15  %-34  	q=  +  %+0  	 0.250(88)<-----%34   %0

printNotes: i= 71-<2486 2494  -8>,  	 G2 --   1/16th( 29) <      > 	V 28 - M 15	=+13  %+46  	q= -1  %-4  	 0.157(88)<-----%46   %4

