	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1927 1957 -30>,  	 C3 --  1/8th..( 64) <      > 	V 62 - M 64	= -2  %-3  	q= -2  %-3  	 0.354(142)
printNotes: i= 42-<2068 2170 -102>,  	 D3 --   1/64th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(142)
printNotes: i= 43-<1970 1957  13>,  	 C3 --    1/8th( 36) <      > 	V 44 - M 36	= +8  %+18  	q= +8  %+18  	 0.250(142)
printNotes: i= 44-<2051 2170 -119>,  	 D3 -- 1/64th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(142)
printNotes: i= 45-<1959 1957   2>,  	 C3 --  1/16th.( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(142)
printNotes: i= 46-<1784 1751  33>,  	Bb2 --   1/16th( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(142)
printNotes: i= 47-<1676 1957 -281>,  	 C3 --   1/32nd(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(142)
printNotes: i= 48-<1592 1611 -19>,  	Ak2 -- 1/32nd..( 16) <      > 	V 16 - M 18	= -2  %-12  	q=  +  %+0  	 0.087(142)
printNotes: i= 49-<1733 1751 -18>,  	Bb2 --  1/16th.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(142)
printNotes: i= 50-<1821 1957 -136>,  	 C3 --   1/64th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(142)
printNotes: i= 51-<1772 1751  21>,  	Bb2 --   1/16th( 18) <      > 	V 17 - M 18	= -1  %-6  	q= -1  %-6  	 0.093(142)
printNotes: i= 52-<1977 1957  20>,  	 C3 --    1/8th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(142)
printNotes: i= 53-<2192 2243 -51>,  	Eb3 --  1/32nd.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(142)
printNotes: i= 54-<1964 1957   7>,  	 C3 --    half.(219) <-4*sela> 	V183 - M219	=-36  %-20  	q=-36  %-20  	 1.057(142)


silence
printNotes: i= 55-<1951   40 1911>,  	Slc --  128th..(  4) <      > 	V  4 - M  5	= -1  %-25  	q=  +  %+0  	 0.017(142)
printNotes: i= 56-<1960 1957   3>,  	 C3 -- 1/16th..( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(142)
printNotes: i= 57-<2110 2170 -60>,  	 D3 --   1/32nd(  9) <      > 	V 11 - M  9	= +2  %+18  	q= +2  %+18  	 0.058(142)
printNotes: i= 58-<1949 1957  -8>,  	 C3 -- 1/16th..( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(142)
printNotes: i= 59-<1743 1751  -8>,  	Bb2 --  1/16th.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(142)
printNotes: i= 60-<1620 1611   9>,  	Ak2 --   1/16th( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(142)
printNotes: i= 61-<1751 1751    >,  	Bb2 -- 1/16th..( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(142)
printNotes: i= 62-<1833 1957 -124>,  	 C3 --   1/64th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(142)
printNotes: i= 63-<1771 1751  20>,  	Bb2 --   1/16th( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(142)
printNotes: i= 64-<1977 1957  20>,  	 C3 --    1/8th( 36) <      > 	V 41 - M 36	= +5  %+12  	q= +5  %+12  	 0.232(142)
printNotes: i= 65-<2169 2170  -1>,  	 D3 --  1/32nd.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(142)
printNotes: i= 66-<1988 1957  31>,  	 C3 --    1/8th( 36) <1*sela> 	V 45 - M 36	= +9  %+20  	q= +9  %+20  	 0.255(142)
printNotes: i= 67-<1550 2452 -902>,  	 F3 --   1/32nd(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(142)
printNotes: i= 68-<1779 1957 -178>,  	 C3 -- 1/16th..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(142)
printNotes: i= 69-<2155 2170 -15>,  	 D3 --  1/64th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(142)


silence
printNotes: i= 70-<   0   40 -40>,  	Slc --   1/4th.(109) <-1*sela> 	V 99 - M 73	=+26  %+26  	q=-10  %-10  	 0.569(142)<-----%26   %10

printNotes: i= 71-<1419 1257 162>,  	 F2 --  1/16th.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(142)
printNotes: i= 72-<1939 1957 -18>,  	 C3 --  1/8th..( 64) <      > 	V 60 - M 64	= -4  %-7  	q= -4  %-7  	 0.342(142)
printNotes: i= 73-<2287 2452 -165>,  	 F3 -- 1/64th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(142)
printNotes: i= 74-<1961 1957   4>,  	 C3 --    1/8th( 36) <      > 	V 44 - M 36	= +8  %+18  	q= +8  %+18  	 0.250(142)
printNotes: i= 75-<1740 1751 -11>,  	Bb2 --  1/16th.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(142)
printNotes: i= 76-<1605 1611  -6>,  	Ak2 --   1/16th( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(142)
printNotes: i= 77-<1761 1751  10>,  	Bb2 -- 1/16th..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(142)
printNotes: i= 78-<1950 1957  -7>,  	 C3 --  1/32nd.( 14) <      > 	V 12 - M 14	= -2  %-17  	q= -2  %-17  	 0.064(142)
printNotes: i= 79-<1765 1751  14>,  	Bb2 --    1/8th( 36) <      > 	V 43 - M 36	= +7  %+16  	q= +7  %+16  	 0.244(142)
printNotes: i= 80-<1954 1957  -3>,  	 C3 --  1/16th.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(142)
printNotes: i= 81-<2143 2170 -27>,  	 D3 --  1/32nd.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(142)
printNotes: i= 82-<1958 1957   1>,  	 C3 --  1/16th.( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(142)
printNotes: i= 83-<1746 1751  -5>,  	Bb2 --  1/16th.( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(142)
printNotes: i= 84-<1617 1611   6>,  	Ak2 --   1/16th( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(142)
printNotes: i= 85-<1751 1751    >,  	Bb2 -- 1/16th..( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(142)
printNotes: i= 86-<1840 1957 -117>,  	 C3 -- 1/64th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(142)
printNotes: i= 87-<1765 1751  14>,  	Bb2 -- 1/32nd..( 16) <      > 	V 16 - M 18	= -2  %-12  	q=  +  %+0  	 0.087(142)
printNotes: i= 88-<1966 1957   9>,  	 C3 --  1/16th.( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(142)
printNotes: i= 89-<1957 2170 -213>,  	 D3 --  1/32nd.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(142)
