	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2666 2668  -2>,  	 G2 --    1/4th(119) <      > 	V116 - M119	= -3  %-3  	q= -3  %-3  	 0.668(87)
printNotes: i= 42-<2779 2787  -8>,  	Ab2 --    1/4th(119) <1*sela> 	V143 - M119	=+24  %+17  	q=+24  %+17  	 0.824(87)
printNotes: i= 43-<2919 2942 -23>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(87)
printNotes: i= 44-<2681 2787 -106>,  	Ab2 --   1/8th.( 89) <      > 	V 93 - M 89	= +4  %+4  	q= +4  %+4  	 0.534(87)


silence
printNotes: i= 45-<   0   40 -40>,  	Slc --    1/8th( 59) <      > 	V 67 - M124	=-57  %-85  	q= +8  %+12  	 0.383(87)<-----%85   %12

printNotes: i= 46-<1549 1468  81>,  	 G1 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)
printNotes: i= 47-<2232 2268 -36>,  	Eb2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 48-<2486 2468  18>,  	 F2 -- 1/16th..( 52) <      > 	V 55 - M 52	= +3  %+5  	q= +3  %+5  	 0.313(87)
printNotes: i= 49-<2674 2668   6>,  	 G2 --    1/8th( 59) <      > 	V 63 - M 59	= +4  %+6  	q= +4  %+6  	 0.360(87)
printNotes: i= 50-<2698 2668  30>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)<-- same note
printNotes: i= 51-<2916 2942 -26>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 52-<2703 2668  35>,  	 G2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(87)
printNotes: i= 53-<2754 2787 -33>,  	Ab2 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(87)
printNotes: i= 54-<2672 2668   4>,  	 G2 --   1/16th( 30) <      > 	V 28 - M 26	= +2  %+7  	q= -2  %-7  	 0.157(87)
printNotes: i= 55-<2498 2468  30>,  	 F2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 56-<2674 2668   6>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 57-<2830 2820  10>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 58-<2518 2468  50>,  	 F2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(87)
printNotes: i= 59-<2724 2787 -63>,  	Ab2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 60-<2465 2468  -3>,  	 F2 -- 1/16th..( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(87)
printNotes: i= 61-<2676 2668   8>,  	 G2 --  1/8th..(104) <      > 	V110 - M104	= +6  %+5  	q= +6  %+5  	 0.633(87)
printNotes: i= 62-<2534 2468  66>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 63-<2682 2820 -138>,  	Ak2 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(87)
