	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1610 1597  13>,  	Ak2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(79)
printNotes: i= 42-<1459 1461  -2>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 43-<1610 1597  13>,  	Ak2 --    1/4th(131) <      > 	V142 - M131	=+11  %+8  	q=+11  %+8  	 0.819(79)
printNotes: i= 44-<1041 1954 -913>,  	 C3 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(79)
printNotes: i= 45-<1625 1597  28>,  	Ak2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(79)


silence
printNotes: i= 46-<   0   40 -40>,  	Slc --  1/8th..(114) <      > 	V107 - M131	=-24  %-22  	q= -7  %-7  	 0.615(79)<-----%22   %7

printNotes: i= 47-<1703 1733 -30>,  	Bb2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(79)
printNotes: i= 48-<1899 1954 -55>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 49-<1593 1597  -4>,  	Ak2 --  1/8th..(114) <      > 	V109 - M114	= -5  %-5  	q= -5  %-5  	 0.627(79)
printNotes: i= 50-<1807 1833 -26>,  	 B2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 51-<1597 1597    >,  	Ak2 --   1/8th.( 98) <      > 	V 95 - M 98	= -3  %-3  	q= -3  %-3  	 0.546(79)
printNotes: i= 52-<1788 1833 -45>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(79)
printNotes: i= 53-<1602 1597   5>,  	Ak2 --    1/8th( 65) <      > 	V 62 - M 65	= -3  %-5  	q= -3  %-5  	 0.354(79)
printNotes: i= 54-<1809 1833 -24>,  	 B2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(79)
printNotes: i= 55-<1600 1597   3>,  	Ak2 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(79)
printNotes: i= 56-<1743 1733  10>,  	Bb2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(79)
printNotes: i= 57-<1606 1597   9>,  	Ak2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(79)
printNotes: i= 58-<1733 1733    >,  	Bb2 --   1/4th.(196) <      > 	V198 - M196	= +2  %+1  	q= +2  %+1  	 1.144(79)
printNotes: i= 59-<1599 1954 -355>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
