	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2378 2355  23>,  	 E3 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)
printNotes: i= 42-<1785 2781 -996>,  	Ab3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 43-<2681 2681    >,  	 G3 --    1/4th(118) <      > 	V123 - M118	= +5  %+4  	q= +5  %+4  	 0.708(87)
printNotes: i= 44-<2462 2462    >,  	 F3 --  1/4th..(207) <      > 	V212 - M207	= +5  %+2  	q= +5  %+2  	 1.225(87)
printNotes: i= 45-<2362 2315  47>,  	Ek3 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(87)
printNotes: i= 46-<2475 2462  13>,  	 F3 --  1/4th..(207) <      > 	V207 - M207	=  +  %+0  	q=  +  %+0  	 1.196(87)


silence
printNotes: i= 47-<   0   40 -40>,  	Slc --    1/4th(118) <1*sela> 	V142 - M189	=-47  %-33  	q=+24  %+17  	 0.819(87)<-----%33   %17

printNotes: i= 48-<1596 1462 134>,  	 G2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 49-<2379 2462 -83>,  	 F3 -- 1/16th..( 52) <      > 	V 50 - M 52	= -2  %-4  	q= -2  %-4  	 0.284(87)
printNotes: i= 50-<2316 2270  46>,  	Eb3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 51-<2448 2462 -14>,  	 F3 --    1/8th( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(87)
printNotes: i= 52-<2317 2270  47>,  	Eb3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 53-<2449 2462 -13>,  	 F3 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 54-<2202 2185  17>,  	 D3 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 55-<2303 2270  33>,  	Eb3 --    1/8th( 59) <      > 	V 56 - M 59	= -3  %-5  	q= -3  %-5  	 0.319(87)
printNotes: i= 56-<2597 2681 -84>,  	 G3 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(87)
printNotes: i= 57-<2327 2315  12>,  	Ek3 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(87)
printNotes: i= 58-<2067 2185 -118>,  	 D3 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 59-<2474 2462  12>,  	 F3 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(87)
printNotes: i= 60-<2189 2270 -81>,  	Eb3 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 61-<2494 2462  32>,  	 F3 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(87)
printNotes: i= 62-<2162 2270 -108>,  	Eb3 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 63-<2490 2462  28>,  	 F3 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(87)
printNotes: i= 64-<2702 2681  21>,  	 G3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 65-<2348 2270  78>,  	Eb3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 66-<2461 2462  -1>,  	 F3 --    1/8th( 59) <      > 	V 66 - M 59	= +7  %+11  	q= +7  %+11  	 0.377(87)
printNotes: i= 67-<2386 2355  31>,  	 E3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 68-<2464 2462   2>,  	 F3 --     half(237) <      > 	V237 - M237	=  +  %+0  	q=  +  %+0  	 1.370(87)
printNotes: i= 69-<2391 2355  36>,  	 E3 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(87)
printNotes: i= 70-<2573 2681 -108>,  	 G3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
