	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2119 2162 -43>,  	 D3 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(97)
printNotes: i= 42-<1926 1957 -31>,  	 C3 --  1/4th..(187) <      > 	V177 - M187	=-10  %-6  	q=-10  %-6  	 1.022(97)
printNotes: i= 43-<1511 1601 -90>,  	Ak2 --   1/16th( 27) <      > 	V 30 - M 27	= +3  %+10  	q= +3  %+10  	 0.168(97)
printNotes: i= 44-<1749 1746   3>,  	Bb2 --   1/16th( 27) <      > 	V 30 - M 27	= +3  %+10  	q= +3  %+10  	 0.168(97)
printNotes: i= 45-<1947 1957 -10>,  	 C3 --  1/16th.( 40) <      > 	V 35 - M 40	= -5  %-14  	q= -5  %-14  	 0.197(97)
printNotes: i= 46-<2138 2162 -24>,  	 D3 --   1/32nd( 13) <      > 	V 13 - M 12	= +1  %+8  	q=  +  %+0  	 0.070(97)
printNotes: i= 47-<1965 1957   8>,  	 C3 --    1/8th( 53) <      > 	V 50 - M 53	= -3  %-6  	q= -3  %-6  	 0.284(97)
printNotes: i= 48-<1680 2162 -482>,  	 D3 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(97)
printNotes: i= 49-<1956 1957  -1>,  	 C3 --  1/16th.( 40) <      > 	V 36 - M 40	= -4  %-11  	q= -4  %-11  	 0.203(97)
printNotes: i= 50-<2020 2057 -37>,  	Db3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)
printNotes: i= 51-<1956 1957  -1>,  	 C3 --  1/16th.( 40) <      > 	V 43 - M 47	= -4  %-9  	q= +3  %+7  	 0.244(97)


silence
printNotes: i= 52-<   0   40 -40>,  	Slc --  1/32nd.( 20) <      > 	V 20 - M160	=-140  %-700  	q=  +  %+0  	 0.110(97)<-----%700   %0

printNotes: i= 53-<1615 1601  14>,  	Ak2 -- 1/16th..( 47) <      > 	V 49 - M 47	= +2  %+4  	q= +2  %+4  	 0.279(97)
printNotes: i= 54-<1766 1746  20>,  	Bb2 --   1/16th( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(97)
printNotes: i= 55-<1949 1957  -8>,  	 C3 --  1/32nd.( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(97)
printNotes: i= 56-<1991 1957  34>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)<-- same note
