	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1450 1481 -31>,  	 G2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(79)
printNotes: i= 42-<1465 1608 -143>,  	Ak2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 43-<1475 1481  -6>,  	 G2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(79)


silence
printNotes: i= 44-<   0   40 -40>,  	Slc --    1/8th( 66) <      > 	V 67 - M 98	=-31  %-46  	q= +1  %+1  	 0.383(79)<-----%46   %1

printNotes: i= 45-<1305 1282  23>,  	 F2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(79)
printNotes: i= 46-<1749 1743   6>,  	Bb2 --   1/8th.( 98) <      > 	V105 - M 98	= +7  %+7  	q= +7  %+7  	 0.604(79)
printNotes: i= 47-<1598 1608 -10>,  	Ak2 -- 1/16th..( 57) <      > 	V 57 - M 57	=  +  %+0  	q=  +  %+0  	 0.325(79)
printNotes: i= 48-<1981 1962  19>,  	 C3 --  1/16th.( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(79)
printNotes: i= 49-<2107 2154 -47>,  	 D3 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(79)
printNotes: i= 50-<1405 1743 -338>,  	Bb2 --   1/8th.( 98) <      > 	V 91 - M 98	= -7  %-8  	q= -7  %-8  	 0.522(79)
printNotes: i= 51-<2165 2154  11>,  	 D3 --  1/8th..(115) <      > 	V112 - M115	= -3  %-3  	q= -3  %-3  	 0.644(79)
printNotes: i= 52-<1971 1962   9>,  	 C3 --   1/8th.( 98) <      > 	V105 - M 98	= +7  %+7  	q= +7  %+7  	 0.604(79)
printNotes: i= 53-<1760 1743  17>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
