	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2522 2512  10>,  	Bb2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 39-<2678 2675   3>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 40-<2457 2427  30>,  	 A2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(88)<-----%24   %16

printNotes: i= 41-<2614 2512 102>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 42-<2420 2427  -7>,  	 A2 --    1/8th( 59) <      > 	V 64 - M 44	=+20  %+31  	q= +5  %+8  	 0.366(88)<-----%31   %8

printNotes: i= 43-<2286 2512 -226>,  	Bb2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i= 44-<2676 2675   1>,  	 C3 --    1/8th( 59) <      > 	V 64 - M 59	= +5  %+8  	q= +5  %+8  	 0.366(88)
printNotes: i= 45-<2519 2512   7>,  	Bb2 --   1/4th.(176) <      > 	V169 - M117	=+52  %+31  	q= -7  %-4  	 0.975(88)<-----%31   %4

printNotes: i= 46-<2440 2427  13>,  	 A2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(88)
printNotes: i= 47-<2545 2888 -343>,  	 D3 --  1/32nd.( 22) <      > 	V 21 - M 59	=-38  %-181  	q= -1  %-5  	 0.116(88)<-----%181   %5

printNotes: i= 48-<2277 2512 -235>,  	Bb2 --   1/8th.( 88) <      > 	V 84 - M 29	=+55  %+65  	q= -4  %-5  	 0.482(88)<-----%65   %5



silence
printNotes: i= 49-<   0   40 -40>,  	Slc --   1/32nd( 15) <      > 	V 15 - M 88	=-73  %-487  	q=  +  %+0  	 0.081(88)<-----%487   %0 <<

printNotes: i= 50-<2217 2512 -295>,  	Bb2 --    1/8th( 59) <      > 	V 66 - M 44	=+22  %+33  	q= +7  %+11  	 0.377(88)<-----%33   %11

