	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<   0   40 -40>,  	Slc --  1/64th.( 11) <      > 	V 11 - M 14	= -3  %-27  	q=  +  %+0  	 0.058(90)<-----%27   %0 <<

printNotes: i= 39-<2275 2680 -405>,  	 C3 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(90)
printNotes: i= 40-<2536 2503  33>,  	Bb2 --  1/16th.( 43) <      > 	V 44 - M 29	=+15  %+34  	q= +1  %+2  	 0.250(90)<-----%34   %2

printNotes: i= 41-<2421 2420   1>,  	 A2 -- 1/32nd..( 25) <      > 	V 26 - M 29	= -3  %-12  	q= +1  %+4  	 0.145(90)<-----%12   %4

printNotes: i= 42-<2251 2200  51>,  	 G2 --  1/32nd.( 22) <      > 	V 22 - M 29	= -7  %-32  	q=  +  %+0  	 0.122(90)<-----%32   %0

printNotes: i= 43-<2087 2100 -13>,  	F#2 --  1/64th.( 11) <      > 	V 12 - M 29	=-17  %-142  	q= +1  %+8  	 0.064(90)<-----%142   %8 <<

printNotes: i= 44-<2257 2200  57>,  	 G2 -- 1/16th..( 50) <      > 	V 49 - M 29	=+20  %+41  	q= -1  %-2  	 0.279(90)<-----%41   %2

printNotes: i= 45-<2431 2420  11>,  	 A2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(90)<-----%53   %16

printNotes: i= 46-<2048 2200 -152>,  	 G2 --     half(230) <2*sela> 	V258 - M230	=+28  %+11  	q=+28  %+11  	 1.492(90)


silence
printNotes: i= 47-<   0   40 -40>,  	Slc --  whole..(804) <-2*sela> 	V774 - M919	=-145  %-19  	q=-30  %-4  	 4.487(90)<-----%19   %4

printNotes: i= 48-<2150 2680 -530>,  	 C3 --  1/16th.( 43) <      > 	V 44 - M 29	=+15  %+34  	q= +1  %+2  	 0.250(90)<-----%34   %2

printNotes: i= 49-<2524 2503  21>,  	Bb2 --    1/8th( 57) <      > 	V 69 - M 57	=+12  %+17  	q=+12  %+17  	 0.395(90)
printNotes: i= 50-<2415 2420  -5>,  	 A2 --  1/32nd.( 22) <      > 	V 23 - M 57	=-34  %-148  	q= +1  %+4  	 0.128(90)<-----%148   %4



silence
printNotes: i= 51-<   0   40 -40>,  	Slc --  1/32nd.( 22) <      > 	V 20 - M 14	= +6  %+30  	q= -2  %-10  	 0.110(90)<-----%30   %10

