	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1978 2217 -239>,  	 G2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 39-<2389 2481 -92>,  	Bb2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 40-<2444 2428  16>,  	 A2 --    128th(  4) <      > 	V  5 - M 32	=-27  %-540  	q= +1  %+20  	 0.023(80)<-----%540   %20 <<

printNotes: i= 41-<2476 2481  -5>,  	Bb2 --  1/16th.( 48) <      > 	V 48 - M 32	=+16  %+33  	q=  +  %+0  	 0.273(80)<-----%33   %0

printNotes: i= 42-<2434 2428   6>,  	 A2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(80)<-----%29   %7

printNotes: i= 43-<2465 2481 -16>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 44-<2422 2428  -6>,  	 A2 -- 1/16th..( 56) <      > 	V 52 - M 32	=+20  %+38  	q= -4  %-8  	 0.296(80)<-----%38   %8

printNotes: i= 45-<2423 2481 -58>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 46-<2211 2217  -6>,  	 G2 --    1/4th(129) <      > 	V133 - M129	= +4  %+3  	q= +4  %+3  	 0.766(80)
printNotes: i= 47-<2497 2481  16>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 48-<2444 2428  16>,  	 A2 --   1/16th( 32) <      > 	V 34 - M 16	=+18  %+53  	q= +2  %+6  	 0.192(80)<-----%53   %6

printNotes: i= 49-<2207 2217 -10>,  	 G2 --   1/16th( 32) <      > 	V 36 - M 16	=+20  %+56  	q= +4  %+11  	 0.203(80)<-----%56   %11

printNotes: i= 50-<2436 2428   8>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 51-<2235 2217  18>,  	 G2 --    1/8th( 64) <      > 	V 69 - M 48	=+21  %+30  	q= +5  %+7  	 0.395(80)<-----%30   %7

printNotes: i= 52-<2115 2082  33>,  	F#2 --  1/16th.( 48) <      > 	V 49 - M 21	=+28  %+57  	q= +1  %+2  	 0.279(80)<-----%57   %2

printNotes: i= 53-<2337 2217 120>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 21	= -3  %-17  	q= +2  %+11  	 0.099(80)<-----%17   %11

printNotes: i= 54-<2098 2082  16>,  	F#2 --    1/4th(129) <      > 	V138 - M118	=+20  %+14  	q= +9  %+7  	 0.795(80)<-----%14   %7

printNotes: i= 55-<2205 2217 -12>,  	 G2 --    1/8th( 64) <      > 	V 78 - M 64	=+14  %+18  	q=+14  %+18  	 0.447(80)
printNotes: i= 56-<2433 2428   5>,  	 A2 --    1/8th( 64) <      > 	V 67 - M 64	= +3  %+4  	q= +3  %+4  	 0.383(80)
printNotes: i= 57-<2114 2082  32>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 58-<2239 2217  22>,  	 G2 --    half.(386) <1*sela> 	V404 - M386	=+18  %+4  	q=+18  %+4  	 2.339(80)


silence
printNotes: i= 59-<   0   40 -40>,  	Slc --  whole..(901) <1*sela> 	V919 - M772	=+147  %+16  	q=+18  %+2  	 5.329(80)<-----%16   %2

printNotes: i= 60-<1378 1709 -331>,  	 D2 --  1/8th..(113) <      > 	V113 - M 97	=+16  %+14  	q=  +  %+0  	 0.650(80)<-----%14   %0

printNotes: i= 61-<2188 2217 -29>,  	 G2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 62-<2234 2217  17>,  	 G2 --    1/4th(129) <      > 	V129 - M129	=  +  %+0  	q=  +  %+0  	 0.743(80)<-- same note
printNotes: i= 63-<1373 1982 -609>,  	 F2 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(80)<-----%45   %9

printNotes: i= 64-<2210 2217  -7>,  	 G2 --     half(257) <1*sela> 	V273 - M257	=+16  %+6  	q=+16  %+6  	 1.579(80)
printNotes: i= 65-<2104 2082  22>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 66-<1617 2217 -600>,  	 G2 --    1/4th(129) <      > 	V138 - M 32	=+106  %+77  	q= +9  %+7  	 0.795(80)<-----%77   %7

printNotes: i= 67-<2231 2217  14>,  	 G2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(80)<-- same note


silence
printNotes: i= 68-<   0   40 -40>,  	Slc --   1/4th.(193) <-1*sela> 	V173 - M257	=-84  %-49  	q=-20  %-12  	 0.998(80)<-----%49   %12

printNotes: i= 69-<1929 2428 -499>,  	 A2 -- 1/16th..( 56) <      > 	V 53 - M 48	= +5  %+9  	q= -3  %-6  	 0.302(80)<-----%9   %6

