	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1836 1811  25>,  	Ek2 --   1/32nd( 14) <      > 	V 15 - M 29	=-14  %-93  	q= +1  %+7  	 0.081(90)<-----%93   %7 <<

printNotes: i= 39-<2098 2077  21>,  	F#2 --    1/8th( 57) <      > 	V 66 - M 57	= +9  %+14  	q= +9  %+14  	 0.377(90)
printNotes: i= 40-<2148 2184 -36>,  	 G2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 41-<2082 2077   5>,  	F#2 --   1/32nd( 14) <      > 	V 17 - M 29	=-12  %-71  	q= +3  %+18  	 0.093(90)<-----%71   %18

printNotes: i= 42-<2147 2184 -37>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)
printNotes: i= 43-<2111 2077  34>,  	F#2 --    1/8th( 57) <      > 	V 60 - M 29	=+31  %+52  	q= +3  %+5  	 0.342(90)<-----%52   %5



silence
printNotes: i= 44-<1845   40 1805>,  	Slc --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(90)
printNotes: i= 45-<1777 1811 -34>,  	Ek2 --    128th(  4) <      > 	V  3 - M 29	=-26  %-867  	q= -1  %-33  	 0.012(90)<-----%867   %33 <<

printNotes: i= 46-<1691 1694  -3>,  	 D2 --    1/8th( 57) <      > 	V 59 - M 29	=+30  %+51  	q= +2  %+3  	 0.337(90)<-----%51   %3

printNotes: i= 47-<1798 1811 -13>,  	Ek2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(90)
printNotes: i= 48-<1724 1694  30>,  	 D2 --     half(229) <1*sela> 	V248 - M229	=+19  %+8  	q=+19  %+8  	 1.434(90)


silence
printNotes: i= 49-<   0   40 -40>,  	Slc --  1/4th..(201) <      > 	V213 - M115	=+98  %+46  	q=+12  %+6  	 1.231(90)<-----%46   %6

printNotes: i= 50-<1642 1694 -52>,  	 D2 --    1/8th( 57) <      > 	V 59 - M 43	=+16  %+27  	q= +2  %+3  	 0.337(90)<-----%27   %3

printNotes: i= 51-<1793 1811 -18>,  	Ek2 -- 1/32nd..( 25) <      > 	V 23 - M 29	= -6  %-26  	q= -2  %-9  	 0.128(90)<-----%26   %9

printNotes: i= 52-<2094 2077  17>,  	F#2 --  1/16th.( 43) <      > 	V 36 - M 29	= +7  %+19  	q= -7  %-19  	 0.203(90)
printNotes: i= 53-<1811 1811    >,  	Ek2 --  1/32nd.( 21) <      > 	V 19 - M 14	= +5  %+26  	q= -2  %-11  	 0.104(90)<-----%26   %11

printNotes: i= 54-<1909 2077 -168>,  	F#2 --  1/64th.( 11) <      > 	V  8 - M 14	= -6  %-75  	q= -3  %-38  	 0.041(90)<-----%75   %38 <<

printNotes: i= 55-<1801 1811 -10>,  	Ek2 --  1/32nd.( 21) <      > 	V 21 - M 14	= +7  %+33  	q=  +  %+0  	 0.116(90)<-----%33   %0

printNotes: i= 56-<1819 2077 -258>,  	F#2 --  1/64th.( 11) <      > 	V  8 - M 14	= -6  %-75  	q= -3  %-38  	 0.041(90)<-----%75   %38 <<

printNotes: i= 57-<1809 1811  -2>,  	Ek2 -- 1/32nd..( 25) <      > 	V 25 - M 29	= -4  %-16  	q=  +  %+0  	 0.139(90)<-----%16   %0

printNotes: i= 58-<1696 1694   2>,  	 D2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(90)
printNotes: i= 59-<1803 1811  -8>,  	Ek2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(90)
printNotes: i= 60-<1685 1694  -9>,  	 D2 --  1/32nd.( 21) <      > 	V 18 - M 14	= +4  %+22  	q= -3  %-17  	 0.099(90)<-----%22   %17

printNotes: i= 61-<1822 1811  11>,  	Ek2 --     half(229) <3*sela> 	V280 - M344	=-64  %-23  	q=+51  %+18  	 1.620(90)<-----%23   %18



silence
printNotes: i= 62-<   0   40 -40>,  	Slc --   1/4th.(172) <-1*sela> 	V147 - M115	=+32  %+22  	q=-25  %-17  	 0.848(90)<-----%22   %17

printNotes: i= 63-<1685 1694  -9>,  	 D2 --  1/16th.( 43) <      > 	V 45 - M 43	= +2  %+4  	q= +2  %+4  	 0.255(90)
printNotes: i= 64-<1813 1811   2>,  	Ek2 --   1/16th( 29) <      > 	V 32 - M 43	=-11  %-34  	q= +3  %+9  	 0.180(90)<-----%34   %9

printNotes: i= 65-<2037 2077 -40>,  	F#2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)
printNotes: i= 66-<2159 2184 -25>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)
printNotes: i= 67-<2047 2077 -30>,  	F#2 -- 1/32nd..( 25) <      > 	V 23 - M 14	= +9  %+39  	q= -2  %-9  	 0.128(90)<-----%39   %9

printNotes: i= 68-<2142 2184 -42>,  	 G2 --    128th(  4) <      > 	V  4 - M 14	=-10  %-250  	q=  +  %+0  	 0.017(90)<-----%250   %0 <<

printNotes: i= 69-<2059 2077 -18>,  	F#2 -- 1/32nd..( 25) <      > 	V 23 - M 14	= +9  %+39  	q= -2  %-9  	 0.128(90)<-----%39   %9

printNotes: i= 70-<2152 2184 -32>,  	 G2 --   128th.(  5) <      > 	V  5 - M 14	= -9  %-180  	q=  +  %+0  	 0.023(90)<-----%180   %0 <<

printNotes: i= 71-<2065 2077 -12>,  	F#2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(90)
printNotes: i= 72-<1822 1811  11>,  	Ek2 --  1/32nd.( 21) <      > 	V 22 - M 14	= +8  %+36  	q= +1  %+5  	 0.122(90)<-----%36   %5

printNotes: i= 73-<2046 2077 -31>,  	F#2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(90)
printNotes: i= 74-<1837 1811  26>,  	Ek2 -- 1/32nd..( 25) <      > 	V 23 - M 14	= +9  %+39  	q= -2  %-9  	 0.128(90)<-----%39   %9

printNotes: i= 75-<2163 2184 -21>,  	 G2 --  1/32nd.( 21) <      > 	V 18 - M 29	=-11  %-61  	q= -3  %-17  	 0.099(90)<-----%61   %17

printNotes: i= 76-<2084 2077   7>,  	F#2 --     half(229) <      > 	V229 - M201	=+28  %+12  	q=  +  %+0  	 1.324(90)<-----%12   %0



silence
printNotes: i= 77-<   0   40 -40>,  	Slc --    1/4th(115) <      > 	V119 - M115	= +4  %+3  	q= +4  %+3  	 0.685(90)
printNotes: i= 78-<1764 1811 -47>,  	Ek2 -- 1/16th..( 50) <      > 	V 50 - M 57	= -7  %-14  	q=  +  %+0  	 0.284(90)<-----%14   %0

printNotes: i= 79-<2040 2077 -37>,  	F#2 --  1/16th.( 43) <      > 	V 44 - M 43	= +1  %+2  	q= +1  %+2  	 0.250(90)
printNotes: i= 80-<2174 2184 -10>,  	 G2 --  1/16th.( 43) <      > 	V 38 - M 43	= -5  %-13  	q= -5  %-13  	 0.215(90)
printNotes: i= 81-<2417 2419  -2>,  	 A2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(90)
printNotes: i= 82-<2175 2184  -9>,  	 G2 --  1/32nd.( 21) <      > 	V 18 - M 14	= +4  %+22  	q= -3  %-17  	 0.099(90)<-----%22   %17

printNotes: i= 83-<2390 2419 -29>,  	 A2 --  1/64th.( 11) <      > 	V 10 - M 14	= -4  %-40  	q= -1  %-10  	 0.052(90)<-----%40   %10 <<

printNotes: i= 84-<2176 2184  -8>,  	 G2 --  1/32nd.( 21) <      > 	V 20 - M 14	= +6  %+30  	q= -1  %-5  	 0.110(90)<-----%30   %5

printNotes: i= 85-<2269 2419 -150>,  	 A2 --  128th..(  6) <      > 	V  6 - M 14	= -8  %-133  	q=  +  %+0  	 0.029(90)<-----%133   %0 <<

printNotes: i= 86-<2184 2184    >,  	 G2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(90)
printNotes: i= 87-<2051 2077 -26>,  	F#2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(90)
printNotes: i= 88-<2195 2184  11>,  	 G2 --  1/64th.( 11) <      > 	V  8 - M 14	= -6  %-75  	q= -3  %-38  	 0.041(90)<-----%75   %38 <<

printNotes: i= 89-<2053 2077 -24>,  	F#2 --  1/32nd.( 21) <      > 	V 18 - M 14	= +4  %+22  	q= -3  %-17  	 0.099(90)<-----%22   %17

printNotes: i= 90-<2305 2184 121>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 14	= -1  %-8  	q=  +  %+0  	 0.070(90)
printNotes: i= 91-<2060 2077 -17>,  	F#2 --   1/4th.(172) <-1*sela> 	V157 - M115	=+42  %+27  	q=-15  %-10  	 0.906(90)<-----%27   %10

printNotes: i= 92-<2194 2184  10>,  	 G2 --  1/8th..(100) <      > 	V104 - M 57	=+47  %+45  	q= +4  %+4  	 0.598(90)<-----%45   %4

printNotes: i= 93-<2077 2077    >,  	F#2 --   1/32nd( 14) <      > 	V 14 - M 29	=-15  %-107  	q=  +  %+0  	 0.075(90)<-----%107   %0 <<

