	voice Midi Diff								present		 Best		Sec

printNotes: i= 39-<   0   40 -40>,  	Slc --    1/4th(125) <1*sela> 	V144 - M125	=+19  %+13  	q=+19  %+13  	 0.830(83)
printNotes: i= 40-<1737 1694  43>,  	 D2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i= 41-<2081 2071  10>,  	F#2 --     half(250) <      > 	V258 - M282	=-24  %-9  	q= +8  %+3  	 1.492(83)<-----%9   %3

printNotes: i= 42-<2176 2188 -12>,  	 G2 --   1/8th.( 94) <      > 	V 84 - M 63	=+21  %+25  	q=-10  %-12  	 0.482(83)<-----%25   %12

printNotes: i= 43-<2346 2480 -134>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<



silence
printNotes: i= 44-< 150   40 110>,  	Slc -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 45-<2339 2405 -66>,  	 A2 --   1/16th( 31) <      > 	V 37 - M 47	=-10  %-27  	q= +6  %+16  	 0.209(83)<-----%27   %16

printNotes: i= 46-<2164 2188 -24>,  	 G2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 47-<2389 2405 -16>,  	 A2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 48-<2199 2188  11>,  	 G2 --  1/16th.( 47) <      > 	V 46 - M 31	=+15  %+33  	q= -1  %-2  	 0.261(83)<-----%33   %2

printNotes: i= 49-<2330 2405 -75>,  	 A2 --   1/64th(  8) <      > 	V  8 - M 31	=-23  %-288  	q=  +  %+0  	 0.041(83)<-----%288   %0 <<

printNotes: i= 50-<2068 2071  -3>,  	F#2 --  1/16th.( 47) <      > 	V 50 - M 31	=+19  %+38  	q= +3  %+6  	 0.284(83)<-----%38   %6

