	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1774 1799 -25>,  	 G2 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
printNotes: i= 42-<1596 1600  -4>,  	 F2 --    1/4th(145) <      > 	V147 - M145	= +2  %+1  	q= +2  %+1  	 0.848(71)
printNotes: i= 43-<1702 1799 -97>,  	 G2 --  1/8th..(127) <      > 	V127 - M127	=  +  %+0  	q=  +  %+0  	 0.731(71)


silence
printNotes: i= 44-<   0   40 -40>,  	Slc --    1/4th(145) <      > 	V149 - M160	=-11  %-7  	q= +4  %+3  	 0.859(71)
printNotes: i= 45-<1386 1318  68>,  	 D2 -- 1/32nd..( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(71)
printNotes: i= 46-<1764 1992 -228>,  	 A2 --   1/8th.(109) <-1*sela> 	V 91 - M 73	=+18  %+20  	q=-18  %-20  	 0.522(71)
printNotes: i= 47-<1739 1799 -60>,  	 G2 --    1/4th(145) <      > 	V147 - M145	= +2  %+1  	q= +2  %+1  	 0.848(71)
printNotes: i= 48-<1976 1992 -16>,  	 A2 --  1/32nd.( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(71)
printNotes: i= 49-<1797 1799  -2>,  	 G2 --    1/8th( 73) <      > 	V 79 - M 73	= +6  %+8  	q= +6  %+8  	 0.453(71)
printNotes: i= 50-<1970 1992 -22>,  	 A2 -- 1/64th..( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(71)
printNotes: i= 51-<1816 1799  17>,  	 G2 -- 1/32nd..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(71)
printNotes: i= 52-<2011 2079 -68>,  	Bb2 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
printNotes: i= 53-<1799 1799    >,  	 G2 --  1/16th.( 55) <      > 	V 53 - M 55	= -2  %-4  	q= -2  %-4  	 0.302(71)
printNotes: i= 54-<1578 1600 -22>,  	 F2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(71)
printNotes: i= 55-<1783 1799 -16>,  	 G2 --   1/16th( 36) <      > 	V 42 - M 36	= +6  %+14  	q= +6  %+14  	 0.238(71)
printNotes: i= 56-<1860 1992 -132>,  	 A2 --  1/64th.( 14) <      > 	V 10 - M 14	= -4  %-40  	q= -4  %-40  	 0.052(71)
printNotes: i= 57-<1120 1600 -480>,  	 F2 --   1/16th( 36) <      > 	V 43 - M 36	= +7  %+16  	q= +7  %+16  	 0.244(71)
printNotes: i= 58-<1779 1799 -20>,  	 G2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 59-<1600 1600    >,  	 F2 --  1/8th..(127) <      > 	V126 - M127	= -1  %-1  	q= -1  %-1  	 0.726(71)
printNotes: i= 60-<1795 1799  -4>,  	 G2 --    1/8th( 73) <      > 	V 70 - M 73	= -3  %-4  	q= -3  %-4  	 0.401(71)
printNotes: i= 61-< 863 1992 -1129>,  	 A2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)
printNotes: i= 62-<1580 1799 -219>,  	 G2 -- 1/32nd..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(71)


silence
printNotes: i= 63-<   0   40 -40>,  	Slc --    1/4th(145) <      > 	V143 - M153	=-10  %-7  	q= -2  %-1  	 0.824(71)
printNotes: i= 64-<1261 1118 143>,  	 C2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(71)
printNotes: i= 65-<1587 1600 -13>,  	 F2 --   1/8th.(109) <      > 	V101 - M109	= -8  %-8  	q= -8  %-8  	 0.580(71)
printNotes: i= 66-<1796 1799  -3>,  	 G2 --  1/32nd.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(71)
printNotes: i= 67-<1958 1992 -34>,  	 A2 -- 1/32nd..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(71)
printNotes: i= 68-<1822 1799  23>,  	 G2 --   1/16th( 36) <      > 	V 34 - M 36	= -2  %-6  	q= -2  %-6  	 0.192(71)
printNotes: i= 69-<1971 1992 -21>,  	 A2 --   1/16th( 36) <      > 	V 44 - M 36	= +8  %+18  	q= +8  %+18  	 0.250(71)
printNotes: i= 70-<2094 2179 -85>,  	 B2 --  1/64th.( 14) <      > 	V 10 - M 14	= -4  %-40  	q= -4  %-40  	 0.052(71)
printNotes: i= 71-<1841 1799  42>,  	 G2 --   1/16th( 36) <      > 	V 39 - M 36	= +3  %+8  	q= +3  %+8  	 0.221(71)
printNotes: i= 72-<1989 1992  -3>,  	 A2 --  1/16th.( 55) <      > 	V 56 - M 55	= +1  %+2  	q= +1  %+2  	 0.319(71)
printNotes: i= 73-<2106 2179 -73>,  	 B2 --  1/64th.( 14) <      > 	V 12 - M 14	= -2  %-17  	q= -2  %-17  	 0.064(71)
printNotes: i= 74-<1799 1799    >,  	 G2 --   1/16th( 36) <      > 	V 39 - M 36	= +3  %+8  	q= +3  %+8  	 0.221(71)
printNotes: i= 75-<1984 1992  -8>,  	 A2 --    1/8th( 73) <      > 	V 69 - M 73	= -4  %-6  	q= -4  %-6  	 0.395(71)
printNotes: i= 76-<2110 2179 -69>,  	 B2 --  1/64th.( 14) <      > 	V 10 - M 14	= -4  %-40  	q= -4  %-40  	 0.052(71)
printNotes: i= 77-<1849 1799  50>,  	 G2 -- 1/16th..( 64) <      > 	V 61 - M 64	= -3  %-5  	q= -3  %-5  	 0.348(71)
printNotes: i= 78-<1989 1992  -3>,  	 A2 --   1/4th.(218) <-2*sela> 	V182 - M218	=-36  %-20  	q=-36  %-20  	 1.051(71)


silence
printNotes: i= 79-<   0   40 -40>,  	Slc --  1/8th..(127) <      > 	V118 - M127	= -9  %-8  	q= -9  %-8  	 0.679(71)
printNotes: i= 80-<1590 1499  91>,  	 E2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)
printNotes: i= 81-<1788 1799 -11>,  	 G2 --  1/16th.( 55) <      > 	V 53 - M 55	= -2  %-4  	q= -2  %-4  	 0.302(71)
printNotes: i= 82-<1995 1992   3>,  	 A2 --   1/16th( 36) <      > 	V 38 - M 36	= +2  %+5  	q= +2  %+5  	 0.215(71)
printNotes: i= 83-<2086 2079   7>,  	Bb2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(71)
printNotes: i= 84-<2019 1992  27>,  	 A2 --  1/32nd.( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(71)
printNotes: i= 85-<2141 2179 -38>,  	 B2 --   1/16th( 36) <      > 	V 41 - M 36	= +5  %+12  	q= +5  %+12  	 0.232(71)
printNotes: i= 86-<1981 1992 -11>,  	 A2 --   1/16th( 36) <      > 	V 34 - M 36	= -2  %-6  	q= -2  %-6  	 0.192(71)
printNotes: i= 87-<2070 2079  -9>,  	Bb2 --   1/16th( 36) <      > 	V 45 - M 55	=-10  %-22  	q= +9  %+20  	 0.255(71)
printNotes: i= 88-<2217 2307 -90>,  	 C3 --  1/64th.( 14) <      > 	V 10 - M  9	= +1  %+10  	q= -4  %-40  	 0.052(71)
printNotes: i= 89-<1994 1992   2>,  	 A2 --   1/16th( 36) <      > 	V 39 - M 36	= +3  %+8  	q= +3  %+8  	 0.221(71)
printNotes: i= 90-<2081 2079   2>,  	Bb2 --  1/16th.( 55) <      > 	V 58 - M 55	= +3  %+5  	q= +3  %+5  	 0.331(71)
printNotes: i= 91-<2254 2307 -53>,  	 C3 --  1/64th.( 14) <      > 	V 11 - M 14	= -3  %-27  	q= -3  %-27  	 0.058(71)
printNotes: i= 92-<2003 1992  11>,  	 A2 --   1/16th( 36) <      > 	V 41 - M 36	= +5  %+12  	q= +5  %+12  	 0.232(71)
printNotes: i= 93-<1946 2079 -133>,  	Bb2 --   1/4th.(218) <      > 	V215 - M218	= -3  %-1  	q= -3  %-1  	 1.242(71)


silence
printNotes: i= 94-<   0   40 -40>,  	Slc --    128th(  5) <      > 	V  6 - M  5	= +1  %+17  	q= +1  %+17  	 0.029(71)
printNotes: i= 95-<1650 1600  50>,  	 F2 --  1/64th.( 14) <      > 	V 11 - M 14	= -3  %-27  	q= -3  %-27  	 0.058(71)
printNotes: i= 96-<2059 2079 -20>,  	Bb2 --   1/32nd( 18) <      > 	V 22 - M 18	= +4  %+18  	q= +4  %+18  	 0.122(71)
printNotes: i= 97-<2004 1992  12>,  	 A2 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(71)
printNotes: i= 98-<2097 2079  18>,  	Bb2 --  1/16th.( 55) <      > 	V 48 - M 55	= -7  %-15  	q= -7  %-15  	 0.273(71)
printNotes: i= 99-<2187 2307 -120>,  	 C3 --   1/16th( 36) <      > 	V 39 - M 36	= +3  %+8  	q= +3  %+8  	 0.221(71)
printNotes: i= 100-<2109 2079  30>,  	Bb2 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(71)
printNotes: i= 101-<2314 2307   7>,  	 C3 --   1/16th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(71)
