	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1827 1597 230>,  	 F2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 42-<2275 2324 -49>,  	 C3 --   1/4th.(169) <      > 	V169 - M169	=  +  %+0  	q=  +  %+0  	 0.975(92)
printNotes: i= 43-<2552 2606 -54>,  	Eb3 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(92)
printNotes: i= 44-<2427 2440 -13>,  	Dk3 --  1/8th..( 98) <      > 	V104 - M 98	= +6  %+6  	q= +6  %+6  	 0.598(92)
printNotes: i= 45-<2220 2324 -104>,  	 C3 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 46-<1908 2808 -900>,  	 F3 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(92)
printNotes: i= 47-<2691 2706 -15>,  	 E3 --   1/8th.( 84) <      > 	V 85 - M 84	= +1  %+1  	q= +1  %+1  	 0.488(92)
printNotes: i= 48-<2800 2808  -8>,  	 F3 --    1/8th( 56) <      > 	V 59 - M 56	= +3  %+5  	q= +3  %+5  	 0.337(92)
printNotes: i= 49-<2975 3026 -51>,  	 G3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(92)
printNotes: i= 50-<2330 2808 -478>,  	 F3 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 51-<1803 2706 -903>,  	 E3 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 52-<1505 2808 -1303>,  	 F3 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i= 53-<2706 2706    >,  	 E3 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 54-< 696 2808 -2112>,  	 F3 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(92)
printNotes: i= 55-<1716 2440 -724>,  	Dk3 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i= 56-<2688 2706 -18>,  	 E3 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 57-<2442 2440   2>,  	Dk3 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 58-<2019 2324 -305>,  	 C3 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 59-<2609 2808 -199>,  	 F3 --    1/8th( 56) <      > 	V 57 - M 56	= +1  %+2  	q= +1  %+2  	 0.325(92)
printNotes: i= 60-<3141 2706 435>,  	 E3 --    1/8th( 56) <      > 	V 53 - M 49	= +4  %+8  	q= -3  %-6  	 0.302(92)
printNotes: i= 61-<3999 2808 1191>,  	 F3 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(92)
printNotes: i= 62-<3890 2706 1184>,  	 E3 --   1/4th.(169) <      > 	V172 - M169	= +3  %+2  	q= +3  %+2  	 0.993(92)
printNotes: i= 63-<3750 2506 1244>,  	 D3 --  1/16th.( 42) <      > 	V 40 - M 42	= -2  %-5  	q= -2  %-5  	 0.226(92)
printNotes: i= 64-<2179 2324 -145>,  	 C3 --     half(225) <2*sela> 	V255 - M225	=+30  %+12  	q=+30  %+12  	 1.474(92)
printNotes: i= 65-<2475 2440  35>,  	Dk3 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(92)


silence
printNotes: i= 66-<   0   40 -40>,  	Slc --    whole(450) <      > 	V455 - M456	= -1  %-0  	q= +5  %+1  	 2.635(92)
printNotes: i= 67-<2085 1895 190>,  	Ab2 --  1/16th.( 42) <      > 	V 35 - M 28	= +7  %+20  	q= -7  %-20  	 0.197(92)
printNotes: i= 68-<2582 2706 -124>,  	 E3 -- 1/32nd..( 25) <      > 	V 23 - M 21	= +2  %+9  	q= -2  %-9  	 0.128(92)


silence
printNotes: i= 69-<   0   40 -40>,  	Slc -- 1/16th..( 49) <      > 	V 47 - M 42	= +5  %+11  	q= -2  %-4  	 0.267(92)<-----%11   %4

printNotes: i= 70-<2640 2706 -66>,  	 E3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(92)
printNotes: i= 71-<2815 2808   7>,  	 F3 --   1/4th.(169) <      > 	V156 - M169	=-13  %-8  	q=-13  %-8  	 0.900(92)
printNotes: i= 72-<2720 2706  14>,  	 E3 --  1/16th.( 42) <      > 	V 38 - M 42	= -4  %-11  	q= -4  %-11  	 0.215(92)
printNotes: i= 73-<2804 2808  -4>,  	 F3 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(92)


silence
printNotes: i= 74-<   0   40 -40>,  	Slc -- 1/32nd..( 25) <      > 	V 23 - M 21	= +2  %+9  	q= -2  %-9  	 0.128(92)
printNotes: i= 75-<2666 2706 -40>,  	 E3 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 76-<2794 2808 -14>,  	 F3 --  1/8th..( 98) <      > 	V100 - M 98	= +2  %+2  	q= +2  %+2  	 0.575(92)


silence
printNotes: i= 77-<   0   40 -40>,  	Slc --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i= 78-<2671 2706 -35>,  	 E3 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)
printNotes: i= 79-<3008 3088 -80>,  	Ab3 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(92)
printNotes: i= 80-<3020 3026  -6>,  	 G3 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)
printNotes: i= 81-<3096 3088   8>,  	Ab3 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 82-<3017 3026  -9>,  	 G3 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(92)
printNotes: i= 83-<3087 3088  -1>,  	Ab3 -- 1/32nd..( 25) <      > 	V 23 - M 21	= +2  %+9  	q= -2  %-9  	 0.128(92)
printNotes: i= 84-<3014 3026 -12>,  	 G3 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(92)
printNotes: i= 85-<3069 3088 -19>,  	Ab3 --   1/32nd( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(92)
printNotes: i= 86-<2832 2808  24>,  	 F3 --    1/8th( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(92)


silence
