	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1895 1879  16>,  	 F2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(79)
printNotes: i= 42-<2101 2098   3>,  	 G2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(79)
printNotes: i= 43-<2161 2224 -63>,  	Ak2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 44-<1882 1879   3>,  	 F2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(79)
printNotes: i= 45-<2114 2098  16>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(79)
printNotes: i= 46-<1891 1879  12>,  	 F2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(79)
printNotes: i= 47-<2097 2098  -1>,  	 G2 --   1/8th.( 98) <      > 	V 91 - M 98	= -7  %-8  	q= -7  %-8  	 0.522(79)
printNotes: i= 48-<2193 2224 -31>,  	Ak2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i= 49-<1910 1879  31>,  	 F2 --   1/32nd( 16) <      > 	V 20 - M 16	= +4  %+20  	q= +4  %+20  	 0.110(79)
printNotes: i= 50-<2079 2098 -19>,  	 G2 --   1/8th.( 98) <      > 	V 87 - M 98	=-11  %-13  	q=-11  %-13  	 0.499(79)
printNotes: i= 51-<2373 2380  -7>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(79)
printNotes: i= 52-<2098 2098    >,  	 G2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(79)


silence
printNotes: i= 53-<   0   40 -40>,  	Slc --    1/4th(131) <      > 	V123 - M128	= -5  %-4  	q= -8  %-7  	 0.708(79)
printNotes: i= 54-<1631 1597  34>,  	 D2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(79)
printNotes: i= 55-<1876 1879  -3>,  	 F2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(79)
printNotes: i= 56-<2084 2098 -14>,  	 G2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(79)
