	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1366 1552 -186>,  	 D2 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
printNotes: i= 42-<1306 2410 -1104>,  	Bk2 --  1/32nd.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(71)
printNotes: i= 43-< 850 2192 -1342>,  	Ak2 --   1/16th( 36) <      > 	V 43 - M 36	= +7  %+16  	q= +7  %+16  	 0.244(71)
printNotes: i= 44-<2304 2410 -106>,  	Bk2 --   1/8th.(109) <      > 	V102 - M109	= -7  %-7  	q= -7  %-7  	 0.586(71)
printNotes: i= 45-<2043 2192 -149>,  	Ak2 --  1/16th.( 54) <      > 	V 54 - M 54	=  +  %+0  	q=  +  %+0  	 0.308(71)
printNotes: i= 46-<1516 2078 -562>,  	 G2 --  1/16th.( 54) <      > 	V 48 - M 54	= -6  %-12  	q= -6  %-12  	 0.273(71)
printNotes: i= 47-<2396 2410 -14>,  	Bk2 --  1/8th..(127) <      > 	V121 - M127	= -6  %-5  	q= -6  %-5  	 0.697(71)
printNotes: i= 48-<2663 2787 -124>,  	 D3 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)


silence
printNotes: i= 49-<   0   40 -40>,  	Slc --   1/4th.(217) <      > 	V204 - M217	=-13  %-6  	q=-13  %-6  	 1.178(71)
printNotes: i= 50-<1974 1834 140>,  	 F2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(71)
printNotes: i= 51-<2258 2358 -100>,  	Bb2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(71)
printNotes: i= 52-<1428 1834 -406>,  	 F2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 53-<2326 2410 -84>,  	Bk2 --   1/4th.(217) <      > 	V211 - M217	= -6  %-3  	q= -6  %-3  	 1.219(71)
printNotes: i= 54-<2229 2192  37>,  	Ak2 --  1/32nd.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(71)
printNotes: i= 55-<2072 2078  -6>,  	 G2 --  1/32nd.( 27) <      > 	V 24 - M 27	= -3  %-12  	q= -3  %-12  	 0.134(71)
