	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2240 2227  13>,  	Ak2 --  1/16th.( 42) <      > 	V 45 - M 42	= +3  %+7  	q= +3  %+7  	 0.255(92)
printNotes: i= 42-<2378 2385  -7>,  	Bb2 --   1/16th( 28) <      > 	V 32 - M 28	= +4  %+12  	q= +4  %+12  	 0.180(92)
printNotes: i= 43-<2300 2577 -277>,  	 C3 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(92)
printNotes: i= 44-<2382 2385  -3>,  	Bb2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 45-<2225 2227  -2>,  	Ak2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(92)
printNotes: i= 46-<2063 2099 -36>,  	 G2 -- 1/32nd..( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(92)
printNotes: i= 47-<1896 1892   4>,  	 F2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i= 48-<2123 2099  24>,  	 G2 -- 1/16th..( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(92)
printNotes: i= 49-<1781 2577 -796>,  	 C3 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 50-<1906 2099 -193>,  	 G2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)


silence
printNotes: i= 51-<   0   40 -40>,  	Slc --    1/4th(112) <      > 	V110 - M117	= -7  %-6  	q= -2  %-2  	 0.633(92)
printNotes: i= 52-<1522 1392 130>,  	 C2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
printNotes: i= 53-<2092 2099  -7>,  	 G2 --    1/8th( 56) <      > 	V 58 - M 56	= +2  %+3  	q= +2  %+3  	 0.331(92)
printNotes: i= 54-<2242 2227  15>,  	Ak2 --  1/16th.( 42) <      > 	V 43 - M 42	= +1  %+2  	q= +1  %+2  	 0.244(92)
printNotes: i= 55-<2439 2485 -46>,  	 B2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 56-<2221 2227  -6>,  	Ak2 --   1/16th( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(92)
printNotes: i= 57-<2092 2099  -7>,  	 G2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 58-<2230 2227   3>,  	Ak2 --  1/16th.( 42) <      > 	V 37 - M 42	= -5  %-14  	q= -5  %-14  	 0.209(92)
printNotes: i= 59-<2360 2385 -25>,  	Bb2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 60-<2624 2577  47>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 61-<2384 2385  -1>,  	Bb2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(92)
printNotes: i= 62-<2232 2227   5>,  	Ak2 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i= 63-<2370 2385 -15>,  	Bb2 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(92)
printNotes: i= 64-<2593 2577  16>,  	 C3 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 65-<2718 2777 -59>,  	 D3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 66-<2571 2577  -6>,  	 C3 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 67-<2388 2385   3>,  	Bb2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 68-<2240 2577 -337>,  	 C3 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(92)
printNotes: i= 69-<2203 2227 -24>,  	Ak2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)
printNotes: i= 70-<1948 2099 -151>,  	 G2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 71-<2357 2385 -28>,  	Bb2 --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(92)
printNotes: i= 72-<2228 2227   1>,  	Ak2 --    1/4th(112) <1*sela> 	V137 - M112	=+25  %+18  	q=+25  %+18  	 0.789(92)
printNotes: i= 73-<2105 2099   6>,  	 G2 --    1/8th( 56) <      > 	V 53 - M 49	= +4  %+8  	q= -3  %-6  	 0.302(92)
printNotes: i= 74-<2254 2227  27>,  	Ak2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(92)
printNotes: i= 75-<2393 2385   8>,  	Bb2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 76-<2549 2577 -28>,  	 C3 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(92)
printNotes: i= 77-<2415 2385  30>,  	Bb2 --  1/32nd.( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(92)
printNotes: i= 78-<2504 2577 -73>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 79-<2254 2227  27>,  	Ak2 --  1/16th.( 42) <      > 	V 38 - M 42	= -4  %-11  	q= -4  %-11  	 0.215(92)
printNotes: i= 80-<2362 2385 -23>,  	Bb2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 81-<2121 2099  22>,  	 G2 --  1/16th.( 42) <      > 	V 37 - M 42	= -5  %-14  	q= -5  %-14  	 0.209(92)
printNotes: i= 82-<2210 2227 -17>,  	Ak2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 83-<1904 1892  12>,  	 F2 --  1/16th.( 42) <      > 	V 36 - M 42	= -6  %-17  	q= -6  %-17  	 0.203(92)


silence
printNotes: i= 84-<   0   40 -40>,  	Slc --    1/4th(112) <      > 	V113 - M123	=-10  %-9  	q= +1  %+1  	 0.650(92)<-----%9   %1

printNotes: i= 85-<1465 1392  73>,  	 C2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 86-<1892 1892    >,  	 F2 -- 1/16th..( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(92)
printNotes: i= 87-<2335 2385 -50>,  	Bb2 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(92)
printNotes: i= 88-<2229 2227   2>,  	Ak2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 89-<2364 2385 -21>,  	Bb2 --  1/16th.( 42) <      > 	V 37 - M 42	= -5  %-14  	q= -5  %-14  	 0.209(92)
printNotes: i= 90-<2230 2227   3>,  	Ak2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)
printNotes: i= 91-<2380 2385  -5>,  	Bb2 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(92)
printNotes: i= 92-<2221 2227  -6>,  	Ak2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)
printNotes: i= 93-<2416 2385  31>,  	Bb2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 94-<2198 2577 -379>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 95-<2236 2227   9>,  	Ak2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(92)
printNotes: i= 96-<2253 2227  26>,  	Ak2 -- 1/64th..( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(92)<-- same note
printNotes: i= 97-<2507 2577 -70>,  	 C3 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 98-<2244 2227  17>,  	Ak2 -- 1/16th..( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(92)
printNotes: i= 99-<2037 2099 -62>,  	 G2 --  1/16th.( 42) <      > 	V 36 - M 42	= -6  %-17  	q= -6  %-17  	 0.203(92)
printNotes: i= 100-<2351 2385 -34>,  	Bb2 --   1/8th.( 84) <      > 	V 85 - M 84	= +1  %+1  	q= +1  %+1  	 0.488(92)
printNotes: i= 101-<2590 2577  13>,  	 C3 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)


silence
printNotes: i= 102-< 225   40 185>,  	Slc --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 103-<2026 2385 -359>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
printNotes: i= 104-<2238 2577 -339>,  	 C3 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 105-<2231 2385 -154>,  	Bb2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 106-<2222 2227  -5>,  	Ak2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 107-<2494 2577 -83>,  	 C3 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 108-<2255 2227  28>,  	Ak2 --  1/16th.( 42) <      > 	V 41 - M 42	= -1  %-2  	q= -1  %-2  	 0.232(92)
printNotes: i= 109-<2357 2385 -28>,  	Bb2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(92)
printNotes: i= 110-<2084 2099 -15>,  	 G2 --  1/16th.( 42) <      > 	V 41 - M 42	= -1  %-2  	q= -1  %-2  	 0.232(92)
printNotes: i= 111-<2327 2385 -58>,  	Bb2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 112-<2118 2099  19>,  	 G2 --  1/16th.( 42) <      > 	V 45 - M 42	= +3  %+7  	q= +3  %+7  	 0.255(92)
printNotes: i= 113-<2196 2227 -31>,  	Ak2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 114-<1897 1892   5>,  	 F2 -- 1/16th..( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(92)
printNotes: i= 115-<2095 2099  -4>,  	 G2 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i= 116-<1893 1892   1>,  	 F2 --    1/4th(112) <      > 	V106 - M112	= -6  %-6  	q= -6  %-6  	 0.610(92)
printNotes: i= 117-<2094 2099  -5>,  	 G2 --   1/8th.( 84) <      > 	V 71 - M 84	=-13  %-18  	q=-13  %-18  	 0.406(92)
printNotes: i= 118-<2197 2227 -30>,  	Ak2 --  1/16th.( 42) <      > 	V 43 - M 42	= +1  %+2  	q= +1  %+2  	 0.244(92)
printNotes: i= 119-<1816 1892 -76>,  	 F2 --   1/16th( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(92)
printNotes: i= 120-<2182 2227 -45>,  	Ak2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 121-<2105 2099   6>,  	 G2 --    half.(335) <      > 	V346 - M335	=+11  %+3  	q=+11  %+3  	 2.003(92)


silence
printNotes: i= 122-<   0   40 -40>,  	Slc --    whole(447) <      > 	V458 - M447	=+11  %+2  	q=+11  %+2  	 2.653(92)
printNotes: i= 123-<1663 1392 271>,  	 C2 -- 1/16th..( 49) <      > 	V 47 - M 49	= -2  %-4  	q= -2  %-4  	 0.267(92)
printNotes: i= 124-<2355 2385 -30>,  	Bb2 --  1/4th..(196) <      > 	V209 - M196	=+13  %+6  	q=+13  %+6  	 1.207(92)
printNotes: i= 125-<2219 2227  -8>,  	Ak2 --   1/4th.(168) <-1*sela> 	V152 - M168	=-16  %-11  	q=-16  %-11  	 0.877(92)
printNotes: i= 126-<2134 2099  35>,  	 G2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 127-<2451 2577 -126>,  	 C3 --  1/64th.( 10) <      > 	V  8 - M 10	= -2  %-25  	q= -2  %-25  	 0.041(92)
printNotes: i= 128-<2227 2227    >,  	Ak2 --   half..(391) <      > 	V384 - M391	= -7  %-2  	q= -7  %-2  	 2.223(92)
printNotes: i= 129-<2125 2099  26>,  	 G2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 130-<2366 2385 -19>,  	Bb2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 131-<2228 2227   1>,  	Ak2 -- 1/32nd..( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(92)
printNotes: i= 132-<2380 2385  -5>,  	Bb2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 133-<2108 2099   9>,  	 G2 --  1/16th.( 42) <      > 	V 43 - M 42	= +1  %+2  	q= +1  %+2  	 0.244(92)
printNotes: i= 134-<2182 2227 -45>,  	Ak2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 135-<1852 1892 -40>,  	 F2 --    1/8th( 56) <      > 	V 60 - M 56	= +4  %+7  	q= +4  %+7  	 0.342(92)
printNotes: i= 136-<2100 2099   1>,  	 G2 --    128th(  3) <      > 	V  3 - M  3	=  +  %+0  	q=  +  %+0  	 0.012(92)
printNotes: i= 137-<2160 2227 -67>,  	Ak2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 138-<1780 1742  38>,  	Ek2 --    1/8th( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(92)
printNotes: i= 139-<1918 1892  26>,  	 F2 -- 1/16th..( 49) <      > 	V 52 - M 49	= +3  %+6  	q= +3  %+6  	 0.296(92)
printNotes: i= 140-<2112 2099  13>,  	 G2 --   1/16th( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(92)
printNotes: i= 141-<2221 2227  -6>,  	Ak2 --  1/64th.( 10) <      > 	V  8 - M 10	= -2  %-25  	q= -2  %-25  	 0.041(92)
printNotes: i= 142-<2117 2099  18>,  	 G2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 143-<2209 2227 -18>,  	Ak2 --    128th(  3) <      > 	V  2 - M  3	= -1  %-50  	q= -1  %-50  	 0.006(92)
printNotes: i= 144-<2375 2385 -10>,  	Bb2 --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(92)
printNotes: i= 145-<2179 2227 -48>,  	Ak2 -- 1/16th..( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(92)
printNotes: i= 146-<2383 2385  -2>,  	Bb2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
